Node	Subnet
719	0
1259	0
909	0
1260	0
705	0
1528	0
1278	0
1577	0
1581	0
910	0
1632	0
704	0
1655	0
908	0
1652	0
1664	0
1665	0
1280	0
1654	0
1667	0
1656	0
1668	0
913	0
1902	0
1905	0
1906	0
702	0
1896	0
1897	0
376	1
2780	1
405	1
3048	1
849	1
3023	1
3172	1
3050	1
379	1
3303	1
3304	1
377	1
3309	1
382	1
3311	1
3046	1
3324	1
380	1
3327	1
406	1
3328	1
3329	1
3335	1
3053	1
3325	1
3297	1
3331	1
381	1
378	1
3322	1
3337	1
2779	1
3341	1
3343	1
3307	1
3312	1
3299	1
3345	1
384	1
3357	1
383	1
3314	1
3362	1
3315	1
3364	1
360	1
3764	1
359	1
3796	1
3797	1
2763	1
362	1
3801	1
3800	1
3798	1
361	1
3766	1
3799	1
3809	1
3611	1
3807	1
3666	1
149	1
5230	1
5234	1
5229	1
7025	1
436	1
3147	1
275	1
3509	1
3510	1
3635	1
3634	1
258	1
4031	1
199	1
1129	1
203	1
1172	1
718	0
1258	0
708	0
1261	0
1262	0
912	0
1282	0
1283	0
587	0
1265	0
720	0
1579	0
1580	0
1584	0
1578	0
1529	0
1582	0
1601	0
903	0
1629	0
1630	0
1648	0
1634	0
911	0
1661	0
1658	0
919	0
1669	0
1671	0
1660	0
1674	0
700	0
1844	0
840	0
1845	0
716	0
1847	0
907	0
1863	0
717	0
1276	0
1864	0
1871	0
1872	0
1850	0
1874	0
1852	0
703	0
1886	0
714	0
1887	0
701	0
1899	0
1900	0
1846	0
1907	0
1284	0
1911	0
1912	0
711	0
1910	0
1891	0
1913	0
1914	0
1885	0
715	0
1889	0
1888	0
730	0
1919	0
1920	0
1915	0
1916	0
371	1
2759	1
374	1
2762	1
385	1
494	0
2851	0
2852	0
419	1
2874	1
479	0
3009	0
476	1
3012	1
478	0
3015	0
471	1
3016	1
3017	0
439	1
3022	1
481	0
3027	0
477	1
3013	1
454	1
3018	1
3034	1
455	1
3040	1
3041	1
474	0
3068	0
3072	0
3073	0
475	0
3075	0
3087	0
3099	0
480	0
3083	0
3082	0
3079	0
3115	0
3007	1
3118	0
3116	0
3119	0
3084	0
3010	0
3121	0
3122	1
3033	1
451	1
3124	1
3125	1
438	1
3131	1
402	1
3126	1
470	1
3138	1
3139	1
3141	1
1779	1
452	1
3137	1
3154	1
3155	1
453	1
3020	1
3058	1
3132	1
3160	1
403	1
3162	1
3157	1
437	1
3134	1
3159	1
3128	1
3166	1
404	1
3161	1
3168	1
373	1
3171	1
372	1
482	0
3176	0
483	0
3178	0
456	1
3038	1
457	0
3183	0
3185	0
3202	0
3174	0
3182	0
3214	0
3032	1
3215	1
3225	1
3188	1
484	0
3228	0
3234	1
441	1
2885	1
3238	1
3235	1
2875	1
410	1
3255	1
3257	1
3278	1
408	1
3279	1
440	1
3021	1
3288	1
3280	1
407	1
3298	1
3026	1
2777	1
2785	1
2783	1
420	1
3366	1
3367	1
3270	1
409	1
3274	1
3372	1
2887	1
3385	1
421	1
3474	1
3473	1
3475	1
263	1
3517	1
273	1
3522	1
261	1
3527	1
236	1
3542	1
333	1
3505	1
321	1
3557	1
291	1
3512	1
279	1
3562	1
264	1
3519	1
249	1
3587	1
235	1
3589	1
202	1
3597	1
358	1
344	1
3618	1
326	1
3629	1
327	1
3631	1
316	1
3632	1
274	1
3507	1
356	1
3612	1
3638	1
320	1
3644	1
328	1
3640	1
319	1
3642	1
355	1
3689	1
3637	1
3709	1
343	1
3716	1
3725	1
3619	1
3715	1
325	1
3732	1
3740	1
3647	1
3630	1
3750	1
3751	1
3746	1
3733	1
285	1
3752	1
3760	1
3735	1
286	1
3761	1
3503	1
3617	1
3767	1
386	1
3768	1
347	1
3771	1
331	1
3661	1
3774	1
375	1
3808	1
3810	1
2831	1
3769	1
345	1
3822	1
346	1
3823	1
330	1
3651	1
3773	1
3639	1
3825	1
3770	1
3821	1
3827	1
3652	1
388	1
3831	1
348	1
3834	1
349	1
3841	1
387	1
3857	1
3840	1
3855	1
2764	1
3848	1
363	1
3776	1
3862	1
389	1
3543	1
2765	1
3864	1
3847	1
3778	1
3844	1
332	1
3865	1
3866	1
3655	1
3877	1
3868	1
289	1
3880	1
3881	1
3882	1
276	1
3886	1
278	1
3894	1
3650	1
317	1
3900	1
3897	1
318	1
3903	1
3901	1
3906	1
3645	1
3899	1
3908	1
3902	1
329	1
3910	1
3878	1
287	1
288	1
3913	1
3914	1
3912	1
3653	1
3883	1
3887	1
3654	1
290	1
3917	1
3918	1
3916	1
3919	1
277	1
3924	1
3925	1
3893	1
3529	1
3891	1
3927	1
3560	1
214	1
3937	1
218	1
3965	1
3520	1
256	1
3979	1
3980	1
3977	1
3523	1
3982	1
3990	1
231	1
3991	1
3950	1
3995	1
3996	1
198	1
3999	1
3940	1
4000	1
246	1
4011	1
4012	1
233	1
4013	1
4014	1
4016	1
247	1
4019	1
259	1
4010	1
257	1
4032	1
4034	1
4046	1
232	1
3953	1
4048	1
245	1
4041	1
4021	1
4047	1
4052	1
260	1
4054	1
4005	1
4024	1
4058	1
3528	1
4007	1
4017	1
262	1
4057	1
4053	1
248	1
4026	1
234	1
4061	1
4067	1
3540	1
40	1
3966	1
4113	1
215	1
4140	1
4143	1
1127	1
4089	1
3973	1
4148	1
201	1
4093	1
4101	1
3558	1
48	1
4155	1
4206	1
4208	1
4207	1
3554	1
4229	1
280	1
4241	1
4242	1
4243	1
4244	1
265	1
4262	1
292	1
4255	1
4283	1
4275	1
4164	1
4292	1
4294	1
4295	1
3565	1
4297	1
3563	1
252	1
4314	1
4260	1
4270	1
3590	1
3575	1
4264	1
240	1
4376	1
221	1
4379	1
4398	1
237	1
4399	1
250	1
4403	1
4404	1
239	1
4368	1
4412	1
4417	1
592	1
4419	1
3572	1
3541	1
4431	1
3539	1
4430	1
4400	1
238	1
4407	1
4409	1
4402	1
4443	1
4410	1
4382	1
4378	1
3595	1
219	1
4369	1
3594	1
4447	1
4387	1
205	1
4474	1
244	1
4516	1
162	1
4563	1
163	1
4565	1
187	1
4620	1
4619	1
118	1
4659	1
4618	1
161	1
4704	1
4683	1
4724	1
4701	1
5909	1
4738	1
4621	1
153	1
4698	1
4708	1
183	1
4956	1
4960	1
173	1
5041	1
172	1
5037	1
5058	1
5123	1
125	1
5168	1
123	1
5192	1
5191	1
128	1
5203	1
122	1
4938	1
4945	1
4940	1
4857	1
135	1
5198	1
5207	1
5216	1
124	1
4859	1
5226	1
5227	1
5170	1
4866	1
5273	1
5169	1
875	1
5324	1
5334	1
5322	1
6220	1
6226	1
6339	1
6584	1
6620	1
3232	0
6574	0
7033	1
7446	1
177	1
1124	1
728	0
1607	0
1678	0
1600	0
1684	0
450	1
1777	1
1778	0
724	0
1806	0
710	0
1875	0
1286	0
1270	0
505	0
2307	0
2308	0
535	0
2390	0
536	0
2389	0
2387	0
2410	0
2394	0
2392	0
2319	0
527	0
2448	0
2449	0
2439	0
1766	0
460	1
2484	1
506	0
2548	0
487	0
2551	0
2556	0
466	0
2560	0
449	1
2583	1
1732	1
41	1
2651	1
530	0
2922	0
2923	0
2929	0
516	0
2955	0
2946	0
495	0
2990	0
2998	0
469	1
2999	1
1775	1
473	0
3074	0
472	0
3076	0
3101	0
3000	0
342	1
3714	1
295	1
4157	1
298	1
4158	1
4160	1
4234	1
4179	1
4319	1
4330	1
220	1
4445	1
165	1
4556	1
151	1
5907	1
152	1
1064	1
4757	1
1056	1
4762	1
188	1
4962	1
4967	1
4562	1
1159	1
190	1
4989	1
4964	1
4968	1
166	1
4998	1
4954	1
192	1
4999	1
158	1
5128	1
140	1
5143	1
6108	1
485	1
6182	1
230	1
6219	1
253	1
6323	1
6947	0
462	1
6175	1
7021	1
7022	1
6962	1
5181	1
723	0
1268	0
1430	0
776	0
1518	0
