Node	Subnet
1	0
818	0
821	0
2	0
751	0
753	0
754	0
3	0
756	0
759	0
4	0
719	0
724	0
725	0
761	0
5	0
892	0
893	0
6	0
679	0
707	0
762	0
809	0
7	0
222	0
223	0
241	0
8	0
899	0
900	0
901	0
904	0
9	0
588	0
651	0
659	0
902	0
10	0
564	0
11	0
258	0
788	0
792	0
12	1
433	1
437	1
443	1
13	0
649	0
684	1
686	0
974	0
14	1
462	1
463	1
464	1
467	1
15	1
648	1
660	1
674	1
16	0
366	0
17	0
370	0
471	0
472	0
474	0
18	0
395	0
454	0
868	0
19	0
143	0
286	0
290	0
804	0
20	0
334	0
335	0
364	0
21	1
353	1
360	1
920	1
922	1
22	1
639	1
641	1
642	1
938	1
23	1
278	1
875	1
877	1
24	0
456	0
733	0
734	0
25	0
768	0
772	0
773	0
26	0
455	0
826	0
27	0
132	0
268	0
28	0
153	0
158	0
164	0
167	0
29	1
151	1
152	1
546	1
30	1
160	1
953	1
31	1
169	1
171	1
216	1
217	1
32	1
340	1
341	1
345	1
352	1
33	1
343	1
347	1
476	1
34	1
632	1
633	1
634	1
637	1
35	1
597	1
710	1
711	1
36	1
479	1
494	1
497	1
37	0
299	0
739	0
846	0
38	0
294	0
779	0
39	0
40	0
796	0
801	0
897	0
41	0
701	0
704	0
705	0
736	0
42	0
830	0
915	0
43	0
721	0
795	0
44	0
706	0
708	0
45	0
934	0
936	0
46	0
844	0
861	0
47	0
856	0
48	0
292	0
302	0
785	0
789	0
49	1
693	0
696	1
698	1
50	1
139	0
584	1
587	0
51	1
529	1
531	1
951	1
52	0
247	0
53	0
249	0
54	0
209	0
211	0
218	0
55	0
420	0
425	0
426	0
56	0
121	0
122	0
129	0
449	0
57	1
276	1
354	1
356	1
358	1
58	1
124	1
125	1
277	1
285	1
59	0
264	0
269	0
457	0
60	0
263	0
265	0
272	0
61	0
270	0
62	0
204	0
206	0
63	0
323	0
64	0
545	1
551	0
554	0
644	1
65	0
144	0
184	0
66	0
145	0
146	0
219	0
67	1
552	1
583	1
68	1
602	1
609	1
612	1
69	1
604	1
939	1
70	1
147	1
163	1
175	1
522	1
71	1
344	1
346	1
349	1
350	1
72	1
515	1
524	1
526	1
73	1
435	1
445	1
507	1
508	1
74	1
338	1
342	1
509	1
957	1
75	1
558	1
559	1
608	1
76	1
534	1
543	1
601	1
603	1
77	1
78	0
776	0
777	0
79	0
303	0
738	0
742	0
80	0
81	0
322	0
324	0
374	0
378	0
82	1
571	1
574	1
579	1
83	0
224	0
238	0
274	0
84	0
307	1
309	1
85	0
110	0
355	1
361	1
625	0
86	0
310	0
87	1
620	1
643	1
925	1
88	1
401	1
402	1
89	1
148	1
90	1
108	1
518	1
91	1
188	1
215	1
611	1
92	1
257	1
839	1
93	1
94	0
311	0
312	0
765	0
95	1
199	1
517	1
96	0
97	1
835	1
98	1
519	1
149	0
615	0
165	1
256	1
260	1
280	1
627	1
281	1
282	1
283	1
289	0
287	0
339	1
971	1
359	1
362	1
477	1
496	1
956	1
578	1
576	1
580	1
628	1
629	1
638	1
636	1
646	0
677	0
687	0
737	0
780	0
791	0
825	0
973	0
918	1
919	1
109	1
106	1
111	0
114	0
116	0
117	0
118	0
123	0
131	1
430	1
138	0
142	0
288	0
182	1
212	0
214	0
227	0
237	0
234	0
261	0
262	0
275	0
284	1
876	1
838	1
291	0
135	0
325	0
318	0
397	0
403	1
423	0
424	0
429	1
130	1
468	0
315	0
544	1
532	1
557	1
553	1
577	1
582	1
652	0
664	1
726	0
694	1
688	1
695	0
691	0
760	0
783	0
797	0
806	0
802	0
816	0
907	0
888	0
889	0
669	1
113	0
126	1
159	1
161	1
168	0
157	0
185	1
186	1
197	0
205	0
208	1
210	0
231	0
235	0
230	0
243	0
259	1
337	0
419	0
415	0
416	0
428	0
434	1
465	0
536	1
540	1
541	1
539	1
561	1
560	1
661	1
927	1
621	1
668	1
666	1
591	1
667	1
670	1
673	1
671	1
672	1
681	0
683	0
702	0
703	0
729	0
810	0
815	0
898	0
836	1
852	0
932	0
945	1
950	1
177	0
150	0
202	0
244	0
313	0
314	0
316	0
331	0
320	0
391	0
452	0
432	1
442	1
448	1
466	1
535	1
622	0
279	1
718	0
728	0
731	0
833	1
837	1
189	0
174	0
193	0
240	0
239	0
328	0
329	0
368	0
407	0
410	0
502	1
501	1
610	1
572	1
631	1
635	1
645	1
730	0
689	1
732	0
812	0
832	1
906	0
814	0
928	1
271	0
375	0
376	0
384	0
385	0
392	0
393	0
869	0
396	0
470	0
481	1
573	1
910	0
921	1
623	1
388	0
387	0
469	0
478	1
488	1
490	1
504	1
505	1
513	1
514	1
923	1
653	1
678	1
699	0
714	1
605	1
748	0
972	0
813	0
820	0
970	1
968	1
170	1
962	0
246	0
380	0
365	0
371	0
372	0
413	0
417	0
491	1
675	1
640	1
650	1
663	1
682	0
692	0
805	0
843	0
498	1
500	1
516	1
943	1
903	0
720	0
803	0
874	1
747	0
436	1
891	0
422	0
459	1
618	1
787	0
963	0
569	0
727	0
763	0
952	1
954	1
955	1
626	1
389	0
317	0
400	1
399	1
563	0
589	0
656	0
657	1
746	0
755	0
828	0
884	0
883	0
916	0
917	0
373	0
382	0
450	0
447	1
412	0
506	1
965	1
750	0
229	0
326	0
390	0
940	1
823	0
831	0
849	0
911	0
565	0
807	0
662	1
799	0
427	0
786	0
811	0
879	0
914	0
937	0
394	0
624	1
680	0
690	1
834	1
127	1
305	0
475	0
533	1
665	1
301	0
293	0
590	0
405	0
715	1
872	0
886	0
333	0
790	0
793	0
255	1
523	1
969	1
676	0
409	0
723	0
873	0
871	0
221	0
242	0
964	1
808	0
112	1
357	1
685	0
581	1
630	1
332	0
