source 	 destination 	 flow 	 cost(min)
16	10	0	5
13	14	3433.982351	11.51828756
35	34	3800.332389	14.77749523
4	3	6806.131974	105.5872059
20	26	10356.41519	544.2362662
1	7	10311.15995	534.8724954
25	26	0	5
28	22	0	5
11	10	7974.75432	194.5878628
25	31	20048.7236	7578.35291
32	33	0	5
1	2	9688.840046	418.0745375
16	15	6352.999722	81.35836594
27	28	2216.760736	6.131922161
18	17	4200.916557	19.59881151
30	24	0	5
30	29	3258.107263	10.28205346
27	33	6341.105664	80.78813862
18	12	0	5
23	17	0	5
33	27	0	5
22	28	9534.006854	392.2960967
28	27	6840.749901	107.6493331
35	29	0	5
23	22	5856.217907	60.13281833
33	32	10281.02431	528.7051264
4	5	0	5
34	35	6243.605927	76.23332515
10	11	0	5
29	35	7245.67035	134.1979333
16	17	4371.022128	22.11091764
20	19	4203.600866	19.63616079
31	25	0	5
17	23	10009.68186	475.567987
16	22	9962.423858	466.7440856
10	16	9691.777705	418.5757427
30	36	10311.05611	534.8511506
17	18	2840.874286	8.053158454
7	1	0	5
21	20	6076.786158	68.92004853
33	34	2866.721246	8.165797567
24	23	3928.888856	16.16915335
6	12	20048.72254	7578.351306
11	5	0	5
21	15	0	5
27	26	7974.667444	194.5796015
3	4	2866.088236	8.163002292
20	21	4370.022369	22.09526829
23	24	3434.193748	11.51989278
14	13	3928.723618	16.1672745
34	33	6806.639893	105.6172353
14	8	0	5
24	18	0	5
34	28	0	5
3	9	6383.122635	82.81691939
13	19	10027.97038	479.0164911
23	29	9496.72566	386.2737011
26	32	9670.252088	414.913728
22	16	0	5
10	4	0	5
7	8	4033.49941	17.40707112
29	28	6009.979842	66.15519315
10	9	6840.266351	107.6203124
14	20	10009.57407	475.5477185
7	13	9533.229116	392.1697371
17	16	6077.656895	68.95669257
22	21	6353.212159	81.36857982
5	4	10281.05865	528.7121226
26	27	0	5
31	32	0	5
21	27	9691.783942	418.5768074
17	11	0	5
27	21	0	5
36	35	0	5
15	14	5856.057158	60.12676516
9	15	9534.115534	392.3137565
12	18	11387.91268	793.3476797
21	22	4917.143847	32.40267339
2	3	6244.138467	76.25763127
24	30	9533.175298	392.1609944
8	2	0	5
19	25	11387.89306	793.3422467
2	8	7245.761149	134.2044096
8	7	3255.568571	10.26560976
15	9	0	5
20	14	0	5
3	2	3801.05957	14.78498095
9	10	2216.274828	6.13093003
14	15	4848.432429	30.90279749
19	20	2843.678193	8.065230024
29	30	4035.988077	17.4377201
32	31	19951.2764	7432.181238
19	13	0	5
25	19	0	5
22	23	4848.566599	30.90566483
4	10	6341.014908	80.78379994
35	36	9688.943888	418.0922467
28	29	4536.805347	24.85829075
13	7	0	5
26	20	0	5
12	6	0	5
5	11	9670.218814	414.9080862
11	17	10356.27436	544.2069355
6	5	19951.27746	7432.182819
11	12	0	5
26	25	8660.830546	268.742092
32	26	0	5
36	30	0	5
15	21	9962.47942	466.7543865
9	8	6010.405358	66.17251452
5	6	0	5
15	16	4917.011107	32.39971453
8	9	4537.406735	24.86882232
2	1	0	5
12	11	8660.809864	268.7395728
9	3	0	5
29	23	0	5
8	14	9496.690611	386.2680725
18	24	10027.87041	478.9975879
28	34	6383.192185	82.82031102
