<NUMBER OF ZONES> 4											
<NUMBER OF NODES> 36											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 110											
<END OF METADATA>											
											
											
~ 	Tail	Head	Capacity (veh/h)	Length (ft)	Free Flow Time (min)	B	Power	Speed (ft/min) 	Toll 	Type	;
	1	2	2000	1	5	0.15	4	1	0	1	;
	1	7	2000	1	5	0.15	4	1	0	1	;
	2	1	2000	1	5	0.15	4	1	0	1	;
	2	3	2000	1	5	0.15	4	1	0	1	;
	2	8	2000	1	5	0.15	4	1	0	1	;
	3	2	2000	1	5	0.15	4	1	0	1	;
	3	4	2000	1	5	0.15	4	1	0	1	;
	3	9	2000	1	5	0.15	4	1	0	1	;
	4	3	2000	1	5	0.15	4	1	0	1	;
	4	5	2000	1	5	0.15	4	1	0	1	;
	4	10	2000	1	5	0.15	4	1	0	1	;
	5	4	2000	1	5	0.15	4	1	0	1	;
	5	6	2000	1	5	0.15	4	1	0	1	;
	5	11	2000	1	5	0.15	4	1	0	1	;
	6	5	2000	1	5	0.15	4	1	0	1	;
	6	12	2000	1	5	0.15	4	1	0	1	;
	7	1	2000	1	5	0.15	4	1	0	1	;
	7	8	2000	1	5	0.15	4	1	0	1	;
	7	13	2000	1	5	0.15	4	1	0	1	;
	8	2	2000	1	5	0.15	4	1	0	1	;
	8	7	2000	1	5	0.15	4	1	0	1	;
	8	9	2000	1	5	0.15	4	1	0	1	;
	8	14	2000	1	5	0.15	4	1	0	1	;
	9	3	2000	1	5	0.15	4	1	0	1	;
	9	8	2000	1	5	0.15	4	1	0	1	;
	9	10	2000	1	5	0.15	4	1	0	1	;
	9	15	2000	1	5	0.15	4	1	0	1	;
	10	4	2000	1	5	0.15	4	1	0	1	;
	10	9	2000	1	5	0.15	4	1	0	1	;
	10	11	2000	1	5	0.15	4	1	0	1	;
	10	16	2000	1	5	0.15	4	1	0	1	;
	11	5	2000	1	5	0.15	4	1	0	1	;
	11	10	2000	1	5	0.15	4	1	0	1	;
	11	12	2000	1	5	0.15	4	1	0	1	;
	11	17	2000	1	5	0.15	4	1	0	1	;
	12	6	2000	1	5	0.15	4	1	0	1	;
	12	11	2000	1	5	0.15	4	1	0	1	;
	12	18	2000	1	5	0.15	4	1	0	1	;
	13	7	2000	1	5	0.15	4	1	0	1	;
	13	14	2000	1	5	0.15	4	1	0	1	;
	13	19	2000	1	5	0.15	4	1	0	1	;
	14	8	2000	1	5	0.15	4	1	0	1	;
	14	13	2000	1	5	0.15	4	1	0	1	;
