source	dest	fft	coef	power	capacity
16	17	5.0	0.15	4.0	2000.0
16	22	5.0	0.15	4.0	2000.0
6	12	5.0	0.15	4.0	2000.0
27	26	5.0	0.15	4.0	2000.0
26	32	5.0	0.15	4.0	2000.0
22	16	5.0	0.15	4.0	2000.0
17	16	5.0	0.15	4.0	2000.0
22	21	5.0	0.15	4.0	2000.0
26	27	5.0	0.15	4.0	2000.0
31	32	5.0	0.15	4.0	2000.0
21	27	5.0	0.15	4.0	2000.0
17	11	5.0	0.15	4.0	2000.0
27	21	5.0	0.15	4.0	2000.0
21	22	5.0	0.15	4.0	2000.0
32	31	5.0	0.15	4.0	2000.0
12	6	5.0	0.15	4.0	2000.0
11	17	5.0	0.15	4.0	2000.0
11	12	5.0	0.15	4.0	2000.0
32	26	5.0	0.15	4.0	2000.0
12	11	5.0	0.15	4.0	2000.0
