source	dest	fft	coef	power	capacity
16	10	5.0	0.15	4.0	2000.0
4	3	5.0	0.15	4.0	2000.0
11	10	5.0	0.15	4.0	2000.0
18	17	5.0	0.15	4.0	2000.0
30	24	5.0	0.15	4.0	2000.0
30	29	5.0	0.15	4.0	2000.0
18	12	5.0	0.15	4.0	2000.0
23	17	5.0	0.15	4.0	2000.0
23	22	5.0	0.15	4.0	2000.0
4	5	5.0	0.15	4.0	2000.0
10	11	5.0	0.15	4.0	2000.0
16	17	5.0	0.15	4.0	2000.0
17	23	5.0	0.15	4.0	2000.0
16	22	5.0	0.15	4.0	2000.0
10	16	5.0	0.15	4.0	2000.0
30	36	5.0	0.15	4.0	2000.0
17	18	5.0	0.15	4.0	2000.0
24	23	5.0	0.15	4.0	2000.0
6	12	5.0	0.15	4.0	2000.0
11	5	5.0	0.15	4.0	2000.0
3	4	5.0	0.15	4.0	2000.0
23	24	5.0	0.15	4.0	2000.0
24	18	5.0	0.15	4.0	2000.0
3	9	5.0	0.15	4.0	2000.0
23	29	5.0	0.15	4.0	2000.0
22	16	5.0	0.15	4.0	2000.0
10	4	5.0	0.15	4.0	2000.0
10	9	5.0	0.15	4.0	2000.0
17	16	5.0	0.15	4.0	2000.0
5	4	5.0	0.15	4.0	2000.0
17	11	5.0	0.15	4.0	2000.0
12	18	5.0	0.15	4.0	2000.0
2	3	5.0	0.15	4.0	2000.0
24	30	5.0	0.15	4.0	2000.0
3	2	5.0	0.15	4.0	2000.0
9	10	5.0	0.15	4.0	2000.0
29	30	5.0	0.15	4.0	2000.0
22	23	5.0	0.15	4.0	2000.0
4	10	5.0	0.15	4.0	2000.0
12	6	5.0	0.15	4.0	2000.0
5	11	5.0	0.15	4.0	2000.0
11	17	5.0	0.15	4.0	2000.0
6	5	5.0	0.15	4.0	2000.0
11	12	5.0	0.15	4.0	2000.0
36	30	5.0	0.15	4.0	2000.0
5	6	5.0	0.15	4.0	2000.0
12	11	5.0	0.15	4.0	2000.0
9	3	5.0	0.15	4.0	2000.0
29	23	5.0	0.15	4.0	2000.0
18	24	5.0	0.15	4.0	2000.0
