source	dest	fft	coef	power	capacity
28	22	5.0	0.15	4.0	2000.0
1	2	5.0	0.15	4.0	2000.0
16	15	5.0	0.15	4.0	2000.0
22	28	5.0	0.15	4.0	2000.0
35	29	5.0	0.15	4.0	2000.0
29	35	5.0	0.15	4.0	2000.0
29	28	5.0	0.15	4.0	2000.0
22	21	5.0	0.15	4.0	2000.0
36	35	5.0	0.15	4.0	2000.0
9	15	5.0	0.15	4.0	2000.0
21	22	5.0	0.15	4.0	2000.0
8	2	5.0	0.15	4.0	2000.0
2	8	5.0	0.15	4.0	2000.0
15	9	5.0	0.15	4.0	2000.0
35	36	5.0	0.15	4.0	2000.0
28	29	5.0	0.15	4.0	2000.0
9	8	5.0	0.15	4.0	2000.0
15	16	5.0	0.15	4.0	2000.0
8	9	5.0	0.15	4.0	2000.0
2	1	5.0	0.15	4.0	2000.0
