source	dest	fft	coef	power	capacity
13	14	5.0	0.15	4.0	2000.0
35	34	5.0	0.15	4.0	2000.0
20	26	5.0	0.15	4.0	2000.0
1	7	5.0	0.15	4.0	2000.0
25	26	5.0	0.15	4.0	2000.0
25	31	5.0	0.15	4.0	2000.0
32	33	5.0	0.15	4.0	2000.0
27	28	5.0	0.15	4.0	2000.0
27	33	5.0	0.15	4.0	2000.0
33	27	5.0	0.15	4.0	2000.0
28	27	5.0	0.15	4.0	2000.0
33	32	5.0	0.15	4.0	2000.0
34	35	5.0	0.15	4.0	2000.0
20	19	5.0	0.15	4.0	2000.0
31	25	5.0	0.15	4.0	2000.0
7	1	5.0	0.15	4.0	2000.0
21	20	5.0	0.15	4.0	2000.0
33	34	5.0	0.15	4.0	2000.0
21	15	5.0	0.15	4.0	2000.0
27	26	5.0	0.15	4.0	2000.0
20	21	5.0	0.15	4.0	2000.0
14	13	5.0	0.15	4.0	2000.0
34	33	5.0	0.15	4.0	2000.0
14	8	5.0	0.15	4.0	2000.0
34	28	5.0	0.15	4.0	2000.0
13	19	5.0	0.15	4.0	2000.0
26	32	5.0	0.15	4.0	2000.0
7	8	5.0	0.15	4.0	2000.0
14	20	5.0	0.15	4.0	2000.0
7	13	5.0	0.15	4.0	2000.0
26	27	5.0	0.15	4.0	2000.0
31	32	5.0	0.15	4.0	2000.0
21	27	5.0	0.15	4.0	2000.0
27	21	5.0	0.15	4.0	2000.0
15	14	5.0	0.15	4.0	2000.0
19	25	5.0	0.15	4.0	2000.0
8	7	5.0	0.15	4.0	2000.0
20	14	5.0	0.15	4.0	2000.0
14	15	5.0	0.15	4.0	2000.0
19	20	5.0	0.15	4.0	2000.0
32	31	5.0	0.15	4.0	2000.0
19	13	5.0	0.15	4.0	2000.0
25	19	5.0	0.15	4.0	2000.0
13	7	5.0	0.15	4.0	2000.0
26	20	5.0	0.15	4.0	2000.0
26	25	5.0	0.15	4.0	2000.0
32	26	5.0	0.15	4.0	2000.0
15	21	5.0	0.15	4.0	2000.0
8	14	5.0	0.15	4.0	2000.0
28	34	5.0	0.15	4.0	2000.0
