source	dest	fft	coef	power	capacity
35	34	5.0	0.15	4.0	2000.0
20	26	5.0	0.15	4.0	2000.0
25	26	5.0	0.15	4.0	2000.0
28	22	5.0	0.15	4.0	2000.0
25	31	5.0	0.15	4.0	2000.0
32	33	5.0	0.15	4.0	2000.0
27	28	5.0	0.15	4.0	2000.0
30	24	5.0	0.15	4.0	2000.0
30	29	5.0	0.15	4.0	2000.0
27	33	5.0	0.15	4.0	2000.0
33	27	5.0	0.15	4.0	2000.0
22	28	5.0	0.15	4.0	2000.0
28	27	5.0	0.15	4.0	2000.0
35	29	5.0	0.15	4.0	2000.0
23	22	5.0	0.15	4.0	2000.0
33	32	5.0	0.15	4.0	2000.0
34	35	5.0	0.15	4.0	2000.0
29	35	5.0	0.15	4.0	2000.0
20	19	5.0	0.15	4.0	2000.0
31	25	5.0	0.15	4.0	2000.0
30	36	5.0	0.15	4.0	2000.0
21	20	5.0	0.15	4.0	2000.0
33	34	5.0	0.15	4.0	2000.0
24	23	5.0	0.15	4.0	2000.0
27	26	5.0	0.15	4.0	2000.0
20	21	5.0	0.15	4.0	2000.0
23	24	5.0	0.15	4.0	2000.0
34	33	5.0	0.15	4.0	2000.0
34	28	5.0	0.15	4.0	2000.0
23	29	5.0	0.15	4.0	2000.0
26	32	5.0	0.15	4.0	2000.0
29	28	5.0	0.15	4.0	2000.0
22	21	5.0	0.15	4.0	2000.0
26	27	5.0	0.15	4.0	2000.0
31	32	5.0	0.15	4.0	2000.0
21	27	5.0	0.15	4.0	2000.0
27	21	5.0	0.15	4.0	2000.0
36	35	5.0	0.15	4.0	2000.0
21	22	5.0	0.15	4.0	2000.0
24	30	5.0	0.15	4.0	2000.0
19	25	5.0	0.15	4.0	2000.0
19	20	5.0	0.15	4.0	2000.0
29	30	5.0	0.15	4.0	2000.0
32	31	5.0	0.15	4.0	2000.0
25	19	5.0	0.15	4.0	2000.0
22	23	5.0	0.15	4.0	2000.0
35	36	5.0	0.15	4.0	2000.0
28	29	5.0	0.15	4.0	2000.0
26	20	5.0	0.15	4.0	2000.0
26	25	5.0	0.15	4.0	2000.0
32	26	5.0	0.15	4.0	2000.0
36	30	5.0	0.15	4.0	2000.0
29	23	5.0	0.15	4.0	2000.0
28	34	5.0	0.15	4.0	2000.0
