IterationNo	solveNetTime (ms)
0	0.0
1	16.0
2	0.0
3	16.0
4	15.0
5	31.0
6	47.0
7	63.0
8	97.0
9	94.0
10	141.0
11	156.0
12	189.0
13	194.0
14	482.0
15	259.0
16	342.0
17	426.0
18	1081.0
19	999.0
20	797.0
21	1173.0
22	1751.0
23	2892.0
24	2630.0
25	1124.0
26	1631.0
27	2574.0
28	1657.0
29	1767.0
30	2625.0
31	2208.0
32	3924.0
33	3315.0
34	3765.0
35	2574.0
36	2526.0
37	2080.0
38	2048.0
39	1925.0
40	1924.0
41	2281.0
42	2206.0
43	2659.0
44	2302.0
45	2234.0
46	4220.0
47	2410.0
48	3893.0
49	3937.0
50	2130.0
51	1439.0
52	1452.0
53	1380.0
54	1364.0
55	1300.0
56	1325.0
57	1689.0
58	1605.0
59	1539.0
60	1434.0
61	1423.0
62	1310.0
63	1442.0
64	1472.0
65	1467.0
66	1267.0
67	1220.0
68	1297.0
69	1219.0
70	1252.0
71	1232.0
72	1207.0
73	1235.0
74	1251.0
75	1173.0
76	1200.0
77	1262.0
78	1133.0
79	1174.0
80	1205.0
81	1170.0
82	1138.0
83	1153.0
84	1392.0
85	1102.0
86	1143.0
87	1093.0
88	1148.0
89	1089.0
90	1095.0
91	1092.0
92	1034.0
93	1065.0
94	1093.0
95	1032.0
96	1001.0
97	937.0
98	955.0
99	952.0
100	1000.0
101	919.0
102	928.0
103	891.0
104	915.0
105	882.0
106	891.0
107	908.0
108	891.0
109	850.0
110	856.0
111	892.0
112	846.0
113	877.0
114	873.0
115	875.0
116	1064.0
117	1035.0
118	1045.0
119	1048.0
120	1016.0
121	1044.0
122	1005.0
123	985.0
124	1032.0
125	1000.0
126	970.0
127	985.0
128	970.0
129	954.0
130	943.0
131	981.0
132	953.0
133	907.0
134	939.0
135	923.0
136	914.0
137	900.0
138	922.0
139	893.0
140	859.0
141	878.0
142	873.0
143	844.0
144	845.0
145	835.0
146	837.0
147	829.0
148	829.0
149	805.0
150	805.0
151	798.0
152	781.0
153	782.0
154	766.0
155	767.0
156	750.0
157	751.0
158	735.0
159	735.0
160	719.0
161	719.0
162	699.0
163	704.0
164	685.0
165	684.0
166	672.0
167	668.0
168	658.0
169	646.0
170	668.0
171	640.0
172	626.0
173	625.0
