IterationNo	Gap
0	1.0
1	0.9969092782255621
2	0.7645082822939171
3	0.7478004810744607
4	0.3568173358604434
5	0.217914864656225
6	0.2526687274131926
7	0.1591610400043444
8	0.09016192429184433
9	0.0715840801895653
10	0.06900173049448055
11	0.06014888292500764
12	0.06046366072892251
13	0.039164989987039434
14	0.0406051176141039
15	0.04168789109907722
16	0.036581524023879486
17	0.030571352180841282
18	0.018735553439325092
19	0.016821449643512065
20	0.012952139961541986
21	0.013555742467579956
22	0.011330669858679698
23	0.008809931585434638
24	0.011844686029648166
25	0.00878915030579619
26	0.006343793890999705
27	0.004358080887799987
28	0.0052581900730230835
29	0.0023178100151016734
30	0.0016193402729318684
31	0.0013182034069062487
32	0.001272516302836868
33	0.0014184804766396164
34	9.931453654321576E-4
35	9.538220249151186E-4
36	9.328735260124565E-4
37	8.991424299218398E-4
38	8.370790381283522E-4
39	8.030517980754937E-4
40	7.397380085323313E-4
41	6.94499227443357E-4
42	6.568605759905699E-4
43	6.237741628151161E-4
44	6.274847343206158E-4
45	6.111768311325427E-4
46	6.305851963099851E-4
47	6.669444515342571E-4
48	5.387478639560239E-4
49	4.7730235512699615E-4
50	3.965615545257206E-4
51	3.507058276481789E-4
52	2.9809172440031784E-4
53	2.614845788818654E-4
54	2.335612124645392E-4
55	2.112943826625413E-4
56	1.9277334277867375E-4
57	1.7902293628446753E-4
58	1.8389298069876325E-4
59	1.7330109288848927E-4
60	1.6112666831158418E-4
61	1.493544848811812E-4
62	1.3843711368355383E-4
63	1.2840395309920982E-4
64	1.191856626426846E-4
65	1.1066244205082398E-4
66	1.0275184949837257E-4
67	9.537707676865459E-5
68	8.848076119760684E-5
69	8.201395787299504E-5
70	7.593592829691076E-5
71	7.021078585855989E-5
72	6.557760897185627E-5
73	6.508556524320586E-5
74	6.50561182328202E-5
75	6.49661503925314E-5
76	6.482518134875992E-5
77	6.464211762824412E-5
78	6.442284788732433E-5
79	6.417352801035836E-5
80	6.389916774329762E-5
81	6.360407871508489E-5
82	6.329295956730707E-5
83	6.296881002521015E-5
84	6.263389962246624E-5
85	3.505563201133821E-5
86	3.293948968952076E-5
87	3.140390705336227E-5
88	2.994118816523894E-5
89	2.8530917773550435E-5
90	2.722424960510672E-5
91	2.602690373976202E-5
92	2.4858521130322053E-5
93	2.3730197588278656E-5
94	2.2644135993843406E-5
95	2.1641364114755035E-5
96	2.072906313543843E-5
97	1.985101553647617E-5
98	1.900993388059824E-5
99	1.820794117723956E-5
100	1.7443961669028063E-5
101	1.671456021534734E-5
102	1.6012010242039132E-5
103	1.53392702233468E-5
104	1.4697209600011973E-5
105	1.4080968499974311E-5
106	1.3491280330013566E-5
107	1.2926316034334029E-5
108	1.238484511534299E-5
109	1.1867603443294072E-5
110	1.1372683533905636E-5
111	1.0897264219655867E-5
112	1.044197745592168E-5
113	1.0007645298459877E-5
114	9.589793397379864E-6
115	9.190546312654035E-6
116	9.120990954181174E-6
117	8.545754549560414E-6
118	7.935117804058756E-6
119	7.606378379820811E-6
120	7.328549776919324E-6
121	7.342848049041173E-6
122	7.298225702889738E-6
123	7.196545057541748E-6
124	7.054290822705589E-6
125	6.8851905761224685E-6
126	6.698025947771136E-6
127	6.498902816454155E-6
128	6.2937686625685885E-6
129	6.088425958394872E-6
130	5.884359780550241E-6
131	5.67673713036676E-6
132	5.471487552144438E-6
133	5.2696198915569425E-6
134	5.0718733939358884E-6
135	4.876370457873591E-6
136	4.687833420780052E-6
137	4.502159652419735E-6
138	4.323207555390063E-6
139	4.149895099336831E-6
140	3.981480516168645E-6
141	3.819373196933817E-6
142	3.662853673036537E-6
143	3.5122644269636183E-6
144	3.3673880976969883E-6
145	3.227730089871983E-6
146	3.0915638780104615E-6
147	2.963048020276915E-6
148	2.8400490449387306E-6
149	2.7202418370064763E-6
150	2.605923859255732E-6
151	2.4962132182393404E-6
152	2.3902078662985105E-6
153	2.288601121613887E-6
154	2.1920377579753847E-6
155	2.100149401051965E-6
156	2.01115319131695E-6
157	1.925111194234219E-6
158	1.843009000190854E-6
159	1.7663927274202962E-6
160	1.6903356130359981E-6
161	1.6195757208681272E-6
162	1.5494721241626763E-6
163	1.485066774997712E-6
164	1.4227102198560715E-6
165	1.3611146780778682E-6
166	1.304589089867747E-6
167	1.2489033793805504E-6
168	1.1951024158074475E-6
169	1.1455335545695888E-6
170	1.0968829206037256E-6
171	1.050841664795854E-6
172	1.006835515182658E-6
173	9.636996762818484E-7
174	9.225185509942335E-7
