source 	 destination 	 fft 	 flow 	 cost(min)
16	10	5.0	0.0	5.0
13	14	5.0	3433.9823513894253	11.51828756254659
35	34	5.0	3800.3323890201063	14.777495233156424
4	3	5.0	6806.1319735331645	105.58720592796075
20	26	5.0	10356.415190105876	544.2362662105893
1	7	5.0	10311.159954227396	534.8724953795911
25	26	5.0	0.0	5.0
28	22	5.0	0.0	5.0
11	10	5.0	7974.75431988172	194.58786279096162
25	31	5.0	20048.723601217393	7578.35290964818
32	33	5.0	0.0	5.0
1	2	5.0	9688.8400457726	418.0745375405406
16	15	5.0	6352.999721711527	81.35836594184626
27	28	5.0	2216.7607362458734	6.131922161308606
18	17	5.0	4200.916556575791	19.598811514105833
30	24	5.0	0.0	5.0
30	29	5.0	3258.107263027727	10.282053463906777
27	33	5.0	6341.105663544116	80.78813861924993
18	12	5.0	0.0	5.0
23	17	5.0	0.0	5.0
33	27	5.0	0.0	5.0
22	28	5.0	9534.006854436862	392.29609669548296
28	27	5.0	6840.749901226245	107.64933309254417
35	29	5.0	0.0	5.0
23	22	5.0	5856.2179072339795	60.132818334875935
33	32	5.0	10281.024310881536	528.7051264306608
4	5	5.0	0.0	5.0
34	35	5.0	6243.605926812113	76.23332514905526
10	11	5.0	0.0	5.0
29	35	5.0	7245.670350361478	134.19793328794492
16	17	5.0	4371.0221275567	22.11091763904851
20	19	5.0	4203.600865581484	19.63616078972432
31	25	5.0	0.0	5.0
17	23	5.0	10009.681860956513	475.56798702482575
16	22	5.0	9962.423858046757	466.74408555298754
10	16	5.0	9691.777705099952	418.5757427463986
30	36	5.0	10311.0561118463	534.8511505878705
17	18	5.0	2840.87428617545	8.05315845397744
7	1	5.0	0.0	5.0
21	20	5.0	6076.786158364971	68.92004853122678
33	34	5.0	2866.721245674512	8.165797566876297
24	23	5.0	3928.888855876622	16.16915335000279
6	12	5.0	20048.7225399173	7578.351306034969
11	5	5.0	0.0	5.0
21	15	5.0	0.0	5.0
27	26	5.0	7974.667443905585	194.57960154009865
3	4	5.0	2866.088235527664	8.16300229220542
20	21	5.0	4370.022369307997	22.09526828990513
23	24	5.0	3434.193748341246	11.519892781474548
14	13	5.0	3928.7236180647915	16.167274498142476
34	33	5.0	6806.639893012044	105.61723527252437
14	8	5.0	0.0	5.0
24	18	5.0	0.0	5.0
34	28	5.0	0.0	5.0
3	9	5.0	6383.122634618411	82.81691939136311
13	19	5.0	10027.970382218546	479.01649110085725
23	29	5.0	9496.725660335334	386.2737010798544
26	32	5.0	9670.252087900446	414.91372801743927
22	16	5.0	0.0	5.0
10	4	5.0	0.0	5.0
7	8	5.0	4033.499410144144	17.40707112296393
29	28	5.0	6009.979842224821	66.15519315094537
10	9	5.0	6840.266351381549	107.62031241081954
14	20	5.0	10009.574073937809	475.54771852804026
7	13	5.0	9533.229115544453	392.1697370708996
17	16	5.0	6077.656895158581	68.95669257330393
22	21	5.0	6353.212159135411	81.36857981807431
5	4	5.0	10281.05864648101	528.7121225505027
26	27	5.0	0.0	5.0
31	32	5.0	0.0	5.0
21	27	5.0	9691.783942470503	418.57680741285213
17	11	5.0	0.0	5.0
27	21	5.0	0.0	5.0
36	35	5.0	0.0	5.0
15	14	5.0	5856.057158384292	60.126765163788875
9	15	5.0	9534.115534496135	392.3137564614576
12	18	5.0	11387.912675478778	793.3476796535025
21	22	5.0	4917.143847371574	32.40267339383307
2	3	5.0	6244.138467031022	76.25763127257672
24	30	5.0	9533.175297544161	392.1609943775997
8	2	5.0	0.0	5.0
19	25	5.0	11387.89305510725	793.3422466527996
2	8	5.0	7245.761149161261	134.20440956258707
8	7	5.0	3255.56857146159	10.265609757461958
15	9	5.0	0.0	5.0
20	14	5.0	0.0	5.0
3	2	5.0	3801.0595704178522	14.784980950614308
9	10	5.0	2216.2748281240765	6.130930030136879
14	15	5.0	4848.432428994175	30.90279748986078
19	20	5.0	2843.678192692232	8.065230024093475
29	30	5.0	4035.988077329888	17.437720101525976
32	31	5.0	19951.276398782604	7432.18123847618
19	13	5.0	0.0	5.0
25	19	5.0	0.0	5.0
22	23	5.0	4848.56659907816	30.90566482880293
4	10	5.0	6341.014908475512	80.7837999373708
35	36	5.0	9688.943888153733	418.0922467123159
28	29	5.0	4536.805346552867	24.858290753171577
13	7	5.0	0.0	5.0
26	20	5.0	0.0	5.0
12	6	5.0	0.0	5.0
5	11	5.0	9670.218813601998	414.9080861701736
11	17	5.0	10356.274358158029	544.2069355422844
6	5	5.0	19951.27746008269	7432.182818819925
11	12	5.0	0.0	5.0
26	25	5.0	8660.8305461108	268.7420919679089
32	26	5.0	0.0	5.0
36	30	5.0	0.0	5.0
15	21	5.0	9962.479419762221	466.7543864630832
9	8	5.0	6010.405358045049	66.17251451749786
5	6	5.0	0.0	5.0
15	16	5.0	4917.0111070560715	32.39971452800672
8	9	5.0	4537.406734666847	24.868822317946645
2	1	5.0	0.0	5.0
12	11	5.0	8660.809864438246	268.7395727600719
9	3	5.0	0.0	5.0
29	23	5.0	0.0	5.0
8	14	5.0	9496.690611222677	386.26807251632556
18	24	5.0	10027.870405078143	478.9975879319147
28	34	5.0	6383.192185129866	82.82031101976258
