iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	22.0	0.0	292.0	0.0	0.0
1	16.0	0.0	1826.0	0.0	0.0
2	16.0	0.0	387.0	1.0	1.0
3	2.0	0.0	375.0	0.0	0.0
4	15.0	0.0	8990.0	0.0	0.0
5	16.0	0.0	1016.0	0.0	0.0
6	32.0	0.0	2542.0	1.0	2.0
7	24.0	1.0	2342.0	15.0	0.0
8	16.0	0.0	2408.0	0.0	0.0
9	31.0	0.0	1768.0	0.0	0.0
10	15.0	0.0	1678.0	1.0	1.0
11	23.0	0.0	1254.0	0.0	0.0
12	16.0	0.0	1205.0	0.0	0.0
13	27.0	0.0	1207.0	0.0	0.0
14	15.0	0.0	939.0	0.0	16.0
15	16.0	0.0	1031.0	0.0	0.0
16	16.0	0.0	887.0	1.0	1.0
17	22.0	1.0	756.0	0.0	0.0
18	15.0	0.0	722.0	1.0	1.0
19	21.0	0.0	883.0	1.0	1.0
20	22.0	0.0	697.0	0.0	0.0
21	31.0	0.0	721.0	0.0	0.0
22	31.0	0.0	708.0	0.0	0.0
23	32.0	0.0	697.0	0.0	1.0
24	21.0	0.0	436.0	1.0	1.0
25	21.0	0.0	532.0	0.0	0.0
26	16.0	0.0	425.0	0.0	0.0
27	16.0	0.0	407.0	0.0	0.0
28	15.0	0.0	437.0	0.0	0.0
29	16.0	0.0	421.0	0.0	0.0
30	16.0	0.0	429.0	0.0	0.0
31	16.0	0.0	449.0	0.0	2.0
32	13.0	0.0	421.0	0.0	0.0
33	16.0	0.0	446.0	0.0	0.0
34	15.0	0.0	401.0	0.0	0.0
35	15.0	0.0	424.0	0.0	0.0
36	16.0	0.0	438.0	0.0	0.0
37	15.0	0.0	422.0	0.0	0.0
38	16.0	0.0	432.0	0.0	1.0
39	21.0	0.0	427.0	0.0	0.0
40	30.0	0.0	465.0	0.0	0.0
41	15.0	0.0	485.0	0.0	0.0
42	16.0	0.0	456.0	0.0	0.0
43	31.0	0.0	467.0	0.0	2.0
44	21.0	1.0	483.0	1.0	1.0
45	22.0	0.0	490.0	0.0	0.0
46	31.0	0.0	486.0	0.0	0.0
47	31.0	0.0	535.0	0.0	0.0
48	31.0	0.0	481.0	0.0	0.0
49	16.0	0.0	477.0	0.0	0.0
50	16.0	0.0	523.0	0.0	16.0
51	16.0	0.0	533.0	0.0	0.0
52	27.0	0.0	514.0	0.0	1.0
53	21.0	1.0	488.0	0.0	1.0
54	21.0	0.0	490.0	0.0	1.0
55	22.0	0.0	481.0	0.0	1.0
56	22.0	0.0	489.0	0.0	1.0
57	22.0	0.0	481.0	0.0	1.0
58	21.0	0.0	604.0	0.0	0.0
59	16.0	0.0	501.0	0.0	0.0
60	15.0	0.0	502.0	0.0	0.0
61	16.0	0.0	484.0	0.0	16.0
62	15.0	0.0	484.0	0.0	0.0
63	16.0	0.0	499.0	0.0	0.0
64	16.0	0.0	470.0	0.0	0.0
65	16.0	0.0	454.0	0.0	16.0
66	15.0	0.0	468.0	0.0	0.0
67	15.0	0.0	455.0	0.0	0.0
68	16.0	0.0	453.0	0.0	0.0
69	31.0	0.0	441.0	0.0	1.0
70	20.0	1.0	482.0	0.0	1.0
71	22.0	0.0	447.0	0.0	0.0
72	16.0	0.0	444.0	0.0	0.0
73	15.0	0.0	439.0	0.0	0.0
74	32.0	0.0	437.0	0.0	0.0
75	22.0	1.0	408.0	0.0	0.0
76	16.0	0.0	427.0	0.0	0.0
77	16.0	0.0	409.0	0.0	0.0
78	15.0	0.0	394.0	0.0	2.0
79	20.0	0.0	390.0	0.0	1.0
80	20.0	0.0	382.0	0.0	2.0
81	20.0	0.0	379.0	0.0	0.0
82	16.0	0.0	376.0	0.0	0.0
83	15.0	0.0	360.0	0.0	16.0
84	21.0	0.0	369.0	0.0	0.0
85	15.0	0.0	376.0	0.0	0.0
86	31.0	0.0	360.0	0.0	0.0
87	15.0	0.0	378.0	0.0	1.0
88	13.0	0.0	375.0	0.0	0.0
89	15.0	0.0	377.0	0.0	0.0
90	15.0	0.0	365.0	0.0	0.0
