source 	 destination 	 fft 	 flow 	 cost(min)
10	9	5.0	6840.670736148445	107.64458150741297
15	16	5.0	4917.121075147923	32.40216576949536
22	21	5.0	6353.203264530296	81.36815214972819
9	10	5.0	2216.8180861376036	6.132039301839889
16	15	5.0	6353.178511081657	81.36696196959058
33	34	5.0	2866.1026456400436	8.163065904430148
28	27	5.0	6840.732355464617	107.64827996016746
3	4	5.0	2865.9451337563046	8.162370633588623
27	28	5.0	2216.8717973564767	6.132149018412356
34	33	5.0	6806.180407945589	105.5900691896432
4	3	5.0	6806.034724829402	105.58145713215224
21	22	5.0	4917.141261961625	32.402615761117204
