iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	15	0	219	0	0
1	0	0	487	0	0
2	16	0	573	0	0
3	0	0	438	0	0
4	0	0	707	1	1
5	4	0	737	0	0
6	15	0	804	0	0
7	20	0	695	0	0
8	16	0	663	0	0
9	16	0	689	7	2
10	13	0	652	0	0
11	16	0	640	16	0
12	0	0	633	0	0
13	15	0	621	1	1
14	13	1	596	0	0
15	15	0	564	0	0
16	15	0	453	0	0
17	16	0	438	0	0
18	15	0	426	1	2
19	9	0	407	0	0
20	15	0	391	0	0
21	16	0	391	0	0
22	0	0	375	0	0
23	15	0	369	1	1
24	12	0	337	0	0
25	15	0	360	0	0
26	0	16	329	0	0
27	15	0	328	0	0
28	16	0	339	0	0
29	15	0	320	0	0
30	15	0	329	0	0
31	0	0	313	0	0
32	16	0	312	1	1
33	12	0	309	0	0
34	15	0	336	0	0
35	0	0	305	0	1
36	11	1	281	0	1
37	13	1	275	0	1
38	13	0	303	16	0
39	0	0	245	0	0
40	16	0	219	0	0
41	15	0	235	0	0
42	16	0	219	0	0
43	15	0	235	0	0
44	0	0	234	0	0
45	16	0	218	0	16
46	0	0	237	1	1
47	12	1	217	1	1
48	12	0	221	0	1
49	12	1	223	0	2
50	12	0	224	0	2
51	12	0	205	0	0
52	16	0	227	0	0
53	15	0	219	0	0
54	16	0	219	0	16
55	0	0	247	1	1
56	12	0	220	0	1
57	12	0	226	1	1
58	12	0	229	0	1
59	12	0	233	0	0
60	0	0	245	0	0
61	15	0	219	0	0
62	16	0	219	0	0
63	15	0	237	0	0
64	16	0	232	0	0
65	16	0	227	0	0
66	15	0	226	0	0
67	16	0	234	0	0
68	0	0	235	0	0
69	16	0	203	0	0
70	16	0	220	0	1
71	12	0	205	0	0
72	15	0	219	0	0
73	16	0	203	0	0
74	15	0	219	0	0
75	16	0	203	0	0
76	16	0	215	0	2
77	12	0	209	0	1
78	12	0	207	0	1
79	12	1	210	0	2
80	12	0	201	0	0
81	16	0	203	0	16
82	0	0	215	0	0
83	0	0	221	0	0
84	0	16	202	0	0
85	15	0	203	0	0
86	16	0	223	1	1
87	11	0	188	0	0
88	15	0	203	0	0
89	16	0	218	0	0
90	0	0	219	0	0
91	0	0	205	0	0
92	15	0	200	0	0
93	16	0	205	0	2
94	12	0	197	0	2
95	12	0	202	0	2
96	12	0	188	1	1
97	12	0	192	1	1
98	12	1	201	0	1
99	12	0	187	0	0
100	15	0	204	0	0
101	15	0	195	0	0
102	16	0	187	0	0
103	16	0	198	0	0
104	15	0	188	0	0
105	16	0	227	0	2
106	11	1	177	0	0
107	16	0	187	0	0
108	16	0	201	0	2
109	12	0	196	0	1
110	12	0	186	1	1
111	13	0	191	0	1
112	12	0	188	0	2
113	12	0	189	0	0
114	15	0	204	0	0
115	15	0	185	0	1
116	12	0	191	0	2
117	12	0	187	0	1
118	0	0	212	0	2
119	12	0	190	1	1
120	13	1	184	1	1
121	12	0	184	0	2
122	12	0	207	0	2
123	12	0	206	0	0
124	16	0	172	0	0
125	16	1	195	0	2
126	11	1	168	0	15
127	0	0	178	0	16
128	12	0	173	0	0
129	16	0	172	0	0
130	0	0	187	0	0
131	16	0	169	0	0
132	16	0	171	0	0
133	0	0	184	0	2
134	11	0	171	1	1
135	12	0	168	0	2
136	11	0	171	0	1
137	11	1	172	0	2
138	11	0	178	0	2
139	11	0	167	0	0
140	15	0	172	0	0
141	16	0	167	0	0
142	19	0	159	0	0
143	15	0	188	0	0
144	0	0	177	0	0
145	16	0	172	0	0
146	15	0	183	1	1
147	11	1	168	0	0
148	15	0	172	0	0
149	16	0	188	0	0
150	0	0	188	0	0
151	0	0	182	0	0
152	16	0	161	0	0
153	24	1	156	0	16
154	0	0	183	0	1
155	2	0	185	0	2
156	12	0	176	0	1
157	11	1	172	0	2
158	11	0	173	0	2
159	11	0	170	0	1
160	11	0	176	0	0
161	0	0	187	0	0
162	0	0	172	0	16
163	0	0	176	0	0
164	16	0	172	0	0
165	16	0	175	1	1
166	11	0	152	0	16
167	0	0	171	0	0
168	16	0	167	0	1
169	4	0	172	0	0
170	16	0	172	0	0
171	0	15	157	0	0
172	16	0	172	0	0
173	15	0	157	0	0
174	15	0	172	0	0
175	0	0	171	0	0
176	16	0	172	0	0
177	16	0	172	0	0
178	0	0	172	0	0
179	16	0	174	0	1
180	11	1	159	0	0
181	16	0	161	0	0
182	15	0	180	0	1
183	12	0	175	1	1
184	11	1	169	0	1
185	11	0	151	0	0
186	16	0	172	0	0
187	0	0	172	0	0
188	22	0	167	0	1
189	11	0	167	1	1
190	11	0	161	0	1
191	11	0	163	0	2
192	11	0	168	1	1
193	11	1	166	0	2
194	11	0	162	0	1
195	12	1	169	0	1
196	11	0	161	1	1
197	10	1	158	0	0
198	0	0	172	0	0
199	15	0	172	0	1
200	1	0	172	0	0
201	15	0	159	0	0
202	16	0	169	0	0
203	0	16	156	0	0
204	16	0	156	0	0
205	15	0	173	0	0
206	0	0	171	0	0
207	16	0	156	0	0
208	6	0	150	0	0
209	16	0	176	0	0
210	0	0	177	1	1
211	11	0	164	0	1
212	11	1	158	0	1
213	11	0	162	0	2
214	11	0	159	0	2
215	12	0	162	0	1
216	10	0	160	0	1
217	12	0	155	0	0
218	16	0	156	0	0
219	16	0	168	0	1
220	11	0	147	0	0
221	16	0	156	0	0
222	16	0	175	0	1
223	10	0	162	0	2
224	10	1	163	1	1
225	11	0	163	0	1
226	11	0	166	1	1
227	11	0	150	0	0
228	15	0	163	0	0
229	15	0	157	0	0
230	15	0	162	0	0
231	16	0	166	0	0
232	16	0	156	0	0
233	16	0	172	0	0
234	0	0	157	0	0
235	15	0	156	0	16
236	0	0	156	0	0
237	16	0	157	0	0
238	15	0	161	0	0
239	16	0	156	0	0
240	16	0	151	0	0
241	16	0	156	0	0
