iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.866731158396647E-4	2.0142184859868925E-4	244.47774814888726	21.499207636081433	447.27198696793494	31.43428194560206	752.3762430352472	371.9789493105114
1	9.761811397765996E-4	1.891686991560467E-4	130.71160106972366	5.10857290111271	149.40999802085207	8.045958136952983	328.2560451985846	142.86891044987652
2	8.957824943536252E-4	1.8368919575095788E-4	86.11103436763096	2.3267649882989967	0.9380978491337828	0.2295714317147773	170.25107088806908	82.13251464431586
3	9.871197412394395E-4	2.0129485039888095E-4	0.33631965289168875	0.04960291183303153	0.4094331329661145	0.06545761254921209	122.29202679157561	55.14218913962559
4	9.984414105019823E-4	1.9907283876818838E-4	0.03926701026102819	0.004919883912886653	0.04043074655055534	0.0067030647234170935	92.323882853133	39.71522236790807
5	9.949546911229845E-4	1.963660787775249E-4	0.003276318468124373	4.846005550518839E-4	0.003434574439552307	5.359414403998374E-4	69.69940786267944	32.500439215467495
6	9.893444798763085E-4	1.8829825523880572E-4	9.988274828174326E-4	2.000409230017145E-4	9.962761105271056E-4	1.5205242386118827E-4	52.105643586569386	25.382245685954302
7	9.579814113749308E-4	1.842231318581374E-4	9.923760767378553E-4	2.010753056727784E-4	9.561845417920267E-4	1.6932021089465147E-4	39.860864833709	18.930523892693905
8	8.907900264603086E-4	1.8819801054329824E-4	9.987647808884503E-4	2.110058158280026E-4	9.529423277854221E-4	1.5359061995668663E-4	31.316049591170668	14.655314720890871
9	9.963674965547398E-4	2.4207355572040493E-4	9.923200741468463E-4	1.9175897340671457E-4	9.604675324226264E-4	1.203825741393249E-4	25.20698663451776	10.907509589878632
10	9.783042842173018E-4	1.8253920662421783E-4	9.917071290601598E-4	1.9937272073726174E-4	9.81650368657938E-4	1.2902268025609902E-4	23.128465533965482	9.596506984489457
