source 	 destination 	 fft 	 flow 	 cost(min)
10	9	5.0	8550.847877685479	255.59823149630276
15	16	5.0	6146.419955287554	71.90062906961731
22	21	5.0	7941.498531265796	191.44516281869824
9	10	5.0	2771.0151746877423	7.763738172780634
16	15	5.0	7941.488934030939	191.44426155062408
33	34	5.0	3582.5992715496072	12.722078528053547
28	27	5.0	8550.918131093322	255.60646721607358
3	4	5.0	3582.4575619850198	12.720856814568267
27	28	5.0	2771.084753220699	7.764015766482904
34	33	5.0	8507.690997581543	250.57723874286822
4	3	5.0	8507.555528343139	250.56159766379326
21	22	5.0	6146.423283269394	71.90077396323736
