source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	12111.08440965132	1013.4941997755556
23	22	5.0	7320.137397604692	139.59167927770767
32	33	5.0	0.0	5.0
8	14	5.0	11870.857456639329	935.8284336684703
11	10	5.0	9968.356101949474	467.8448723339156
20	21	5.0	5462.919664664096	46.748467378405216
1	7	5.0	12888.915590348694	1298.6202304807343
35	29	5.0	0.0	5.0
4	3	5.0	8507.555528343139	250.56159766379326
30	29	5.0	4070.411982918489	17.86751707914099
25	26	5.0	0.0	5.0
16	15	5.0	7941.488934030939	191.44426155062408
35	34	5.0	4751.05587249613	28.8837123377251
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	12945.464819198181	1321.4727560518786
25	31	5.0	25060.903255762354	18494.627450646414
15	21	5.0	12453.07202441523	1132.3201776633252
6	5	5.0	24939.096823975426	18137.770550479174
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	2771.084753220699	7.764015766482904
30	24	5.0	0.0	5.0
33	32	5.0	12851.30851958922	1283.5881638963133
28	22	5.0	0.0	5.0
23	17	5.0	0.0	5.0
34	35	5.0	7804.9534009608415	178.94924120989964
27	33	5.0	7926.216793557287	190.01420236926538
22	28	5.0	11917.571969228868	950.5672324878569
28	27	5.0	8550.918131093322	255.60646721607358
18	17	5.0	5253.483474645343	40.705141838971954
17	23	5.0	12512.005712523163	1153.8121411340842
7	1	5.0	0.0	5.0
20	19	5.0	5253.498103343038	40.705539534642085
29	30	5.0	5042.828970068009	35.31365036288784
23	29	5.0	11870.855405963002	935.8277904706739
29	35	5.0	9057.18775567308	320.4385471640735
10	11	5.0	0.0	5.0
17	18	5.0	3553.5341870679895	12.474519385547818
20	14	5.0	0.0	5.0
14	13	5.0	4910.985157979465	32.26564445252342
31	25	5.0	0.0	5.0
21	20	5.0	7596.329351151373	161.0832950437543
30	36	5.0	12888.914715862218	1298.619879402857
10	16	5.0	12114.735253472803	1014.7107778627172
16	17	5.0	5462.926234452656	46.74866820808239
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	7978.991106074084	194.99107700831817
27	21	5.0	0.0	5.0
16	22	5.0	12453.072252731145	1132.3202603369477
6	12	5.0	25060.903176024796	18494.627215328845
24	23	5.0	4910.976216660193	32.26544588530436
34	33	5.0	8507.690997581543	250.57723874286822
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	9968.35417023969	467.84451356595093
13	19	5.0	12534.922420744677	1162.2518466446227
33	34	5.0	3582.5992715496072	12.722078528053547
23	24	5.0	4292.551558726224	20.914879760237657
13	14	5.0	4292.562059051256	20.91503548302512
3	4	5.0	3582.4575619850198	12.720856814568267
14	20	5.0	12512.005202939345	1153.8119539807035
17	16	5.0	7596.332212454379	161.0835302109425
22	16	5.0	0.0	5.0
26	32	5.0	12087.788224648655	1005.7570341206435
29	28	5.0	7512.8085946163565	154.3312079733974
7	8	5.0	5042.805498182841	35.31308598637861
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	12114.73758592436	1014.7115554619322
10	9	5.0	8550.847877685479	255.59823149630276
36	35	5.0	0.0	5.0
36	30	5.0	0.0	5.0
5	4	5.0	12851.309820879189	1283.5886817623982
31	32	5.0	0.0	5.0
26	27	5.0	0.0	5.0
21	22	5.0	6146.423283269394	71.90077396323736
3	2	5.0	4751.065717593978	28.88391030484829
9	10	5.0	2771.0151746877423	7.763738172780634
9	15	5.0	11917.573890900072	950.5678423670392
19	25	5.0	14234.87249097312	1929.6670261754864
2	3	5.0	7804.95885730994	178.9497276337035
15	9	5.0	0.0	5.0
7	13	5.0	11916.499321816471	950.2268533158373
8	2	5.0	0.0	5.0
14	15	5.0	6060.56478223363	68.24026367813667
19	20	5.0	3553.548033114596	12.474635881569188
12	18	5.0	14234.871674224027	1929.666584451848
2	8	5.0	9057.19126993536	320.439036735213
8	7	5.0	4070.3892296506183	17.867229368109022
35	36	5.0	12111.085284137793	1013.4944910507552
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	10826.030764789222	648.899826951041
32	26	5.0	0.0	5.0
32	31	5.0	24939.096744237875	18137.7703185762
22	23	5.0	6060.562433110565	68.2401656284789
11	17	5.0	12945.462402947529	1321.4717731818748
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	11916.497728712704	950.2263478505602
4	10	5.0	7926.211854521066	190.01374122064095
5	6	5.0	0.0	5.0
15	14	5.0	7320.135627461851	139.59154909085566
26	20	5.0	0.0	5.0
5	11	5.0	12087.787003096237	1005.756629587749
15	16	5.0	6146.419955287554	71.90062906961731
12	11	5.0	10826.031501800768	648.9000022920005
28	34	5.0	7978.989254496646	194.99090065365658
12	6	5.0	0.0	5.0
9	8	5.0	7512.806613964099	154.33105049669683
28	29	5.0	5671.557931475953	53.50100867378142
8	9	5.0	5671.55669579235	53.50096640540838
22	21	5.0	7941.498531265796	191.44516281869824
18	24	5.0	12534.922386646675	1162.2518340526096
2	1	5.0	0.0	5.0
29	23	5.0	0.0	5.0
19	13	5.0	0.0	5.0
9	3	5.0	0.0	5.0
