iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.578433239028072E-4	1.9918425664163428E-4	589.4676299540333	52.974421110335356	999.5937252504118	77.83359933929569	1885.6556631323	854.663335794493
1	9.727906654006802E-4	1.9908528406631376E-4	298.39238564232073	11.729805930355042	312.6113835805518	10.106104873144169	818.3403153558902	345.00062823173874
2	9.281012426072266E-4	1.823686829993676E-4	190.28565910978796	5.088592134888313	189.16322766233134	4.77401314674386	430.6636033852501	213.98975388788423
3	9.134443025686778E-4	1.790444640240215E-4	1.319725133218526	0.10846696392123052	0.7849490682556279	0.15802383617640317	301.5145032245273	143.6536795998422
4	9.92042652796954E-4	1.9241857413968924E-4	0.08144991833341919	0.010891442922966548	0.07837140580750201	0.011995049223763224	226.16618752466184	114.27167909507902
5	9.788231081984122E-4	1.969886363895057E-4	0.008202880180760985	0.0012445870125489937	0.011824760114450328	0.0014215871134224884	171.09241607100557	83.28161222507366
6	9.96046060208755E-4	1.9857244183185685E-4	9.917055931509822E-4	1.983652454238395E-4	9.962476615328342E-4	1.466189934958425E-4	130.7954424804484	63.96022314824439
7	9.57682228545309E-4	1.914844807136736E-4	9.786267000890803E-4	2.0109685848248253E-4	9.80379838438239E-4	1.480637461749471E-4	101.10495341299247	48.24549393123129
8	9.192628385790158E-4	1.8770227704105005E-4	9.865679694485152E-4	1.8615750421805137E-4	9.938275579770561E-4	1.3402194806467883E-4	79.94486071779284	37.55529893196693
9	9.422526100024697E-4	1.8825822758117283E-4	9.926367456500884E-4	2.0094895686187638E-4	9.93431378446985E-4	1.5565144700443713E-4	64.8892010353793	29.05207524671937
10	9.543363139528083E-4	2.713083147985647E-4	9.827638241404202E-4	1.9568883246780816E-4	9.922491040015302E-4	1.5972314872669813E-4	60.03143505008484	26.915747970446677
11	9.700643367978046E-4	1.942326539392525E-4	9.954914457921404E-4	2.064002770192233E-4	9.670706604083534E-4	1.4482965452375737E-4	56.48492842668111	24.48615360950962
