iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	9.61313041725198E-7	0.007669160171990486	0.0086356382820727	0.04177310014969926
1	6.180897793583995E-9	8.469892289963976E-4	8.72247325589437E-4	0.019203406661038147
2	5.582051154640055E-9	8.773637124004363E-5	9.193225101411517E-5	0.00921548793079463
3	5.531321400908951E-9	8.859410771444587E-6	9.444184994045202E-6	0.005173917915224591
4	6.0266774903894316E-9	8.767698980172156E-7	9.246253408479177E-7	0.0031941066380425376
5	5.980843820196924E-9	9.60987071030317E-8	9.361551456255057E-8	0.002470280811782022
6	5.753318044199318E-9	1.6778368250314202E-8	1.7725601098028676E-8	0.001943344808371661
7	5.661633273312816E-9	1.709164654251083E-8	1.822063311340827E-8	0.001535514186068232
8	5.472036712639294E-9	1.5540828179894106E-8	1.7269609853265422E-8	0.0012319660328299342
9	5.544100956100806E-9	1.5967693056673227E-8	1.8283125013951462E-8	0.001008500045515559
10	7.226676701499457E-9	1.5829438870795798E-8	1.8071329210833653E-8	9.067584975948062E-4
11	6.107664263232948E-9	1.6223811738491634E-8	1.7414899744494505E-8	8.247202467911441E-4
12	5.7952682652739895E-9	1.5776444262094458E-8	1.7182572142893093E-8	7.470522940293822E-4
13	5.860687268821607E-9	1.5753274573704346E-8	1.7745976688132714E-8	6.751243011848818E-4
14	5.624757770661404E-9	1.5597678926226877E-8	1.7768413740348876E-8	6.087661832462343E-4
15	5.5212380223323976E-9	1.3164242473884258E-8	1.7062638191234214E-8	5.480531810799771E-4
16	5.375087819281532E-9	1.3445658364474866E-8	1.6815595027530605E-8	4.914353451619391E-4
17	6.1317562138896164E-9	1.4039196583048863E-8	1.7339768509927467E-8	4.397156876023711E-4
18	5.725351082119801E-9	1.4916131108044794E-8	1.7420447750993162E-8	3.921051440608503E-4
19	5.497930444242627E-9	1.5101014438911875E-8	1.7947503483384253E-8	3.4953614630528484E-4
20	5.732762931032198E-9	1.4591754804449408E-8	1.7965396059693717E-8	3.109223034428732E-4
21	5.705184658033602E-9	1.6042102535251956E-8	1.719648790032835E-8	2.743549333510398E-4
22	5.9568169286094985E-9	1.561136908634353E-8	1.81779841179619E-8	2.4071328177688311E-4
23	5.802845537417056E-9	1.507511793175098E-8	1.7721952794147455E-8	2.1119755604259716E-4
24	5.800668056998859E-9	1.5794645258360163E-8	1.794804616039869E-8	1.8339812744150308E-4
25	5.598341124013473E-9	1.6510196099162044E-8	1.7362853377278498E-8	1.631908245186553E-4
26	5.5582300984013955E-9	1.611797739720089E-8	1.7904927762657508E-8	1.433913006673171E-4
27	5.8184654871951125E-9	1.6494738352967886E-8	1.6606482078351803E-8	1.31141130806256E-4
28	5.715688700114185E-9	1.662805826363467E-8	1.789779002780989E-8	1.258337948865096E-4
29	6.295809207301772E-9	1.6368628674712227E-8	1.7444372502062322E-8	1.1928314729447997E-4
30	5.933599389607025E-9	1.7095648119358486E-8	1.768485180519974E-8	1.1284336322314736E-4
31	5.473619668627805E-9	1.706404917367621E-8	1.6988938922324337E-8	1.0724994200450588E-4
32	5.845214978705826E-9	1.5792266605529903E-8	1.7543425601118656E-8	1.015466900443629E-4
33	5.53322532237388E-9	1.528762694213981E-8	1.8013209035494526E-8	9.51141996804461E-5
34	5.634710920077168E-9	1.6373885802778432E-8	1.8674702340071292E-8	9.505296738998581E-5
35	5.8787933410187065E-9	1.8817701952222876E-8	1.7530160323353527E-8	9.733100887809876E-5
36	5.827980875672267E-9	1.7543049901647123E-8	1.5608841330561063E-8	9.823589342161654E-5
37	5.328881003130448E-9	2.0120819899105413E-8	1.7369476190687294E-8	9.880836469999821E-5
38	5.984258089064554E-9	1.958617801278706E-8	1.8773661070170533E-8	9.929209303360942E-5
39	5.856376050772383E-9	1.7813004959954526E-8	2.0088077978819285E-8	9.933366377989916E-5
40	6.033433308516578E-9	1.5569886158139923E-8	1.8503568788297287E-8	9.939966417571444E-5
41	5.681105696986322E-9	1.3395996423248846E-8	1.7554271591890824E-8	9.92659755232328E-5
42	5.8006838221658086E-9	1.1789581200183363E-8	1.707299712716548E-8	9.894945510935393E-5
43	6.489886517080379E-9	1.1583461079212043E-8	1.5831029820390086E-8	9.843761310146526E-5
44	5.86055348694714E-9	1.4542591242339142E-8	1.560801754507679E-8	9.807858737798103E-5
45	5.740177111412947E-9	1.1348168293956462E-8	1.531819726618977E-8	9.711243037724415E-5
46	5.128228175443894E-9	1.1874510486009626E-8	1.6233603794546525E-8	9.621504734202979E-5
47	6.1820614183361045E-9	1.1819771827958903E-8	1.464258403416352E-8	9.518510131956148E-5
48	5.269056746470824E-9	1.1794707988066477E-8	1.467359389550893E-8	9.427741386069943E-5
49	6.061955493130711E-9	1.163617013855145E-8	1.3267088649904224E-8	9.323333086219687E-5
50	5.710901418432002E-9	1.1497540697291697E-8	1.267158622475506E-8	9.214724391637397E-5
51	5.637521560686309E-9	1.2986526631841855E-8	1.3245329721911503E-8	9.095840530959354E-5
52	5.603182806623863E-9	1.1817210987530302E-8	1.1858973691936114E-8	9.001904330441235E-5
53	5.703551186897471E-9	1.1603853433683753E-8	1.1431175783727099E-8	8.87038965530218E-5
54	5.563202010172574E-9	1.1323336934765393E-8	1.164004836962107E-8	8.743719155768215E-5
55	5.7396142283394624E-9	1.157566709153457E-8	1.0857182486390116E-8	8.63226941316686E-5
56	5.815121384422639E-9	1.1900845309220642E-8	1.1595545412745878E-8	8.521937756988951E-5
57	6.10918460264287E-9	1.1414925227271056E-8	1.2444074881656775E-8	8.399665547553781E-5
58	6.1657180472352024E-9	1.1510633779465707E-8	1.1787595344259216E-8	8.291781851288427E-5
59	5.538336345090045E-9	1.1161633062251042E-8	1.1273323385907474E-8	8.181635630843953E-5
60	6.012112252484769E-9	1.1362624285915501E-8	1.0984551268578002E-8	8.062446161172243E-5
