IterationNo	solveNetTime (ms)
0	2.0
1	10.0
2	12.0
3	12.0
4	25.0
5	35.0
6	50.0
7	80.0
8	101.0
9	115.0
10	143.0
11	232.0
12	264.0
13	250.0
14	402.0
15	579.0
16	297.0
17	367.0
18	617.0
19	735.0
20	1000.0
21	1089.0
22	957.0
23	1838.0
24	1262.0
25	1365.0
26	5007.0
27	1396.0
28	3407.0
29	5227.0
30	4488.0
31	2413.0
32	1467.0
33	2435.0
34	2513.0
35	6569.0
36	5743.0
37	4498.0
38	8064.0
39	2002.0
40	1816.0
41	1804.0
42	1722.0
43	1743.0
44	1749.0
45	3965.0
46	3650.0
47	3198.0
48	3243.0
49	3062.0
50	2898.0
51	2641.0
52	2879.0
53	17519.0
54	21133.0
55	20823.0
56	20754.0
57	20380.0
58	20030.0
59	19754.0
60	19764.0
61	19726.0
62	19217.0
63	19271.0
64	19047.0
65	18551.0
66	18467.0
67	18108.0
68	18499.0
69	17989.0
70	17645.0
71	17209.0
72	17175.0
73	17337.0
74	17032.0
75	16878.0
76	17039.0
77	16545.0
78	16128.0
79	15947.0
80	15810.0
81	15562.0
82	15782.0
83	15403.0
84	15304.0
85	15535.0
86	15381.0
87	15007.0
88	14498.0
89	14422.0
90	14191.0
91	14078.0
92	14154.0
93	13739.0
94	13559.0
95	13214.0
96	13466.0
97	13317.0
98	12893.0
99	12546.0
100	12431.0
101	12145.0
102	11641.0
103	11844.0
104	11597.0
105	11608.0
106	11168.0
107	11109.0
108	10963.0
109	10815.0
110	10302.0
111	9994.0
112	10029.0
113	9912.0
114	9753.0
115	9426.0
116	9082.0
117	8882.0
118	8292.0
119	17175.0
120	16575.0
121	15662.0
122	15449.0
123	15303.0
124	14913.0
125	14702.0
126	14298.0
127	13945.0
128	13905.0
129	13750.0
130	13227.0
131	13073.0
132	12806.0
133	12732.0
134	12349.0
135	12334.0
136	12069.0
137	11966.0
138	11463.0
139	11500.0
140	11077.0
141	10655.0
142	11523.0
143	11275.0
144	11234.0
145	11082.0
146	10610.0
147	10437.0
148	10347.0
149	10049.0
150	9668.0
151	9457.0
152	9246.0
153	9144.0
154	8811.0
155	8903.0
156	8623.0
157	8693.0
158	8967.0
159	7948.0
160	7495.0
161	7638.0
162	7368.0
163	7309.0
164	7084.0
165	6597.0
166	5919.0
167	6164.0
168	5532.0
169	5385.0
170	4912.0
171	4731.0
172	4617.0
173	4068.0
174	3819.0
175	3678.0
176	3227.0
177	3930.0
