IterationNo	Gap
0	1.0
1	0.9969577618225296
2	0.7650772161467345
3	0.7489136370721168
4	0.357647525201931
5	0.21902829346315733
6	0.25367107436175473
7	0.16032593661558847
8	0.09084361519867123
9	0.07224620881186883
10	0.07368403451137773
11	0.06199904028852232
12	0.05909797661526228
13	0.052936566772182836
14	0.04439458592504841
15	0.03748766391727709
16	0.031524707971054
17	0.027367284853133222
18	0.022211485675178833
19	0.02245588943068233
20	0.019695821510982814
21	0.015130774778761236
22	0.01464199263766297
23	0.012573381003717965
24	0.011165700649495292
25	0.005809969196760134
26	0.007463440599802307
27	0.006227894304964066
28	0.005321740836737199
29	0.006031950959177301
30	0.0041473782565930595
31	0.003744991519533336
32	0.0033364060997412848
33	0.002966836354370339
34	0.00243263235395208
35	0.0022634484229088203
36	0.0017370145771612444
37	0.0015902203887522282
38	8.995626107356491E-4
39	6.150756767582255E-4
40	5.422024839089046E-4
41	4.909031914974715E-4
42	4.4901308759570657E-4
43	4.117214246729395E-4
44	3.7885303874263254E-4
45	3.810383195659295E-4
46	3.060458215713435E-4
47	3.0385349387807015E-4
48	2.962529876562314E-4
49	2.8559459577415236E-4
50	2.800045679713925E-4
51	2.735725962931257E-4
52	2.6565696847224984E-4
53	2.5683014807575955E-4
54	2.4749595067685703E-4
55	2.3789315219591156E-4
56	2.2822995925786405E-4
57	2.1863906744024053E-4
58	2.0921445527266602E-4
59	2.000185786350528E-4
60	1.910935395937896E-4
61	1.8246576659464164E-4
62	1.7415446842294902E-4
63	1.6616385161760672E-4
64	1.584956719864472E-4
65	1.511499784665471E-4
66	1.4412098648219906E-4
67	1.373985232919761E-4
68	1.309776655101791E-4
69	1.248454240481145E-4
70	1.1899480076094093E-4
71	1.1341299927059012E-4
72	1.0809032442493649E-4
73	1.0301489515551765E-4
74	9.817651557952889E-5
75	9.356641822333422E-5
76	8.917359522297996E-5
77	8.498722534189262E-5
78	8.099960543039852E-5
79	7.720072674877176E-5
80	7.358122778633458E-5
81	7.01342044109321E-5
82	6.685065937972468E-5
83	6.372154216904846E-5
84	6.074204016226492E-5
85	5.790471627931115E-5
86	5.520138524761631E-5
87	5.26253422955536E-5
88	5.01715356187038E-5
89	4.7834240302857545E-5
90	4.560764055638877E-5
91	4.348765527695253E-5
92	4.146577027519527E-5
93	3.953962472402761E-5
94	3.770588385720863E-5
95	3.5957812161924174E-5
96	3.4291289243482126E-5
97	3.2703001744960325E-5
98	3.119077457869324E-5
99	2.974864959726098E-5
100	2.837485664863859E-5
101	2.7064045640456946E-5
102	2.5816570487835477E-5
103	2.4626646279113373E-5
104	2.3491631469974017E-5
105	2.241089702803567E-5
106	2.137949950542506E-5
107	2.0396241486086986E-5
108	1.9459293980506054E-5
109	1.8564901343776086E-5
110	1.771391369354003E-5
111	1.690125625808392E-5
112	1.6126215948819578E-5
113	1.538761479369377E-5
114	1.4682629480011755E-5
115	1.4010218260529506E-5
116	1.3369702562382457E-5
117	1.2759065499690081E-5
118	1.2175546796555636E-5
119	1.17134178398981E-5
120	1.0972380488971645E-5
121	1.0522980620097933E-5
122	1.0396021101088948E-5
123	1.023593774196474E-5
124	9.996703811299135E-6
125	9.697372134853666E-6
126	9.35814404423585E-6
127	8.997472022098663E-6
128	8.629066642007466E-6
129	8.258849996001238E-6
130	7.89414746305006E-6
131	7.538367450155015E-6
132	7.192496950358951E-6
133	6.858807951815038E-6
134	6.5376934056393665E-6
135	6.230252039274298E-6
136	5.935785521549164E-6
137	5.654184819126051E-6
138	5.384794733886977E-6
139	5.12911484440437E-6
140	4.916556084366697E-6
141	4.711835322468438E-6
142	4.515368867474834E-6
143	4.323228400604506E-6
144	4.1410572383382416E-6
145	3.9640797357964885E-6
146	3.7952929748952258E-6
147	3.63332894459667E-6
148	3.4764863146019565E-6
149	3.3271608320672996E-6
150	3.1822554223959187E-6
151	3.045224671538449E-6
152	2.9140407787897615E-6
153	2.787680513094415E-6
154	2.6673864185200458E-6
155	2.5515503612183466E-6
156	2.4406036237545337E-6
157	2.3344533207625418E-6
158	2.2332373588174192E-6
159	2.136795433704819E-6
160	2.0438866610295037E-6
161	1.9554547582290027E-6
162	1.8695575343397053E-6
163	1.7884527059308652E-6
164	1.710988737024799E-6
165	1.6358048232634204E-6
166	1.5649887653568229E-6
167	1.4980672710107612E-6
168	1.431189828204893E-6
169	1.3709110530113477E-6
170	1.311042483354008E-6
171	1.2532423327993314E-6
172	1.2006198620850839E-6
173	1.1483474359197388E-6
174	1.097603577804307E-6
175	1.0518821090821362E-6
176	1.0063050089881287E-6
177	9.6295606266672E-7
178	9.420524741399205E-7
