source 	 destination 	 fft 	 flow 	 cost(min)
16	10	5.0	0.0	5.0
13	14	5.0	5151.000793355144	37.99952949774428
35	34	5.0	5700.496070068502	54.498482318350526
4	3	5.0	10209.411500304177	514.2653358393409
20	26	5.0	15534.582704890858	2734.8554247398483
1	7	5.0	15466.718118886918	2687.464375688386
25	26	5.0	0.0	5.0
28	22	5.0	0.0	5.0
11	10	5.0	11962.115935091473	964.7835664269128
25	31	5.0	30073.084648455802	38345.095263214695
32	33	5.0	0.0	5.0
1	2	5.0	14533.281881113078	2096.2024006977035
16	15	5.0	9529.560998638113	391.574193050572
27	28	5.0	3324.9043195340028	10.728723870786041
18	17	5.0	6300.970857310524	78.8875327023561
30	24	5.0	0.0	5.0
30	29	5.0	4887.553922017496	31.748998592913406
27	33	5.0	9511.664115458861	388.6783585729705
18	12	5.0	0.0	5.0
23	17	5.0	0.0	5.0
33	27	5.0	0.0	5.0
22	28	5.0	14301.03723640231	1965.7012716814938
28	27	5.0	10260.9434317332	524.6254985488584
35	29	5.0	0.0	5.0
23	22	5.0	8784.328744160433	284.1101321786484
33	32	5.0	15421.54694011093	2656.264405141261
4	5	5.0	0.0	5.0
34	35	5.0	9365.407590385512	365.6185083648877
10	11	5.0	0.0	5.0
29	35	5.0	10868.514834207781	659.0667780477935
16	17	5.0	6556.539228930597	91.62433961967301
20	19	5.0	6304.919043274156	79.07289843709779
31	25	5.0	0.0	5.0
17	23	5.0	15014.543503249071	2387.263579141397
16	22	5.0	14943.649454216584	2342.587984734839
10	16	5.0	14537.686895044913	2098.738913714455
30	36	5.0	15466.573645475057	2687.364150327694
17	18	5.0	4260.881036702846	20.450371145369587
7	1	5.0	0.0	5.0
21	20	5.0	9115.419243121332	328.6293284991533
33	34	5.0	4299.878715337227	21.023821705304407
24	23	5.0	5893.360375103798	61.544878555688
6	12	5.0	30073.08479034195	38345.095986775785
11	5	5.0	0.0	5.0
21	15	5.0	0.0	5.0
27	26	5.0	11962.035797688573	964.7578473016763
3	4	5.0	4299.382971284108	21.016433273050193
20	21	5.0	6555.319215242077	91.55988281859827
23	24	5.0	5151.338795550848	38.00819190086293
14	13	5.0	5893.106494504696	61.53513557775043
34	33	5.0	10209.761539989595	514.3351820772134
14	8	5.0	0.0	5.0
24	18	5.0	0.0	5.0
34	28	5.0	0.0	5.0
3	9	5.0	9574.697821814401	398.9504371168581
13	19	5.0	15041.937829818344	2404.6971634216825
23	29	5.0	14245.11094617822	1935.2102826497617
26	32	5.0	14505.368411430634	2080.1826855497684
22	16	5.0	0.0	5.0
10	4	5.0	0.0	5.0
7	8	5.0	6050.695009746483	67.82931586350217
29	28	5.0	9014.974793913172	314.59885638095227
10	9	5.0	10260.598472519569	524.5556256115174
14	20	5.0	15014.379404501899	2387.159434767006
7	13	5.0	14299.832128669885	1965.0404643360012
17	16	5.0	9116.503706404636	328.7833649734713
22	21	5.0	9529.72405681517	391.60065206629645
5	4	5.0	15421.580750361918	2656.2876557814516
26	27	5.0	0.0	5.0
31	32	5.0	0.0	5.0
21	27	5.0	14537.660800947582	2098.72388131479
17	11	5.0	0.0	5.0
27	21	5.0	0.0	5.0
36	35	5.0	0.0	5.0
15	14	5.0	8784.13124959976	284.08503253786165
9	15	5.0	14301.136353519916	1965.7556288797057
12	18	5.0	17081.885154427775	3996.0252132046016
21	22	5.0	7375.657702377394	143.72166537245707
2	3	5.0	9366.049863580856	365.71744241621616
24	30	5.0	14299.773754271624	1965.0084596296406
8	2	5.0	0.0	5.0
19	25	5.0	17081.834557314018	3995.977927215336
2	8	5.0	10868.612588317053	659.0903097184514
8	7	5.0	4883.809019527055	31.66711115235846
15	9	5.0	0.0	5.0
20	14	5.0	0.0	5.0
3	2	5.0	5701.380570783883	54.52921061523206
9	10	5.0	3324.6172111294504	10.726745405742166
14	15	5.0	7272.687452167738	136.13571134720925
19	20	5.0	4265.022315785176	20.510525504203155
29	30	5.0	6054.353813221683	67.98142315876942
32	31	5.0	29926.91535154419	37605.1088059164
19	13	5.0	0.0	5.0
25	19	5.0	0.0	5.0
22	23	5.0	7272.874607536351	136.14921045600394
4	10	5.0	9511.552221343361	388.66030470038004
35	36	5.0	14533.426354524976	2096.2855553914187
28	29	5.0	6805.1785731480695	105.5308568987656
13	7	5.0	0.0	5.0
26	20	5.0	0.0	5.0
12	6	5.0	0.0	5.0
5	11	5.0	14505.334459299058	2080.1632564318825
11	17	5.0	15534.418160115652	2734.7397663229976
6	5	5.0	29926.91520965805	37605.10809285472
11	12	5.0	0.0	5.0
26	25	5.0	12991.25009114891	1340.1960968255562
32	26	5.0	0.0	5.0
36	30	5.0	0.0	5.0
15	21	5.0	14943.694474388827	2342.6161543167354
9	8	5.0	9015.486198694298	314.6691145069017
5	6	5.0	0.0	5.0
15	16	5.0	7375.559080337279	143.71424597215272
8	9	5.0	6805.94346900963	105.57606282601341
2	1	5.0	0.0	5.0
12	11	5.0	12991.199635908022	1340.1753544804346
9	3	5.0	0.0	5.0
29	23	5.0	0.0	5.0
8	14	5.0	14245.041308218784	1935.1725391965224
18	24	5.0	15041.795333825281	2404.606233017574
28	34	5.0	9574.794344969258	398.9663231175497
