IterationNo	solveNetTime (ms)
0	0.0
1	0.0
2	16.0
3	15.0
4	16.0
5	42.0
6	51.0
7	71.0
8	84.0
9	102.0
10	168.0
11	222.0
12	230.0
13	350.0
14	172.0
15	175.0
16	343.0
17	250.0
18	423.0
19	468.0
20	454.0
21	515.0
22	768.0
23	768.0
24	1201.0
25	1293.0
26	1205.0
27	1776.0
28	1731.0
29	1704.0
30	3571.0
31	3404.0
32	2501.0
33	2109.0
34	1659.0
35	2955.0
36	2033.0
37	2346.0
38	2440.0
39	2547.0
40	2613.0
41	2533.0
42	2704.0
43	2946.0
44	2394.0
45	2857.0
46	3049.0
47	3069.0
48	2901.0
49	2978.0
50	2866.0
51	2856.0
52	2380.0
53	2535.0
54	2166.0
55	2427.0
56	2386.0
57	2253.0
58	2139.0
59	2311.0
60	2486.0
61	2375.0
62	1577.0
63	1460.0
64	1667.0
65	1384.0
66	1384.0
67	1407.0
68	1422.0
69	1424.0
70	3143.0
71	1270.0
72	1200.0
73	1257.0
74	1355.0
75	1360.0
76	1298.0
77	1422.0
78	16691.0
79	15883.0
80	15543.0
81	14946.0
82	14674.0
83	14432.0
84	13912.0
85	13749.0
86	13657.0
87	13379.0
88	3117.0
89	1027.0
90	1015.0
91	1017.0
92	929.0
93	901.0
94	861.0
95	891.0
96	844.0
97	906.0
98	852.0
99	807.0
100	786.0
101	806.0
102	800.0
103	687.0
104	666.0
105	626.0
106	664.0
107	671.0
108	673.0
109	713.0
110	701.0
111	634.0
112	656.0
113	641.0
114	751.0
115	625.0
116	711.0
117	773.0
118	627.0
119	751.0
120	688.0
121	729.0
122	678.0
123	727.0
124	728.0
125	740.0
126	731.0
127	640.0
128	766.0
129	685.0
130	615.0
131	552.0
132	584.0
133	651.0
134	542.0
135	600.0
136	516.0
137	574.0
138	644.0
139	653.0
140	545.0
141	625.0
142	434.0
143	618.0
144	608.0
145	420.0
146	483.0
147	504.0
148	480.0
149	583.0
150	483.0
151	580.0
152	473.0
153	438.0
154	422.0
155	462.0
156	468.0
157	425.0
158	331.0
159	360.0
160	346.0
161	292.0
162	268.0
163	308.0
164	313.0
165	265.0
166	299.0
167	281.0
168	312.0
169	266.0
170	283.0
171	250.0
172	264.0
173	250.0
174	251.0
175	266.0
176	250.0
177	250.0
178	250.0
179	234.0
180	251.0
181	235.0
182	235.0
183	219.0
184	219.0
