IterationNo	Gap
0	1.0
1	0.9967787689002331
2	0.7629807346050401
3	0.7448199045682447
4	0.35460124844791896
5	0.2150849910729712
6	0.2501383187855699
7	0.1586463299916272
8	0.08012055458995526
9	0.0723769298986141
10	0.07368393115962235
11	0.08574743009525765
12	0.04951811905521064
13	0.05501604594029863
14	0.06085976269023885
15	0.0375372713062575
16	0.04155014274970015
17	0.03404270829645584
18	0.01576050460278411
19	0.013487673184731097
20	0.010160545342767002
21	0.008843546731841956
22	0.005669114409425191
23	0.006765070938761331
24	0.0055483629542542046
25	0.0053479335495175695
26	0.004011116564361816
27	0.003998831125808899
28	0.002888802328341211
29	0.0028252819969941667
30	0.003047933222705801
31	0.003676886208063168
32	0.0019849777309712824
33	0.0013751440807385773
34	0.001228343105473595
35	0.0011314113922088476
36	9.356008747051225E-4
37	8.720383251965558E-4
38	8.188411232145087E-4
39	7.724096649883716E-4
40	7.305592809395689E-4
41	6.921522035880923E-4
42	6.565539398668552E-4
43	6.233483392904526E-4
44	6.079528226072828E-4
45	5.2090530398341E-4
46	4.8608026954233274E-4
47	4.6326934848128776E-4
48	4.490728238631947E-4
49	4.3740993136798245E-4
50	4.2417754368329064E-4
51	4.0991677803148274E-4
52	3.950278176689803E-4
53	4.570596722525133E-4
54	3.62214888964707E-4
55	3.495479952175806E-4
56	3.3533953273867656E-4
57	3.2092043386267033E-4
58	3.067618690462126E-4
59	2.9300995070991043E-4
60	2.7974328413082894E-4
61	2.468923682514834E-4
62	2.5317716192141404E-4
63	2.712599408400962E-4
64	2.6379314168323287E-4
65	2.496150145223641E-4
66	2.3445392915855123E-4
67	2.1996026517723255E-4
68	2.0654190551394613E-4
69	1.942175655637035E-4
70	1.8289118968772833E-4
71	1.724687656552426E-4
72	1.627905170278332E-4
73	1.5381449213325293E-4
74	1.4544058801813087E-4
75	1.376110977667766E-4
76	1.3027407143539893E-4
77	1.233837905560975E-4
78	1.1695443589754273E-4
79	1.338097175398456E-4
80	1.3037095575718638E-4
81	1.246099313102489E-4
82	1.184613507790866E-4
83	1.1244822349132377E-4
84	1.0673269246352923E-4
85	1.0132751685798524E-4
86	9.621375966561985E-5
87	9.141295098791247E-5
88	8.688237101839302E-5
89	8.021940199520738E-5
90	7.194862295856197E-5
91	6.645634521929011E-5
92	6.199101204784618E-5
93	5.8100687002959894E-5
94	5.459318568901139E-5
95	5.13661970072965E-5
96	4.8358448988428115E-5
97	4.554077882990004E-5
98	4.288923754680596E-5
99	4.059682362589356E-5
100	4.155010673623227E-5
101	4.705814205352432E-5
102	4.665961749705794E-5
103	4.489568913779163E-5
104	4.282937339694648E-5
105	4.074083304306253E-5
106	3.873339627880057E-5
107	3.682119788428473E-5
108	3.5009265283214575E-5
109	3.329418253217309E-5
110	3.167324926489634E-5
111	3.014071211682179E-5
112	2.8687844932595574E-5
113	2.7313104817294764E-5
114	2.6008651343945033E-5
115	2.4774439673858062E-5
116	2.3595366250739325E-5
117	2.2479274207842792E-5
118	2.1419831261804134E-5
119	2.0407013574086363E-5
120	1.9448808555089236E-5
121	1.853350471714421E-5
122	1.7662943533669484E-5
123	1.6834586447744826E-5
124	1.6043967002610238E-5
125	1.5291179262133525E-5
126	1.4576051846959537E-5
127	1.389473582857903E-5
128	1.3244108697740842E-5
129	1.2625235069396723E-5
130	1.2036023311901012E-5
131	1.1473413285667533E-5
132	1.0935672829170962E-5
133	1.0428525787364862E-5
134	9.94300584278296E-6
135	9.478808205454214E-6
136	9.036351425129041E-6
137	8.615389622601555E-6
138	8.215269677536163E-6
139	7.833022763636954E-6
140	7.469816381444616E-6
141	7.1211781905722304E-6
142	6.790428997316411E-6
143	6.472877749685857E-6
144	6.174408633818906E-6
145	5.888445911206297E-6
146	5.613021888617453E-6
147	5.354794219591952E-6
148	5.106098509122248E-6
149	4.870483719332519E-6
150	4.644989745061778E-6
151	4.427885664570752E-6
152	4.22346511796956E-6
153	4.028841275482975E-6
154	3.843346697673944E-6
155	3.6649177400649435E-6
156	3.4954258817387895E-6
157	3.333825149387515E-6
158	3.1804255865575115E-6
159	3.04163629327725E-6
160	2.8968134111462263E-6
161	2.764630254836753E-6
162	2.6330581077704807E-6
163	2.515893199772634E-6
164	2.4019662272500852E-6
165	2.291065494541833E-6
166	2.1799104070741038E-6
167	2.0870122128258117E-6
168	1.9869884375633973E-6
169	1.901294616413196E-6
170	1.813799016980866E-6
171	1.7318100461460872E-6
172	1.6507892561801185E-6
173	1.576908477463057E-6
174	1.504931168239132E-6
175	1.4386785243125644E-6
176	1.3772788188815E-6
177	1.3180259648137849E-6
178	1.2614815687594927E-6
179	1.2067780824631669E-6
180	1.1554764340893087E-6
181	1.1086423222783637E-6
182	1.0604620057641512E-6
183	1.0133144775492653E-6
184	9.706826898936427E-7
185	9.291986901027727E-7
