source 	 destination 	 fft 	 flow 	 cost(min)
16	10	5.0	0.0	5.0
13	14	5.0	2575.5373057746306	7.062588823936319
35	34	5.0	2850.157233856406	8.09326094185997
4	3	5.0	5104.6839714489215	36.82854031136308
20	26	5.0	7767.2737003398815	175.6144130701785
1	7	5.0	7733.34162292674	172.65251143781452
25	26	5.0	0.0	5.0
28	22	5.0	0.0	5.0
11	10	5.0	5981.071344259222	64.98700954557168
25	31	5.0	15036.542682765465	2401.2561825002176
32	33	5.0	0.0	5.0
1	2	5.0	7266.658377073259	135.7014045233986
16	15	5.0	4764.758102261192	29.160432791664014
27	28	5.0	1662.4659354037624	5.358057109603987
18	17	5.0	3150.1426324125478	9.615961243655333
30	24	5.0	0.0	5.0
30	29	5.0	2444.0982693637093	6.672691826593029
27	33	5.0	4755.84453892936	28.98014914305726
18	12	5.0	0.0	5.0
23	17	5.0	0.0	5.0
33	27	5.0	0.0	5.0
22	28	5.0	7150.511362084602	127.54333206668683
28	27	5.0	5130.500607085188	37.47732520707865
35	29	5.0	0.0	5.0
23	22	5.0	4392.179230804304	22.44461932026634
33	32	5.0	7710.773282823918	170.70400922695387
4	5	5.0	0.0	5.0
34	35	5.0	4682.6357128847885	27.53734603407505
10	11	5.0	0.0	5.0
29	35	5.0	5434.2473129983155	45.87886959650498
16	17	5.0	3278.4001222172305	10.414883405386552
20	19	5.0	3151.961783626248	9.626633024677133
31	25	5.0	0.0	5.0
17	23	5.0	7507.286482955179	153.89264236376138
16	22	5.0	7471.819031676338	151.098803587202
10	16	5.0	7268.842565149961	135.85861856687677
30	36	5.0	7733.274207973458	172.64666551040688
17	18	5.0	2130.0822653493683	5.964998830201315
7	1	5.0	0.0	5.0
21	20	5.0	4557.830492289334	25.22897878378554
33	34	5.0	2149.9897136434674	6.001582687543446
24	23	5.0	2946.7049998305524	8.534173944111126
6	12	5.0	15036.542429970996	2401.2560213567144
11	5	5.0	0.0	5.0
21	15	5.0	0.0	5.0
27	26	5.0	5981.026982654329	64.98522987082323
3	4	5.0	2149.6791347965327	6.001004074544953
20	21	5.0	3277.79463438147	10.410884213434649
23	24	5.0	2575.704874536311	7.063125658229071
14	13	5.0	2946.5733129166683	8.533542223918282
34	33	5.0	5104.918457537428	36.834388950947236
14	8	5.0	0.0	5.0
24	18	5.0	0.0	5.0
34	28	5.0	0.0	5.0
3	9	5.0	4787.3639553766225	29.62221182321318
13	19	5.0	7520.951989266196	154.97972261253202
23	29	5.0	7122.566644241855	125.6388995121067
26	32	5.0	7252.684034409611	134.69890559309994
22	16	5.0	0.0	5.0
10	4	5.0	0.0	5.0
7	8	5.0	3025.81657844046	8.929268195209225
29	28	5.0	4507.435430621172	24.34903620629577
10	9	5.0	5130.281610653717	37.47178035795829
14	20	5.0	7507.211887347903	153.88672460822602
7	13	5.0	7149.91598212429	127.50252338680104
17	16	5.0	4558.364667727056	25.2384637555666
22	21	5.0	4764.857251013547	29.162443849927758
5	4	5.0	7710.792092731679	170.7056261275785
26	27	5.0	0.0	5.0
31	32	5.0	0.0	5.0
21	27	5.0	7268.836849902502	135.85820700836604
17	11	5.0	0.0	5.0
27	21	5.0	0.0	5.0
36	35	5.0	0.0	5.0
15	14	5.0	4392.084396468351	22.44311273756752
9	15	5.0	7150.567552945216	127.54718404096353
12	18	5.0	8540.945901607376	254.43946418248177
21	22	5.0	3687.829617413045	13.67011129136992
2	3	5.0	4682.951318789349	27.54342264481958
24	30	5.0	7149.88540924941	127.50042812844698
8	2	5.0	0.0	5.0
19	25	5.0	8540.926034182196	254.4371432673713
2	8	5.0	5434.2992583485775	45.880432644724436
8	7	5.0	2442.390937638249	6.6680228673794995
15	9	5.0	0.0	5.0
20	14	5.0	0.0	5.0
3	2	5.0	2850.592200064548	8.095149640486897
9	10	5.0	1662.2655754645943	5.3578845290270705
14	15	5.0	3636.373838750055	13.196253447215
19	20	5.0	2131.9877387110623	5.968456440074579
29	30	5.0	3027.4870680868844	8.93795244856557
32	31	5.0	14963.457317234517	2355.006575136883
19	13	5.0	0.0	5.0
25	19	5.0	0.0	5.0
22	23	5.0	3636.4592667956017	13.197023681099866
4	10	5.0	4755.787256079752	28.978993826521574
35	36	5.0	7266.725792026584	135.70625481427268
28	29	5.0	3402.504898102203	11.282555256600904
13	7	5.0	0.0	5.0
26	20	5.0	0.0	5.0
12	6	5.0	0.0	5.0
5	11	5.0	7252.665477297261	134.69757817946166
11	17	5.0	7767.190661401893	175.60711711897682
6	5	5.0	14963.457570028986	2355.006733942075
11	12	5.0	0.0	5.0
26	25	5.0	6495.616648584631	88.44932454553665
32	26	5.0	0.0	5.0
36	30	5.0	0.0	5.0
15	21	5.0	7471.845074209731	151.1008404689021
9	8	5.0	4507.692645699268	24.35345316574507
5	6	5.0	0.0	5.0
15	16	5.0	3687.7700232787456	13.669550880172917
8	9	5.0	3402.880208080115	11.285327679746352
2	1	5.0	0.0	5.0
12	11	5.0	6495.596528363856	88.44829061073229
9	3	5.0	0.0	5.0
29	23	5.0	0.0	5.0
8	14	5.0	7122.537336771285	125.63691393620323
18	24	5.0	7520.885534544583	154.97442183218993
28	34	5.0	4787.407222922812	29.623101964125812
