source 	 destination 	 fft 	 flow 	 cost(min)
10	9	5.0	5130.634246303228	37.48070921519951
15	16	5.0	3687.8403904131055	13.670212601385225
22	21	5.0	4764.828436330407	29.161859381759044
9	10	5.0	1662.7794034579472	5.358327241369539
16	15	5.0	4764.895066080687	29.16321089520567
33	34	5.0	2149.4664109593255	6.000607911565551
28	27	5.0	5130.506221267199	37.47746736389974
3	4	5.0	2149.517351804222	6.000702769757683
27	28	5.0	1662.6119538494813	5.3581829223021495
34	33	5.0	5104.529403875954	36.82468546995754
4	3	5.0	5104.606626142532	36.826611312611526
21	22	5.0	3687.7844895159196	13.669686915247116
