source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	7266.649806634702	135.70078791735116
23	22	5.0	4392.069778830635	22.442880523605574
32	33	5.0	0.0	5.0
8	14	5.0	7122.511750590207	125.63518049703872
11	10	5.0	5981.002085332783	64.98423107096153
20	21	5.0	3277.7699782896834	10.410721409150195
1	7	5.0	7733.3501933653	172.65325463939917
35	29	5.0	0.0	5.0
4	3	5.0	5104.606626142532	36.826611312611526
30	29	5.0	2442.2314140710073	6.667587125687414
25	26	5.0	0.0	5.0
16	15	5.0	4764.895066080687	29.16321089520567
35	34	5.0	2850.688279854868	8.095566952179178
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	7767.279171930063	175.61489382220032
25	31	5.0	15036.541733479895	2401.255577379414
15	21	5.0	7471.843379794014	151.10070794180947
6	5	5.0	14963.458053687327	2355.007037775707
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	1662.6119538494813	5.3581829223021495
30	24	5.0	0.0	5.0
33	32	5.0	7710.7891521459105	170.70537335389645
28	22	5.0	0.0	5.0
23	17	5.0	0.0	5.0
34	35	5.0	4683.010418843514	27.54456068160893
27	33	5.0	4755.726159229282	28.977761632825853
22	28	5.0	7150.544952124022	127.54563470723983
28	27	5.0	5130.506221267199	37.47746736389974
18	17	5.0	3152.0049192707675	9.626886297918425
17	23	5.0	7507.20492887646	153.88617259365836
7	1	5.0	0.0	5.0
20	19	5.0	3152.0934977759694	9.627406423944997
29	30	5.0	3025.686299264819	8.928591526616199
23	29	5.0	7122.513249532741	125.63528204843885
29	35	5.0	5434.323917139958	45.8811746494419
10	11	5.0	0.0	5.0
17	18	5.0	2132.027313172099	5.968528348947411
20	14	5.0	0.0	5.0
14	13	5.0	2946.5741812536376	8.53354638917246
31	25	5.0	0.0	5.0
21	20	5.0	4557.8172882673125	25.228744371627307
30	36	5.0	7733.353943871397	172.65357987231658
10	16	5.0	7268.846432213794	135.85889703709014
16	17	5.0	3277.7238269563236	10.410416681563795
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	4787.415579062206	29.623273877315093
27	21	5.0	0.0	5.0
16	22	5.0	7471.845800196329	151.10089725127193
6	12	5.0	15036.541946312684	2401.2557130493774
24	23	5.0	2946.6917508329407	8.53411038301987
34	33	5.0	5104.529403875954	36.82468546995754
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	5981.008124819309	64.98447335444436
13	19	5.0	7520.95304927478	154.97980716556592
33	34	5.0	2149.4664109593255	6.000607911565551
23	24	5.0	2575.640331434479	7.062918871301481
13	14	5.0	2575.5169534892457	7.062523629153537
3	4	5.0	2149.517351804222	6.000702769757683
14	20	5.0	7507.202363782379	153.8859691054904
17	16	5.0	4557.777870606438	25.228044598563784
22	16	5.0	0.0	5.0
26	32	5.0	7252.6691143741955	134.69783834335664
29	28	5.0	4507.6735213106795	24.35312473110453
7	8	5.0	3025.7102439300284	8.928715888385678
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	7268.840016630871	135.8584350463181
10	9	5.0	5130.634246303228	37.48070921519951
36	35	5.0	0.0	5.0
36	30	5.0	0.0	5.0
5	4	5.0	7710.7884640646025	170.70531420625156
31	32	5.0	0.0	5.0
26	27	5.0	0.0	5.0
21	22	5.0	3687.7844895159196	13.669686915247116
3	2	5.0	2850.67610805353	8.0955140830038
9	10	5.0	1662.7794034579472	5.358327241369539
9	15	5.0	7150.536545082999	127.54505839068322
19	25	5.0	8540.923551104728	254.43685319508756
2	3	5.0	4683.002412777426	27.54440651344465
15	9	5.0	0.0	5.0
7	13	5.0	7149.8958215103885	127.50114171147149
8	2	5.0	0.0	5.0
14	15	5.0	3636.3148170588997	13.19572132924975
19	20	5.0	2132.1229959460243	5.968702226115194
12	18	5.0	8540.928084174715	254.43738274700604
2	8	5.0	5434.323501910805	45.88116215474795
8	7	5.0	2442.2558720751185	6.667653927654218
35	36	5.0	7266.646056128604	135.70051808531812
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	6495.618182375177	88.449403364123
32	26	5.0	0.0	5.0
32	31	5.0	14963.458266520101	2355.007171477028
22	23	5.0	3636.3266800884544	13.195828279901745
11	17	5.0	7767.281366427907	175.6150866383291
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	7149.899058677585	127.50136356474415
4	10	5.0	4755.699189726292	28.977217730345718
5	6	5.0	0.0	5.0
15	14	5.0	4392.062658015465	22.44276740406746
26	20	5.0	0.0	5.0
5	11	5.0	7252.669589622725	134.69787233840702
15	16	5.0	3687.8403904131055	13.670212601385225
12	11	5.0	6495.613862137968	88.44918135547182
28	34	5.0	4787.385131905276	29.622647483788555
12	6	5.0	0.0	5.0
9	8	5.0	4507.646668698481	24.352663582082002
28	29	5.0	3402.939074111708	11.285762607661454
8	9	5.0	3402.912791873991	11.285568420237468
22	21	5.0	4764.828436330407	29.161859381759044
18	24	5.0	7520.950478076047	154.97960207044574
2	1	5.0	0.0	5.0
29	23	5.0	0.0	5.0
19	13	5.0	0.0	5.0
9	3	5.0	0.0	5.0
