iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	16	0	312	0	0
1	16	0	391	0	0
2	0	0	754	2	0
3	3	1	740	0	0
4	0	0	564	0	0
5	16	0	765	1	2
6	2	0	661	16	0
7	0	0	563	0	0
8	16	0	463	0	0
9	16	0	406	0	0
10	15	0	392	0	0
11	15	0	391	0	0
12	16	0	344	15	0
13	0	0	344	0	0
14	15	0	324	1	1
15	12	0	302	0	16
16	0	0	298	0	0
17	16	0	281	0	0
18	15	0	266	0	0
19	15	0	285	1	1
20	12	1	265	0	0
21	16	0	249	0	0
22	16	0	270	0	0
23	15	0	274	0	2
24	11	1	264	1	1
25	12	0	250	0	1
26	12	0	246	1	1
27	12	0	270	0	0
28	0	0	250	16	0
29	0	0	264	0	0
30	16	0	234	0	0
31	16	0	251	0	0
32	16	0	253	0	0
33	16	0	263	0	0
34	15	0	250	0	0
35	0	0	251	0	0
36	16	0	232	0	0
37	15	0	223	0	0
38	16	0	218	0	0
39	0	0	236	0	0
40	0	0	234	0	0
41	16	0	218	0	0
42	15	0	218	0	0
43	16	0	238	0	0
44	16	0	234	0	0
45	16	0	233	0	0
46	16	0	203	0	0
47	15	0	217	0	2
48	12	0	207	0	0
49	16	0	219	0	0
50	15	0	206	0	0
51	16	0	218	0	0
52	16	0	218	0	0
53	16	0	211	0	0
54	16	0	229	0	0
55	16	0	187	0	0
56	16	0	210	0	1
57	12	1	209	1	1
58	12	0	206	0	1
59	13	0	207	1	1
60	11	1	187	0	0
61	15	0	207	0	0
62	15	0	188	0	0
63	15	0	212	0	0
64	17	1	193	0	0
65	0	0	190	0	0
66	16	0	204	0	0
67	16	0	188	0	0
68	15	0	204	1	1
69	12	0	185	0	0
70	16	0	187	0	0
71	16	0	188	0	0
72	15	0	192	0	0
73	16	0	196	0	2
74	13	0	177	0	0
75	16	0	187	0	0
76	16	0	191	0	0
77	16	0	187	0	0
78	16	0	187	0	0
79	16	0	187	0	0
80	15	0	188	0	0
81	0	0	203	0	0
82	0	0	187	0	0
83	16	0	188	0	0
84	15	0	190	0	0
85	15	0	172	0	0
86	16	0	184	0	1
87	12	0	179	0	0
88	16	0	181	0	0
89	0	0	194	0	0
90	16	0	172	0	0
91	15	0	172	0	0
92	16	0	238	0	0
93	15	0	188	0	0
94	15	0	189	0	0
95	0	0	172	0	0
96	15	0	172	0	0
97	16	0	172	0	0
98	0	0	172	0	0
99	15	0	172	0	0
100	16	0	166	0	1
101	11	1	166	0	1
102	12	0	164	1	1
103	11	0	170	0	1
104	12	0	164	0	2
105	11	0	163	0	1
106	12	0	148	0	15
107	0	0	156	0	0
108	16	0	172	0	1
109	12	0	159	0	0
110	16	0	156	0	0
111	16	0	156	0	0
112	16	0	156	0	0
