iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.959908319672195E-4	1.9764440397610863E-4	72.18932872227379	10.323705066328756	114.1112600315646	14.113557363020936	228.72960517448485	102.1320509038762
1	9.400125327374553E-4	1.8154608389409077E-4	52.22773702452969	1.6028158539100983	41.31138092193396	2.2021431162021075	115.16878752703451	58.44050064032564
2	9.924422520271037E-4	2.10955689359101E-4	1.5107472241580808	0.13457962497275905	1.1620832283658729	0.21602313185709804	56.26167569608458	27.112798435004517
3	9.823131838402333E-4	2.0073570338278537E-4	0.12177516585779813	0.014839995515188144	0.17760240703614727	0.019944233436933394	41.37777326451521	20.177410025676714
4	9.625756752029702E-4	1.9622033987805784E-4	0.009371861967338191	0.0019471593203407775	0.011696460973553258	0.0022515281032025225	30.556704616069624	14.295193179627706
5	9.963015543235088E-4	2.0775594810136985E-4	0.0011366364788045757	2.0288118269198613E-4	9.856884691430423E-4	2.6259302758504914E-4	22.71106297361837	10.079112472133914
6	9.76745391312761E-4	1.873914500739223E-4	9.901854928102694E-4	1.976976548532935E-4	9.399310270055139E-4	2.3206179501003403E-4	16.556164281442648	7.554055398902514
7	9.501282529527089E-4	1.961993691566022E-4	9.968802696675994E-4	2.122050067754344E-4	9.99446395837822E-4	2.8554190602795275E-4	12.554664034974621	5.809489762066766
8	9.688548282156262E-4	2.3741291217523516E-4	9.879234467007336E-4	2.3769069318991504E-4	9.790040056714133E-4	2.4359197062372355E-4	9.791480888756041	4.4307531922612515
9	8.906167950044619E-4	2.344062536773587E-4	9.475687033955182E-4	2.422447654550654E-4	9.780946742807828E-4	2.4920568428700733E-4	7.873940343798154	3.644185993785785
10	9.781007942137876E-4	1.9921722163947683E-4	9.998109692332946E-4	2.558926516416347E-4	9.950987117690602E-4	2.521145570230153E-4	6.498201429861865	2.826058760973841
11	9.793837216420798E-4	1.949448842234839E-4	9.6823721327155E-4	2.6740324739681195E-4	9.930338784442938E-4	2.6059223615391145E-4	5.828971471246405	2.4897813896938508
12	9.461681565881008E-4	1.8137784496730092E-4	9.166712310388903E-4	2.3088968932510139E-4	9.974290341006053E-4	2.702408337620784E-4	5.452268575950711	2.2314819118453197
13	9.279086066271702E-4	2.1007234540585765E-4	9.776444130693562E-4	2.394081743785945E-4	9.271655612792529E-4	2.4570754553068E-4	5.0869711323431375	2.047040070922572
14	9.125747341158785E-4	2.1285929418013438E-4	9.893648833099178E-4	2.2855231309035407E-4	9.879999524287086E-4	2.0544382744289117E-4	4.738701155059516	1.822246392110558
15	9.746272935444722E-4	2.1236742919465237E-4	9.795527798814874E-4	2.1146476822517124E-4	9.952052637345332E-4	2.0320673623576996E-4	4.40985153987333	1.691938865355231
16	8.870876035871333E-4	1.9228181009604364E-4	9.98264666804971E-4	2.0400655655785027E-4	9.892045957826667E-4	1.940330339493812E-4	4.10196135242029	1.3728705076980305
17	9.735838061715185E-4	2.122133747567053E-4	9.870984399640292E-4	1.7982528699157392E-4	9.970738099696064E-4	1.9196713069504767E-4	3.8235774907291216	1.193849340137874
18	9.344586270572108E-4	2.1811525635939688E-4	9.303433101308656E-4	2.0932704950585697E-4	9.992462863124274E-4	1.9164675830804105E-4	3.572139017444215	1.0650351116526426
19	9.713085291878087E-4	2.2522537280641094E-4	9.965373960767465E-4	2.2311129034835122E-4	9.974063925710652E-4	1.63160866036347E-4	3.3426592879341115	0.9691495806698651
20	9.58810817792255E-4	2.422606832415871E-4	9.626994433347136E-4	2.0853948413573494E-4	9.984099239659372E-4	1.3422672570150162E-4	3.13172923551042	0.9047662492984501
21	9.060108059202321E-4	2.607859503314103E-4	9.838140020406172E-4	2.0256555143941684E-4	9.808253580558812E-4	1.3174880515430854E-4	2.9317736861187313	0.8878507876962692
22	9.409923058001368E-4	2.609836888704346E-4	9.977447871278855E-4	2.1626709595820744E-4	9.926976328529236E-4	1.1576401561310796E-4	2.748700575472867	0.8502715048432244
23	9.639942059038731E-4	2.690706445775959E-4	9.928581098392897E-4	2.3825601240026536E-4	9.82511299412181E-4	1.1085363812668447E-4	2.5771480987754103	0.8640461854186526
24	9.494013545463531E-4	2.605956099728246E-4	9.832568707679457E-4	1.9742212964545024E-4	9.823162703241906E-4	1.1151563306823944E-4	2.4164280810380205	0.8459516815433895
25	9.189361468315838E-4	2.41808536524483E-4	9.844723927017185E-4	1.9563170037726095E-4	9.992002105718711E-4	1.1462920100730362E-4	2.276409481128894	0.8459666379104539
26	9.742644970174297E-4	2.0367535237634607E-4	9.899157533368452E-4	2.183501441899912E-4	9.867388839666091E-4	1.3229856740412622E-4	2.1376329500785687	0.7828205646849173
27	9.876205413092976E-4	2.2377246882380555E-4	9.880997788513923E-4	2.107948088119804E-4	9.803515972635068E-4	1.747616945331392E-4	2.0098029548784098	0.7702737925745442
28	9.652596181695117E-4	1.85940383611675E-4	9.617640697001661E-4	1.898664343572722E-4	9.890375390568806E-4	2.081903844638793E-4	1.8897913263414239	0.7068933581381602
