iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	2.8343218326787323E-6	0.007461763526564358	0.008354701957914767	0.042299491541327505
1	4.307416801019315E-8	7.655414628118251E-4	6.827508053852682E-4	0.01895892819801004
2	4.859040347859889E-8	9.375907042208365E-5	7.719184424803682E-5	0.007866358606529622
3	4.788135465894072E-8	9.313402919763902E-6	8.301229273421917E-6	0.004130869443076168
4	4.632932260051348E-8	9.179923720070704E-7	9.586770308711579E-7	0.0031121624663733582
5	4.8878013525488484E-8	9.685134039205678E-8	1.5418928323018832E-7	0.0023498012608348384
6	4.223211136356042E-8	1.1445440417645614E-7	1.4372159629072456E-7	0.001826998453858586
7	4.5651134983337727E-8	1.134306861771961E-7	1.553013062594033E-7	0.0014159192249276753
8	5.22389951296276E-8	1.339968686009385E-7	1.4608366538659823E-7	0.001125110321729128
9	5.868540875475503E-8	1.310395372211559E-7	1.480874040060698E-7	9.080637131172464E-4
10	4.69273748748833E-8	1.456670974953056E-7	1.455955208617965E-7	7.492956000252349E-4
11	4.5830385819733976E-8	1.5311505108250856E-7	1.4290815097961485E-7	6.589080789952684E-4
12	4.3834703422618304E-8	1.393666972937524E-7	1.4306810935948988E-7	5.957137631016352E-4
13	4.776569317854751E-8	1.3886154659470407E-7	1.446511269653783E-7	5.369818883661504E-4
14	4.826617261421973E-8	1.4305966000716097E-7	1.1412481826234E-7	4.8410348283667304E-4
15	5.199641350817075E-8	1.2618936151564952E-7	1.1383857367874839E-7	4.3508966547045613E-4
16	4.723518942650884E-8	1.294305508325877E-7	1.1227981511208185E-7	3.9009954991697793E-4
17	5.118038115536905E-8	1.1927305132442E-7	1.07878032951092E-7	3.372947811937088E-4
18	5.377430234432268E-8	1.2799661441853516E-7	1.0889418033954712E-7	3.0171852784377506E-4
19	5.609018993713022E-8	1.2921309955338245E-7	1.0079674150897944E-7	2.700494874214865E-4
20	5.542345882236788E-8	1.2849687669458376E-7	8.247964389251905E-8	2.5419240942747834E-4
21	5.862087470998034E-8	1.206721345070605E-7	8.002067342083308E-8	2.467723320239701E-4
22	5.496637789370595E-8	1.2224378920233647E-7	7.218851261203696E-8	2.389650723497727E-4
23	5.637482081155554E-8	1.2991843634235778E-7	6.893557980003351E-8	2.3102539113972753E-4
24	5.577787898225495E-8	1.3362449591269865E-7	6.651587047823426E-8	2.232547136290508E-4
25	5.070199293744082E-8	1.2904589019591128E-7	7.190261375189522E-8	2.1582028821376387E-4
26	4.453134505588707E-8	1.4392204628066452E-7	8.037495224932911E-8	2.0829572786928985E-4
27	5.832537053329645E-8	1.396924454999393E-7	1.0283269680222418E-7	2.009816297635636E-4
28	4.3879302302762824E-8	1.3138637389165098E-7	1.166619308934358E-7	1.9381529594919567E-4
29	5.199369990105396E-8	1.3800930676044487E-7	1.2322733822234255E-7	1.8687759549773642E-4
30	4.4719254965741584E-8	1.4231621936477978E-7	1.1874810368350808E-7	1.8021759477016008E-4
31	4.6959207855579166E-8	1.4028265349352864E-7	1.1580335157468369E-7	1.7377909653604195E-4
32	4.413680099180084E-8	1.4438048068221576E-7	1.1299458790858807E-7	1.6758391134286121E-4
33	4.573445200328763E-8	1.4400000436509686E-7	1.1145999112560645E-7	1.616428524516822E-4
34	4.403327835689197E-8	1.4097130385248846E-7	1.1472211480789696E-7	1.5591620807786644E-4
35	4.317361157468724E-8	1.3913325169756519E-7	1.149735869843127E-7	1.5044096130090168E-4
36	4.206770110037894E-8	1.4312947871353288E-7	1.1363420826526749E-7	1.4505687388555177E-4
37	4.591283275789948E-8	1.4312079965606017E-7	1.234586569642815E-7	1.3992575467702828E-4
38	4.553625143621787E-8	1.3970816259423202E-7	1.2656125147891828E-7	1.350034169945724E-4
39	4.674253395453576E-8	1.4151288063590783E-7	1.263935731632415E-7	1.303061113676618E-4
40	4.429806577110895E-8	1.4000514592105162E-7	1.24578869331593E-7	1.2579718030714115E-4
41	4.704167244629076E-8	1.3902480855421118E-7	1.2338018939850315E-7	1.2148472083217676E-4
42	4.4033554136291286E-8	1.4217006971684043E-7	1.1964657109508892E-7	1.1736033458609185E-4
43	4.745006643158689E-8	1.4475250231793524E-7	1.165627261379143E-7	1.1337234406594288E-4
44	4.353877391949368E-8	1.4159553574089045E-7	1.2015583383817585E-7	1.0955609252927268E-4
45	4.633156103217573E-8	1.4143952820067085E-7	1.1839074665065397E-7	1.0588438009118128E-4
46	4.2457666826756224E-8	1.4484078258991673E-7	1.1461223892172967E-7	1.0234298521194507E-4
47	4.6219927551938156E-8	1.4139128301504655E-7	1.1468555372040612E-7	9.893229786828162E-5
48	4.426204647245413E-8	1.4187941788090797E-7	1.1349574458030531E-7	9.567004911392729E-5
49	4.5453005137474634E-8	1.4080176213848716E-7	1.2036794772019022E-7	9.25020891275885E-5
50	4.412005250031825E-8	1.3634598028389178E-7	1.1827370727246489E-7	8.949755329745734E-5
51	4.518188778668275E-8	1.3987564451145573E-7	1.1818555156750676E-7	8.656779483073862E-5
52	4.338650794188936E-8	1.3837144652306677E-7	1.1078295825139861E-7	8.371370174520276E-5
53	4.342750259400674E-8	1.38964545093323E-7	1.0934532779227624E-7	8.105168175398525E-5
54	4.4360888185046576E-8	1.3865646431021617E-7	1.1249531650658895E-7	7.841937346342309E-5
55	4.6197275005432914E-8	1.3929692999070653E-7	1.2646110225666973E-7	7.590145108571367E-5
56	4.418928511995546E-8	1.4449381569026087E-7	1.2201188193117218E-7	7.348609776969273E-5
57	4.530207431407973E-8	1.3926219732951495E-7	1.0890054835677176E-7	7.110367045637389E-5
58	4.270334008626975E-8	1.4237350776102886E-7	1.1767801988415982E-7	6.883857977901808E-5
59	4.6221878768903935E-8	1.3917901886539852E-7	1.1988848580557487E-7	6.667608158650307E-5
60	4.632895511669233E-8	1.3971385515176848E-7	1.1836257995945232E-7	6.460717375222913E-5
61	4.016645727134005E-8	1.3557235256644873E-7	1.197284760223738E-7	6.26469429221288E-5
62	4.59792031115569E-8	1.4081951171807106E-7	1.09468633158194E-7	6.062446732124638E-5
63	4.3023532514396834E-8	1.4396848446729393E-7	1.205222461830857E-7	5.87663332128896E-5
64	4.243991302832484E-8	1.408341387953982E-7	1.2354772604972197E-7	5.7218946845849494E-5
65	4.4019011435914024E-8	1.4085246702322252E-7	1.1630727669853513E-7	5.647168651945478E-5
66	4.2054679960656927E-8	1.3863230763355716E-7	1.1957399792539292E-7	5.567710423703964E-5
67	4.281241494652477E-8	1.4389701175065994E-7	1.2679465888343344E-7	5.4894102364588804E-5
68	4.606257375527889E-8	1.3704678492043598E-7	1.1030325719474376E-7	5.4082692225843054E-5
69	4.4230232032482775E-8	1.3845093949083065E-7	1.0833594676906699E-7	5.330454606833346E-5
70	4.6198723180346235E-8	1.3556661049296537E-7	1.2576886165849288E-7	5.252317438619869E-5
71	4.367696204710114E-8	1.4171323836631444E-7	1.2189071096901927E-7	5.173243493739044E-5
72	4.448009593982505E-8	1.3952608546308198E-7	1.2073846011873002E-7	5.093746753259687E-5
73	4.3871021593311355E-8	1.4415739246764758E-7	1.193853849112969E-7	5.0144667062546056E-5
74	4.463745939542463E-8	1.4213402366181072E-7	1.167730160345215E-7	4.936879653538728E-5
75	4.4639499763299284E-8	1.3582789326616052E-7	1.1841237390619597E-7	4.858719207900819E-5
76	4.4504691376623384E-8	1.3575846424807025E-7	1.171489112383739E-7	4.780743436338941E-5
77	4.186466517897003E-8	1.4882349586020638E-7	1.0620445733966477E-7	4.70244132007025E-5
78	4.558107147278889E-8	1.3652163821653573E-7	1.1791936815885862E-7	4.626339369029342E-5
79	4.257850083622117E-8	1.3698180134635862E-7	1.2026035001166946E-7	4.550938864944509E-5
80	4.569843203849899E-8	1.3742100590796724E-7	1.2159259843436132E-7	4.47663426691447E-5
81	4.3429314366960625E-8	1.4161353800723475E-7	1.1054427584422655E-7	4.3996270034596385E-5
82	4.418491705848737E-8	1.3887321959060728E-7	1.2005378502433217E-7	4.3272410814476636E-5
83	4.1877965539782736E-8	1.3828889877665063E-7	1.0863668831184725E-7	4.2540357126807926E-5
84	4.462991443077158E-8	1.351965726037463E-7	1.1531730426117548E-7	4.1823417261888096E-5
85	4.4972130464060456E-8	1.321486301497643E-7	1.2572538787836152E-7	4.111312040289139E-5
86	4.4907997542864564E-8	1.3658863540211286E-7	1.1833978508235532E-7	4.040849679187719E-5
87	4.3811937411319946E-8	1.3894683659199103E-7	1.2028918883189021E-7	3.9710904505496636E-5
88	4.5618657074086855E-8	1.3338978011034897E-7	1.0978663889105178E-7	3.9043892724244245E-5
89	4.32029554353619E-8	1.3536244269918285E-7	1.1674451039223044E-7	3.834342852415684E-5
90	4.2584923032329414E-8	1.3293655443114005E-7	1.0987710175047738E-7	3.7668326854367606E-5
91	4.3768922819431566E-8	1.3594105219283392E-7	1.1816201528347392E-7	3.701792828147976E-5
