source 	 destination 	 fft 	 flow 	 cost(min)
7	1	5.0	0.0	5.0
21	15	5.0	0.0	5.0
8	14	5.0	8151.436317379772	211.95591369308238
1	7	5.0	7441.528448338511	148.7440464342402
7	8	5.0	0.0	5.0
29	28	5.0	265.8938062752811	5.000234301012178
28	29	5.0	0.0	5.0
14	8	5.0	0.0	5.0
28	22	5.0	0.0	5.0
22	21	5.0	5063.935684741149	35.82435555958022
14	15	5.0	0.0	5.0
22	28	5.0	5891.017882677866	61.455030326922035
8	7	5.0	958.3425192138776	5.039538875093346
15	14	5.0	4374.881197311768	22.171424972735075
21	22	5.0	0.0	5.0
15	21	5.0	7852.964144061857	183.26896324029704
