source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	19999.999999999607	7504.999999999408
23	22	5.0	9038.39364899495	317.82848371213765
8	14	5.0	8151.436317379772	211.95591369308238
11	10	5.0	10262.022252440445	524.8440636997375
20	21	5.0	0.0	5.0
1	7	5.0	7441.528448338511	148.7440464342402
35	29	5.0	0.0	5.0
4	3	5.0	9787.59522793434	435.1751143976343
25	26	5.0	0.0	5.0
30	29	5.0	0.0	5.0
16	15	5.0	9346.529084563397	362.71959282381556
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	9388.124020217458	369.1300772682036
25	31	5.0	40000.00000000009	120005.00000000102
15	21	5.0	7852.964144061857	183.26896324029704
6	5	5.0	19975.084176541994	7467.696046631273
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	0.0	5.0
30	24	5.0	0.0	5.0
28	22	5.0	0.0	5.0
23	17	5.0	0.0	5.0
27	33	5.0	0.0	5.0
28	27	5.0	6156.911688953146	72.35858854676641
22	28	5.0	5891.017882677866	61.455030326922035
18	17	5.0	6145.0548449681755	71.84121476405765
17	23	5.0	10462.978323136242	566.7752258238401
7	1	5.0	0.0	5.0
20	19	5.0	8888.492612003916	297.58613620887985
29	30	5.0	9160.613127952884	335.0953831537653
23	29	5.0	9426.506934228166	375.1216129216079
29	35	5.0	0.0	5.0
10	11	5.0	4046.363014874062	17.5661040202294
17	18	5.0	5036.990808357741	35.17351560977186
14	13	5.0	2735.4844132273643	7.624691463670099
20	14	5.0	0.0	5.0
31	25	5.0	0.0	5.0
21	20	5.0	8485.783530757199	248.05752778775036
30	36	5.0	19999.999999999607	7504.999999999408
10	16	5.0	10454.102031035862	564.8713170154011
16	17	5.0	7680.6172123062215	168.1269685547669
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	6933.8861026371205	113.35478507335289
27	21	5.0	0.0	5.0
16	22	5.0	10189.579691243382	510.31985354077966
6	12	5.0	20024.915823458083	7542.4436330131575
24	23	5.0	5531.2985509565315	48.87828867563396
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	10588.027986998957	594.1170648997751
13	19	5.0	11135.355380779753	725.7051218776451
13	14	5.0	0.0	5.0
23	24	5.0	5802.396063688981	58.133785729110066
3	4	5.0	6071.78298986394	68.709800528748
14	20	5.0	9790.833101464177	435.7446287262561
17	16	5.0	9421.163409046841	374.283095265571
22	16	5.0	0.0	5.0
26	32	5.0	0.0	5.0
7	8	5.0	0.0	5.0
29	28	5.0	265.8938062752811	5.000234301012178
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	4431.11629804581	23.071486391259228
10	9	5.0	9645.028313808052	410.6535755197282
36	30	5.0	0.0	5.0
5	4	5.0	11012.526883242559	694.4284596339082
26	27	5.0	0.0	5.0
21	22	5.0	0.0	5.0
3	2	5.0	7441.528448338511	148.7440464342402
9	10	5.0	6586.756462105371	93.23232135761118
19	25	5.0	20023.847992783674	7540.8360218123735
9	15	5.0	10222.776804840527	516.937326753819
2	3	5.0	10659.602312905232	610.208878128023
15	9	5.0	0.0	5.0
7	13	5.0	8399.87096755239	238.36286069643563
8	2	5.0	0.0	5.0
19	20	5.0	0.0	5.0
14	15	5.0	0.0	5.0
12	18	5.0	11676.353395924707	876.3049957606554
2	8	5.0	9340.397687094373	361.78184848004344
8	7	5.0	958.3425192138776	5.039538875093346
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	19976.15200721641	7469.291941739035
32	26	5.0	0.0	5.0
22	23	5.0	8273.019772819322	224.58240122835446
11	17	5.0	11095.46048326643	715.4321466263387
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	10839.386872046724	652.0832367132856
4	10	5.0	7296.71464517216	137.87728037094328
5	6	5.0	0.0	5.0
26	20	5.0	0.0	5.0
15	14	5.0	4374.881197311768	22.171424972735075
5	11	5.0	8962.557293299436	307.4607748546162
15	16	5.0	7341.460548030296	141.16677695952183
28	34	5.0	0.0	5.0
12	11	5.0	8348.56242753338	232.7131320500675
12	6	5.0	0.0	5.0
9	8	5.0	9109.77883659365	327.8290548728726
28	29	5.0	0.0	5.0
8	9	5.0	9340.397687094373	361.78184848004344
22	21	5.0	5063.935684741149	35.82435555958022
2	1	5.0	7441.528448338511	148.7440464342402
18	24	5.0	10568.289359314273	589.7363111942387
29	23	5.0	0.0	5.0
19	13	5.0	0.0	5.0
9	3	5.0	0.0	5.0
