iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	3.490461478294904E-6	0.005825190036447436	0.009627384407739803	0.9980357852916728
1	1.1746670081080879E-7	7.822578506672118E-4	8.628818075890887E-4	0.9948179710127333
2	2.7431771398855886E-7	3.8130985785533866E-6	7.17016446338814E-5	0.9945058661768578
3	2.04375768531051E-8	2.1753304466631818E-6	5.222088915735057E-7	0.9945689778800678
4	2.1269027794534878E-7	5.653857856335875E-7	5.069851735095554E-7	0.994610288628064
5	6.48643757594769E-8	7.438313942564889E-8	3.0937098505212646E-7	0.9946020942982798
6	5.020187443527391E-8	5.640912736915027E-9	3.6651346035920795E-7	0.9945904902696632
7	6.821793396838416E-8	1.6794116097784695E-9	3.395226217950409E-7	0.9945862837582934
8	4.591380331486761E-8	1.7237193894459324E-9	3.248912122666425E-7	0.9945897840685873
9	5.454279861094591E-8	1.6692168758325465E-9	3.3995337944681125E-7	0.994593434787574
10	5.780005774003172E-8	1.6171395333941518E-9	3.1683528356474255E-7	0.9945964266704297
11	5.8684836323763534E-8	1.5878329762131216E-9	2.949196038493085E-7	0.9945988453021903
12	6.084597237165923E-8	1.6949143200051253E-9	3.103113129787616E-7	0.994600778811546
13	3.651908730972764E-8	1.685558692621214E-9	2.745699617667796E-7	0.9946023155590898
14	5.0904023995990144E-8	1.2238668967157196E-9	2.921132257194259E-7	0.9946035356111043
15	5.047165585470026E-8	1.326968535053652E-9	2.7103898103675306E-7	0.9946046397848508
16	4.743990700273315E-8	1.4645507029342753E-9	2.832813665865075E-7	0.9946054739417812
17	6.114643535948261E-8	1.336019517239606E-9	2.763056810017872E-7	0.9946063404518101
18	4.640010597967148E-8	1.517236336567862E-9	2.724991354785544E-7	0.994607049088993
19	4.842100020940876E-8	1.508565827812447E-9	2.586475706944924E-7	0.9946075845429391
20	5.895823829149549E-8	1.5330838820659665E-9	2.7422485238126626E-7	0.9946079878494692
21	5.7442756884462653E-8	1.5569512346047532E-9	2.5404652737037736E-7	0.9946082901652983
22	4.384756824293845E-8	1.6959701421015438E-9	2.567709915801686E-7	0.9946085155506991
23	4.657783581052399E-8	1.512380332080454E-9	2.5877425646747554E-7	0.9946086810571365
