source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	9679.89077812921	416.5504764865457
35	36	5.0	9679.89946954041	416.55195458555346
15	16	5.0	4531.315465004807	24.76234487755537
29	35	5.0	7291.896623121612	137.5266722492646
9	15	5.0	9452.208630171637	379.17474915280945
29	28	5.0	5982.662111967341	65.05085327453617
35	29	5.0	0.0	5.0
9	8	5.0	5982.6523605632165	65.05046175738502
15	9	5.0	0.0	5.0
28	29	5.0	4531.29881304028	24.762054383499574
8	9	5.0	4531.315465004807	24.76234487755537
28	22	5.0	0.0	5.0
22	21	5.0	6015.731552285419	66.38963800295156
8	2	5.0	0.0	5.0
2	1	5.0	0.0	5.0
36	35	5.0	0.0	5.0
16	15	5.0	6015.747996363482	66.39030924310252
22	28	5.0	9452.209801181218	379.17493457499586
2	8	5.0	7291.909728105832	137.5276249586736
21	22	5.0	4531.29881304028	24.762054383499574
