source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	9679.89077812921	416.5504764865457
23	22	5.0	6214.227187360033	74.90202989364681
32	33	5.0	0.0	5.0
8	14	5.0	9513.81261070873	389.02513720723226
11	10	5.0	7990.162292041507	196.05732065723802
20	21	5.0	4767.550412879604	29.21711794424407
1	7	5.0	10320.109221870733	536.714440554626
35	29	5.0	0.0	5.0
4	3	5.0	6975.866944131443	116.0028256733448
25	26	5.0	0.0	5.0
30	29	5.0	3259.575571116569	10.291581604723163
16	15	5.0	6015.747996363482	66.39030924310252
35	34	5.0	3080.6617544661294	9.221991441577305
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	10341.374042929376	541.1104434022384
25	31	5.0	20048.05063778951	7577.336120144665
15	21	5.0	9954.863688295227	465.3440680197428
6	5	5.0	19951.949262497168	7433.183226213772
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	2464.8716050947965	6.730288367664247
30	24	5.0	0.0	5.0
33	32	5.0	10288.43622344951	530.2169821059858
28	22	5.0	0.0	5.0
34	35	5.0	5468.664600884928	46.92435931768859
23	17	5.0	0.0	5.0
27	33	5.0	6316.3762839698	79.6127861787494
28	27	5.0	7008.38191930457	118.08690618179023
22	28	5.0	9452.209801181218	379.17493457499586
18	17	5.0	4198.329248344989	19.56287959860035
17	23	5.0	10013.377268698194	476.26327537675115
7	1	5.0	0.0	5.0
20	19	5.0	4198.382036931318	19.563612050278795
29	30	5.0	4030.1304989028263	17.36567185221771
23	29	5.0	9513.814849834927	389.02549873676173
29	35	5.0	7291.896623121612	137.5266722492646
10	11	5.0	0.0	5.0
17	18	5.0	2850.062135447096	8.09284812326968
20	14	5.0	0.0	5.0
14	13	5.0	3922.166657496475	16.092909104184173
31	25	5.0	0.0	5.0
21	20	5.0	6443.8174767832625	85.81913581465113
30	36	5.0	10320.100530459533	536.712649355364
10	16	5.0	9763.034571119624	430.8734729914213
16	17	5.0	4767.587249605748	29.217866412202312
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	6360.054172825461	81.69808844181313
27	21	5.0	0.0	5.0
16	22	5.0	9954.864689535314	465.344253221678
6	12	5.0	20048.05073750272	7577.336270795111
34	33	5.0	6975.852935269839	116.00193401726776
24	23	5.0	3922.123328137395	16.092418925444672
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	7990.163393876679	196.05742604369286
13	19	5.0	10031.759183131413	479.7332751088194
33	34	5.0	3003.7929957901315	8.816113488523076
13	14	5.0	3439.9507091913083	11.563721707510705
23	24	5.0	3439.9078961096116	11.56339494944778
3	4	5.0	3003.793821329361	8.816117683689242
14	20	5.0	10013.374135638647	476.2626855676701
17	16	5.0	6443.849899380109	85.82076241940479
22	16	5.0	0.0	5.0
26	32	5.0	9663.513138760882	413.7722886730313
7	8	5.0	4030.0436323610375	17.364605754311174
29	28	5.0	5982.662111967341	65.05085327453617
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	9763.02936363671	430.8725643693966
10	9	5.0	7008.418652645151	118.08927710994297
36	35	5.0	0.0	5.0
36	30	5.0	0.0	5.0
5	4	5.0	10288.436754784787	530.2170906030701
31	32	5.0	0.0	5.0
26	27	5.0	0.0	5.0
21	22	5.0	4531.29881304028	24.762054383499574
3	2	5.0	3080.7400710465495	9.222420783799967
9	10	5.0	2464.9272997405674	6.730444758875482
19	25	5.0	11380.026339744338	791.1661668946784
9	15	5.0	9452.208630171637	379.17474915280945
2	3	5.0	5468.721121069928	46.926092544685034
15	9	5.0	0.0	5.0
7	13	5.0	9549.543234826246	394.82678656298
8	2	5.0	0.0	5.0
14	15	5.0	5232.413001045605	40.13575944621284
19	20	5.0	2850.114880318388	8.093077081653053
12	18	5.0	11380.028147598952	791.1666664627562
8	7	5.0	3259.4776453165487	10.290945744010703
2	8	5.0	7291.909728105832	137.5276249586736
35	36	5.0	9679.89946954041	416.55195458555346
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	8668.024298045175	269.6194490967312
32	26	5.0	0.0	5.0
32	31	5.0	19951.949362210387	7433.183374708147
22	23	5.0	5232.449336468988	40.1367354287995
11	17	5.0	10341.37280557466	541.1101868178953
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	9549.545602673277	394.82717319950063
4	10	5.0	6316.363631982706	79.61218836941752
5	6	5.0	0.0	5.0
15	14	5.0	6214.19047428069	74.90037800938184
26	20	5.0	0.0	5.0
5	11	5.0	9663.512507712392	413.7721818981529
15	16	5.0	4531.315465004807	24.76234487755537
28	34	5.0	6360.062785898506	81.69850391473972
12	11	5.0	8668.022589903769	269.61924051065034
12	6	5.0	0.0	5.0
9	8	5.0	5982.6523605632165	65.05046175738502
28	29	5.0	4531.29881304028	24.762054383499574
8	9	5.0	4531.315465004807	24.76234487755537
22	21	5.0	6015.731552285419	66.38963800295156
18	24	5.0	10031.76103470106	479.7336255964854
2	1	5.0	0.0	5.0
29	23	5.0	0.0	5.0
19	13	5.0	0.0	5.0
9	3	5.0	0.0	5.0
