iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.802291170331046E-4	1.6581496798151463E-4	302.636490808638	48.26378228234515	177.95729854840465	44.40150550264218	10376.247545510909	3063.015568819638
1	0.5843001225093758	0.11284058393641772	69.37166104556854	4.47826501091696	43.55344734016944	5.8016624650588	1341.418196849656	341.03900351997476
2	0.14381881494909976	0.014332753343129107	23.870808028812462	0.758895709787849	16.457767871937904	1.0427852125238197	1299.5519866157047	238.10614276956952
3	0.014385639823103702	0.004507961894382283	0.03104411155982234	0.005876670760250435	0.35294306653122476	0.05269414564296509	1109.667017154119	153.61057116296354
4	0.001777071487140347	5.955626179456885E-4	0.057341876531381786	0.011309335621820082	0.03452800494051189	0.005367422746217385	1024.0019848477823	128.6392573955809
5	0.0010642031020324794	2.6468724718142767E-4	0.004403053441819793	9.114874317106114E-4	0.0041823978808679385	5.399667172634902E-4	909.6916708857389	104.70376314006508
6	9.745126371853985E-4	3.135433421448397E-4	9.902934621095483E-4	2.523267029706714E-4	9.886005755106453E-4	2.155172063567079E-4	844.153810309137	87.543606905472
7	9.780313339433633E-4	2.9905963145593936E-4	9.940896488842554E-4	1.9811463813413057E-4	9.976790688597248E-4	2.392390109093867E-4	759.7122484827996	62.49461898043224
8	9.726797993607761E-4	2.984233926661928E-4	9.971450945158722E-4	2.251858337432269E-4	9.969658640329726E-4	2.550099266861649E-4	700.4035130249358	49.78959108986184
9	9.573095449013636E-4	2.557792501025496E-4	9.926277980412124E-4	2.1352876258586345E-4	9.979489514080342E-4	2.599586040931076E-4	646.8764163920059	40.68656231029536
10	9.857410573204106E-4	3.12794180263154E-4	9.852671228145482E-4	1.9384139821860508E-4	9.962285657820757E-4	2.5403836020114587E-4	617.4416691387851	43.6576871911076
11	9.959362214431167E-4	3.450556075222266E-4	9.874069273791974E-4	1.9841855090284874E-4	9.983376949094236E-4	2.578849493124252E-4	590.571532592312	48.39195332132765
12	9.723355942696799E-4	2.8258275199876054E-4	9.992758714361116E-4	2.1741141703830345E-4	9.960325187421404E-4	2.6268577323969875E-4	567.0300762271181	52.71626065360996
13	9.641803408158012E-4	1.9902948703448228E-4	9.898109228743124E-4	2.189232910064962E-4	9.999281851378328E-4	2.9820805150657814E-4	207.53301529333476	54.873656498046195
14	9.773681522347033E-4	3.6029789295271794E-4	9.998423365686904E-4	3.505119472253215E-4	9.942056808540656E-4	3.265182057980888E-4	184.34242272437405	43.018100136018255
15	9.727075448608957E-4	3.4904278984814645E-4	9.908335157433612E-4	3.2982159600470327E-4	9.955811401596293E-4	2.8653092303578714E-4	171.4024167061434	42.31924839211154
16	9.643234880059026E-4	3.6739437681327606E-4	9.919798094415455E-4	3.3583102567068376E-4	9.989424543164205E-4	2.700075662865058E-4	169.95996479741007	44.7621473672228
17	9.559151221765205E-4	3.9670686273244167E-4	9.996682128985412E-4	3.2398680623373365E-4	9.972179450414842E-4	2.8446328038285175E-4	154.51138482508395	36.22246137545157
18	9.626346873119473E-4	3.5904599953287937E-4	9.50320400079363E-4	3.488279631469863E-4	9.88557612799923E-4	2.854143857934775E-4	149.5542453541275	34.53682869983714
19	9.565993423166219E-4	3.5529191453471346E-4	9.734341124385537E-4	3.245867148962134E-4	9.349986758024897E-4	3.161279580989429E-4	143.81986515521567	31.47729262674345
20	9.608492327970453E-4	3.7141237693763936E-4	9.999291646636266E-4	3.503844466884016E-4	9.655369103711564E-4	2.997003766184111E-4	138.97379086644287	29.552085139750115
21	9.568116620357614E-4	3.7718103395231343E-4	9.844204560067737E-4	3.4383325395758607E-4	9.960008301277412E-4	2.796530155265851E-4	134.0778904402032	27.389173781678227
22	9.671125080785714E-4	3.882672816806527E-4	9.988959191105096E-4	3.3588984237984266E-4	9.98480945781921E-4	2.8929232988817745E-4	129.530133083892	25.724463409923832
23	9.841537885222351E-4	3.864165061843648E-4	9.745837187438156E-4	3.2931803965160117E-4	9.962279509636573E-4	2.9144844218255737E-4	125.0814809322037	24.038213849150548
24	9.84344307653373E-4	3.7508418975968586E-4	9.689197750049061E-4	3.283995943360531E-4	9.994115152949234E-4	2.780363615158876E-4	120.8227796350111	22.664589979742995
25	9.933899527823087E-4	3.7442355515590213E-4	9.945709639396227E-4	3.323193770801013E-4	9.953730095730862E-4	3.17912096236866E-4	116.68706003225452	21.112743692019627
26	9.90336812719761E-4	3.818972741750518E-4	9.621885087653936E-4	3.3536702080434196E-4	9.975065822800389E-4	3.0547444185476005E-4	112.6930933199692	19.792243302559573
27	9.952158943633549E-4	3.72302775791208E-4	9.998862733482383E-4	3.5046543794261663E-4	9.708854722703109E-4	2.895084641388679E-4	108.82133382651227	18.54644739433429
28	9.919911717588548E-4	3.657955768565963E-4	9.764068954609684E-4	3.4140752906310036E-4	9.97095388811431E-4	2.790505421170308E-4	105.07371741384486	17.385508622076973
29	9.967740625143051E-4	3.613720602970716E-4	9.652462172198284E-4	3.3202936931571236E-4	9.961349442164646E-4	3.103663871057413E-4	101.44303952321934	16.2959280426776
