iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	2.720313874937652E-6	0.006809527667989257	0.006516983412153787	0.39523510036004317
1	5.911358824550739E-6	9.247760344431866E-4	9.528841826131895E-4	0.06034926359600523
2	9.620290739587034E-7	9.892341044026587E-5	9.530362771204004E-5	0.05518952514028996
3	2.6910163763993467E-7	4.156870984095562E-7	9.528837556227465E-6	0.048270475694140336
4	4.2275048683926286E-8	9.43748196480243E-7	9.428404239564259E-7	0.0417514483927276
5	1.9229616676774697E-8	9.614953244696522E-8	9.242052334546003E-8	0.03520179802467105
6	2.401826393327866E-8	4.199963776763127E-8	3.638972245756378E-8	0.029434136621937945
7	2.218108885454484E-8	3.169621332066441E-8	4.7706106065525944E-8	0.023998399608629595
8	2.1190436960694115E-8	3.8065211538373944E-8	4.972804912295459E-8	0.019817854941247437
9	1.80971289065468E-8	3.566085904349592E-8	4.986700286035983E-8	0.016586175018051263
10	1.977050689827564E-8	3.244015345238438E-8	4.9688213321630315E-8	0.014739269430687485
11	2.301536761173395E-8	3.288709149451563E-8	5.1112264976005406E-8	0.013191654952401488
12	2.376676222493046E-8	3.485171384820518E-8	4.957586796638935E-8	0.01196187811259386
13	2.0683011192623724E-8	3.361079548014345E-8	4.58557470883747E-8	0.011288777359492963
14	3.556274719151986E-8	4.8879145730929E-8	4.756833493768653E-8	0.010081832427566106
15	3.5484447047373635E-8	4.824494237443133E-8	4.225550642722453E-8	0.009295599114921727
16	3.2927860660336705E-8	5.181569695533739E-8	4.6540491571711584E-8	0.009155245172598248
17	3.1988557913642524E-8	4.930675501224613E-8	4.740273096270897E-8	0.008754816888723926
18	3.2187650766957177E-8	5.311586170897442E-8	4.067461523149518E-8	0.008656572817374197
19	3.229015765882082E-8	4.866699332417568E-8	5.067287334181714E-8	0.008423125923399555
20	3.314153529387909E-8	5.1452852645184066E-8	4.4701598422847155E-8	0.008264103790540989
21	3.3336649551962694E-8	5.0165702258908595E-8	4.4699707935080824E-8	0.00807021260248475
22	3.391620362336312E-8	4.9077627850557803E-8	4.707727463415523E-8	0.007896900353131953
23	3.374978141401641E-8	4.860333024936381E-8	4.772919925954966E-8	0.007717191114649191
24	3.2665380400587196E-8	4.9488285247534236E-8	4.728368718787124E-8	0.007545491125225956
25	3.248598456906393E-8	4.860065283551762E-8	5.1889355701106865E-8	0.007375212647928842
26	3.3115587938503666E-8	4.985340196217436E-8	5.098373301315462E-8	0.007210099215915644
27	3.226869615957639E-8	4.993583158086068E-8	4.71021375236802E-8	0.007048547703049968
28	3.134619019906637E-8	5.0252058847455316E-8	4.582792334506536E-8	0.0068915303370596925
29	3.080509547448429E-8	4.899650996037508E-8	5.050758777880304E-8	0.006738650648880351
30	3.091833034041258E-8	5.230425748070644E-8	4.8111758577107366E-8	0.006590138617142971
31	3.175457097270851E-8	5.353367515947838E-8	4.763502181592827E-8	0.006445489391039727
32	2.9792402878037194E-8	4.549054488656168E-8	5.0868816714455534E-8	0.006305617838655464
33	2.909663199268664E-8	5.6590743646722785E-8	4.99506338513811E-8	0.006169093802017689
34	2.9744787743979373E-8	5.664161217833197E-8	4.5929285374946005E-8	0.006037586130110628
35	2.984669034145071E-8	5.512842315980038E-8	4.852843160652043E-8	0.005909954485898927
36	3.0465640121768445E-8	5.534700575626772E-8	4.6819489285532256E-8	0.005786556074762195
37	3.0058350697359515E-8	5.671685532337989E-8	5.1659475364118634E-8	0.005667055062946069
38	2.993847791898929E-8	5.6749701382585727E-8	4.785497809134398E-8	0.005551449398775499
