iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	8.99428047659967E-4	1.44781062785013E-4	1115.860171001521	221.40708145530553	111.62092775067629	26.733982676971873	11416.104435697052	6083.157290480558
1	0.0010922849778580712	3.0287444875890895E-4	371.62902374903206	34.1710303534951	29.429458109774714	4.286935712872291	10443.623665189312	5816.622818314025
2	0.0010799911924550543	2.709628526342082E-4	37.68909389770124	3.0814423642715347	3.278981270032318	0.34768638004620517	9633.107997609564	3962.8998561194408
3	0.001144937879871577	2.806293958504587E-4	1.4483346128254198	0.08825977327180429	0.8879687591946777	0.10417502580714161	8927.004394776333	4416.753668005961
4	0.0011234433804929722	2.525598824831832E-4	0.24368487993706367	0.041932515788229305	0.08785634723528801	0.008404899183676469	8280.479020060971	4016.928509934664
5	9.288829642173368E-4	1.9893505304935388E-4	0.01910706912894966	0.003184785751353261	0.015484002809898811	0.002033364445659094	7703.72903581374	3662.420339229391
6	9.427684326510644E-4	2.018770957571784E-4	0.004249932957463898	6.608584072797813E-4	0.0041170519700699515	7.13325824431339E-4	7187.501652599662	3295.7416733194045
7	9.978854795917869E-4	2.228279387660829E-4	9.503685032541398E-4	1.2579433915662876E-4	0.002037120501086065	3.872443121841011E-4	6723.643959479377	3136.640916841031
8	9.74192371359095E-4	2.068449898615654E-4	9.73954771325225E-4	1.2120127232467187E-4	0.0012738856261194087	2.6346916295992605E-4	6305.156392827426	2921.647872395221
9	9.388783073518425E-4	2.0360915959827253E-4	9.47061664192006E-4	2.111227518071246E-4	9.897479721985292E-4	1.9649760928359684E-4	5915.264903214469	2492.8751958425432
10	8.983150473795831E-4	1.796952484861928E-4	9.681475348770618E-4	2.179201646868023E-4	9.790091498871334E-4	2.3541605711822436E-4	5560.003100369737	2348.0650960489575
11	9.817960672080517E-4	2.0947461462128558E-4	9.540364844724536E-4	2.198288672793246E-4	9.873364069790114E-4	2.2756612316290076E-4	5236.5006294137565	2141.3679120734887
12	9.433036429982167E-4	2.0673775740457737E-4	9.767865703906864E-4	2.197184797094249E-4	9.928496401698794E-4	2.2450009011683558E-4	4940.931875235139	1959.5513533941053
13	9.88516869256273E-4	2.04376934410296E-4	9.811298223212361E-4	2.1849716358701698E-4	9.566896096657729E-4	2.3424834421008987E-4	4670.126308631938	1939.4742996781163
14	9.388902690261602E-4	2.0478535543588805E-4	9.74306371062994E-4	2.0052830916808618E-4	9.71019770076964E-4	2.520041796830824E-4	4421.232235390111	1740.853410318482
15	9.558131205267273E-4	2.037687938051628E-4	9.728841541800648E-4	1.8844106567225287E-4	9.992500374664814E-4	2.668637520579458E-4	4191.962225079682	1598.7157063210848
16	9.794555662665516E-4	2.048904457296885E-4	9.838444020715542E-4	2.3249538615865666E-4	9.709426691415501E-4	2.3866262701760987E-4	3980.1388997826725	1534.0985793377006
17	9.926679795171367E-4	2.143785536645737E-4	9.773564597708173E-4	2.451853562080133E-4	9.96266258880496E-4	2.2064780567429158E-4	3783.9219025487255	1357.2036842818466
18	9.588294688001042E-4	2.120638429611669E-4	9.341736040369142E-4	2.4329334391458778E-4	9.82118242973229E-4	1.8431173311585423E-4	3601.5909837093495	1410.5517812823339
