source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	9685.88864046095	417.5714459725474
23	22	5.0	5844.510357744192	59.69326011825589
32	33	5.0	0.0	5.0
8	14	5.0	9498.761433946805	386.60073445316607
11	10	5.0	7977.9807424447745	194.89486253039703
20	21	5.0	4321.475757791217	21.34818731134495
1	7	5.0	10314.11135953892	535.4794261540337
35	29	5.0	0.0	5.0
4	3	5.0	6785.945558961265	104.39917167908034
25	26	5.0	0.0	5.0
30	29	5.0	3319.0968442051085	10.688804095312507
16	15	5.0	6333.227926195513	80.41222474877847
35	34	5.0	3783.9574180818327	14.610063178586898
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	10363.315758358183	545.6748942613112
25	31	5.0	20048.705682872776	7578.325835253196
15	21	5.0	9961.675232869244	466.60531037476756
6	5	5.0	19951.288748208088	7432.199627576628
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	2239.614571831262	6.179327481377217
30	24	5.0	0.0	5.0
33	32	5.0	10279.91017250273	528.4781509373487
28	22	5.0	0.0	5.0
34	35	5.0	6232.057653952414	75.70776834977579
23	17	5.0	0.0	5.0
27	33	5.0	6342.411634329067	80.85059313825866
22	28	5.0	9531.83184391738	391.94279933248333
28	27	5.0	6861.5234571392675	108.90190021665482
18	17	5.0	4080.18220883193	17.991506413082043
17	23	5.0	10008.08145137881	475.26710996305985
7	1	5.0	0.0	5.0
20	19	5.0	4356.430667920738	21.883578734669538
29	30	5.0	4094.776374645442	18.178380304218294
23	29	5.0	9494.620384264872	385.9357237378829
29	35	5.0	7243.265038389668	134.02646171285488
10	11	5.0	0.0	5.0
17	18	5.0	2719.6300778051145	7.564369620208926
14	13	5.0	3852.190713095037	15.322203108200798
20	14	5.0	0.0	5.0
31	25	5.0	0.0	5.0
21	20	5.0	6032.147487289771	67.06247445337694
30	36	5.0	10308.634725739621	534.3536177095269
10	16	5.0	9692.027083915287	418.61831120502706
16	17	5.0	4409.396270559535	22.71975865666665
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	6380.116992529555	82.67045523914396
27	21	5.0	0.0	5.0
16	22	5.0	9963.20460428405	466.8888484514209
6	12	5.0	20048.711251792003	7578.33424981284
24	23	5.0	3989.8089456890875	16.878173914106778
34	33	5.0	6826.814173652234	106.81543162110587
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	7970.915254230261	194.22305413834636
13	19	5.0	10027.031893622543	478.8390687078672
33	34	5.0	2889.315635478569	8.266790107500446
23	24	5.0	3494.2282732890626	11.987895062717957
13	14	5.0	3358.2422782685385	10.961964422218129
3	4	5.0	2842.9953351258814	8.062286847604343
14	20	5.0	10011.470950146004	475.9045067466323
17	16	5.0	6112.676196886081	70.4435491182764
22	16	5.0	0.0	5.0
26	32	5.0	9671.38414462458	415.105709397088
29	28	5.0	5998.753272692565	65.69952327944983
7	8	5.0	3958.265334636022	16.50696765863474
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	9691.418003251323	418.51434815726185
10	9	5.0	6819.38495606967	106.3729557379534
36	35	5.0	0.0	5.0
36	30	5.0	0.0	5.0
5	4	5.0	10282.122012150647	528.9288254860741
31	32	5.0	0.0	5.0
26	27	5.0	0.0	5.0
21	22	5.0	4932.689428101511	32.7508551051748
3	2	5.0	3821.6620748965997	14.998858233578662
9	10	5.0	2194.259509224913	6.086658889776993
19	25	5.0	11385.85881490892	792.7791054888199
9	15	5.0	9536.230777937159	392.6575893270944
2	3	5.0	6258.8288435907725	76.93058329085301
15	9	5.0	0.0	5.0
7	13	5.0	9533.083458796043	392.14607558459187
8	2	5.0	0.0	5.0
19	20	5.0	2997.6037466343614	8.784758494112284
14	15	5.0	4864.274532817762	31.243006768164353
12	18	5.0	11389.087998726123	793.6731850676164
2	8	5.0	7248.721871766775	134.41571818190278
8	7	5.0	3177.237433893143	9.776831957099768
35	36	5.0	9691.365274260248	418.5053488482158
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	8662.846867963863	268.987784192327
32	26	5.0	0.0	5.0
32	31	5.0	19951.29431712731	7432.2079200719345
22	23	5.0	4835.468618230227	30.626869488364235
11	17	5.0	10350.809246678544	543.0696561976954
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	9532.955195299286	392.12524047600584
4	10	5.0	6339.171788315263	80.69572712034781
5	6	5.0	0.0	5.0
26	20	5.0	0.0	5.0
15	14	5.0	5870.93248384346	60.68902632480591
5	11	5.0	9669.166736057443	414.72973044598456
15	16	5.0	4901.12552023773	32.04734130520371
28	34	5.0	6385.598774044246	82.93773655370299
12	11	5.0	8659.623253065878	268.59506338034487
12	6	5.0	0.0	5.0
9	8	5.0	6024.432527237271	66.74557788031109
28	29	5.0	4523.077457257694	24.619023210206137
8	9	5.0	4555.420865800117	25.186234200143694
22	21	5.0	6373.103927982146	82.32951449771716
2	1	5.0	0.0	5.0
18	24	5.0	10028.535867699311	479.1234208612325
29	23	5.0	0.0	5.0
9	3	5.0	0.0	5.0
19	13	5.0	0.0	5.0
