iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	3.8094358523199645E-7	0.005779570212277263	0.006873149306498405	0.07381273148263812
1	1.4405378288007142E-6	7.05606987127072E-4	9.907419784025429E-4	0.06500041057336714
2	1.4078924555072092E-6	8.759042261041738E-5	9.268324531686023E-5	0.05954387361637237
3	5.398727687122573E-8	7.259649905777543E-6	9.196185705828697E-6	0.05485590373642646
4	2.0525906641033487E-8	7.297578608067568E-7	1.2580480054369403E-6	0.04987407823264578
5	2.1987770271181262E-8	8.452205035869298E-8	1.0110868997603717E-7	0.045465661177501615
6	1.5449215018392692E-8	3.448601804123541E-8	1.871611184922628E-7	0.041589645897758265
7	1.802738025524775E-8	3.860503228203527E-8	1.390501879194872E-7	0.0381274432451052
8	2.089204087507568E-8	3.338298626420766E-8	7.502891319344229E-8	0.03510644031684429
9	2.4111669771897937E-8	3.534937520477399E-8	4.742583747940898E-8	0.03228943304421339
10	2.260005260712461E-8	3.435084161562685E-8	3.862629449624677E-8	0.02941732408956288
11	2.4191762149072815E-8	3.2570963481859394E-8	3.80785230014169E-8	0.026851016583632648
12	2.2949873890176775E-8	3.99741048040525E-8	3.735360099010876E-8	0.02455435334731837
13	2.1672667105399057E-8	4.2910166975218544E-8	3.9284453690058285E-8	0.022500474482038846
14	1.724877551900761E-8	4.062499603385561E-8	4.442702516982422E-8	0.02066236212687622
15	2.6762536409208337E-8	4.126273289717375E-8	3.632445899626191E-8	0.019142119626848975
16	2.6652897444634505E-8	3.006653204185028E-8	3.532623948920843E-8	0.017768860410274145
17	2.6800578534214026E-8	3.576277529671046E-8	3.489224376096445E-8	0.016569646514541958
18	2.533961018791331E-8	4.2974630298786565E-8	3.761872779950437E-8	0.015498152562931744
19	2.6949898424000196E-8	4.029693156937242E-8	3.207042009734096E-8	0.014533907397118795
20	2.2995453874408156E-8	3.876481646791774E-8	4.506296591433312E-8	0.013663175123165283
21	2.7444485128924612E-8	5.046272510966787E-8	4.6433079048391335E-8	0.012864656556224374
22	2.4163661294096528E-8	4.573028344889707E-8	4.7033681283004114E-8	0.01213732868571682
23	2.4376238250134463E-8	3.72575720275492E-8	4.798111707948749E-8	0.011471930373130323
24	2.7003320024476807E-8	3.788907909640926E-8	4.782293028249285E-8	0.010859231085432963
25	2.6872851832671074E-8	3.577145912814217E-8	4.965696032144251E-8	0.010293999818631439
26	2.6672977826436295E-8	3.8561329573916225E-8	5.4911736935281397E-8	0.009770797389847208
27	2.547320854251467E-8	3.923720037768419E-8	4.849472978740721E-8	0.00928484478900371
28	2.7757385834270565E-8	3.666908432453653E-8	5.8679107906023376E-8	0.008832818052343483
29	2.4046212354633667E-8	3.8160463788905474E-8	5.756365906162131E-8	0.008410465642104903
30	2.3656776093616827E-8	3.6156741489712374E-8	4.648310869548311E-8	0.008019960974666174
31	2.277637201064664E-8	3.7741292202575494E-8	4.471826520191513E-8	0.007653238915181437
32	2.3121243475365816E-8	3.834228112786775E-8	4.438084777458329E-8	0.007309213384498636
33	2.342840266233992E-8	3.7558026577677595E-8	3.58074834228006E-8	0.006985445523387646
34	2.1687293516592376E-8	3.847674157064773E-8	3.1879930806333334E-8	0.006680641191124326
35	2.2363697338434463E-8	3.793048541922417E-8	3.340327503487117E-8	0.006393476778406515
36	2.1632228230927808E-8	3.962964567616467E-8	3.089910505238436E-8	0.0061227770897305245
37	2.20888163315891E-8	4.311008305890596E-8	3.186064878590855E-8	0.005867807353260757
38	2.1019594953486376E-8	3.918596458429846E-8	3.596360620417016E-8	0.005626834223237287
39	2.500293772023099E-8	3.9182066813303607E-8	3.5165198086772875E-8	0.005398589742731663
