source 	 destination 	 fft 	 flow 	 cost(min)
10	9	5.0	8082.015987118478	204.99544361875476
15	16	5.0	5577.854869663155	50.37431914436833
22	21	5.0	8055.1272840931615	202.34717331915795
9	10	5.0	3579.8316044210233	12.698244001115748
16	15	5.0	7782.56174269966	176.96164067994633
28	27	5.0	8026.434608009507	199.5503282931133
3	4	5.0	3657.33117256707	13.386841417750187
27	28	5.0	3617.2444600430617	13.025141920769038
4	3	5.0	8053.8603780792	202.22304798457486
21	22	5.0	3567.7378933057307	12.594742349713304
