iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	9.97663817464911E-4	2.2179319118507124E-4	588.0662133768637	45.11973891674356	950.8586070371093	169.85531810822496	1116.8417022318463	352.8041788331796
1	9.060254960786551E-4	2.0555948522087418E-4	94.94550555381011	7.726725907867176	156.58261866065754	25.896877497132472	297.68552354549865	148.51927017982987
2	9.009479745145654E-4	2.1185243458603508E-4	11.48940355344348	0.9983289780172129	77.6939294411859	11.14955951326005	227.8143010447384	122.62020087770829
3	9.73216985585168E-4	2.2847530908620683E-4	1.6591797964374564	0.13869647655678818	7.149503308722387	1.0399982633826546	196.06808897442534	101.59723280481087
4	9.719812078401446E-4	2.247930899102357E-4	0.09568648994900286	0.009965870782032267	0.9980893924639531	0.15446194823418105	180.19701922062086	90.58275584720491
5	9.145745680143591E-4	2.2126826152089052E-4	0.00840738496663107	0.0010992544504107274	0.09661177142925226	0.014898045518917212	168.91600512058358	77.82901877608501
6	9.716549247968942E-4	2.293816838573548E-4	9.893051319522783E-4	2.2899275700183352E-4	0.00979444163590415	0.0014266782268316201	159.60578991554212	69.84657265511245
7	9.353365167044103E-4	2.241727495857049E-4	9.905819169944152E-4	2.22586813538328E-4	9.919299627654254E-4	2.3050991360624057E-4	150.97370182798477	68.10823349598112
8	9.70812505329377E-4	2.2565185736311832E-4	9.987434750655666E-4	2.1469565201233566E-4	9.855356765910983E-4	2.5120658448498176E-4	143.03355461303727	60.35909013076212
9	9.45087376749143E-4	2.177440645027673E-4	9.991200458898675E-4	2.353701261549409E-4	9.848853186440465E-4	2.703234656595472E-4	135.6727041367849	57.43775211408298
10	9.856595115707023E-4	2.261876526972628E-4	9.739394336065743E-4	2.093048792076155E-4	9.922684234879853E-4	2.624127431238014E-4	128.83152433283976	53.64629259558025
11	9.88790619885549E-4	2.258051925309701E-4	9.909871787385782E-4	2.2544263356394367E-4	9.974567219614983E-4	2.534691654402291E-4	122.45805576606654	51.087438288739165
12	9.813620927161537E-4	2.3466113871108973E-4	9.71886069237371E-4	2.07398171528439E-4	9.965665246909339E-4	2.68601038171894E-4	116.50721502085798	47.61540853888857
13	8.995068019430619E-4	2.1489530445251148E-4	9.96707030935795E-4	2.3206178306473273E-4	9.94777205050923E-4	2.639257104911431E-4	111.26590513912379	44.424078486786364
14	9.812784192035906E-4	2.358357867706218E-4	9.682127238193061E-4	2.3717855590901408E-4	9.856790129560977E-4	2.605380772497244E-4	106.81669447990134	41.85138473923657
