iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	1.1903950246638928E-6	0.00829848040957859	0.0028513300425622168	0.004714920543011147
1	2.1185719845107087E-9	5.899459282279196E-4	1.815169285139806E-4	0.0014950745596212789
2	2.239703533746251E-9	7.194821316958144E-5	6.227823067772587E-5	0.0010932502580505155
3	2.4378620233633796E-9	7.97801661234221E-6	5.717770208857331E-6	8.740068193839878E-4
4	2.3332753507077086E-9	7.713964752520397E-7	8.454868731799792E-7	7.818044503440369E-4
5	2.336813853531794E-9	8.608952373201362E-8	8.185990385545239E-8	7.230235880766323E-4
6	2.4516044749844923E-9	2.6875486169863905E-8	8.325606870585034E-9	6.776476913760154E-4
7	2.349681449409502E-9	2.7274789204945193E-8	2.594213621698316E-9	6.361710598150605E-4
8	2.3478385902109267E-9	2.5473156584077117E-8	2.9334574769279698E-9	5.986187565116818E-4
9	2.2967476809299114E-9	2.8219142467200697E-8	3.0883392510006047E-9	5.64228025109248E-4
10	2.3476595112370546E-9	2.6837400635137953E-8	2.939466670071056E-9	5.326182506980581E-4
11	2.4031217016329265E-9	2.701792234383049E-8	2.993916448090772E-9	5.034605971179218E-4
12	2.44003828253625E-9	2.517606378926729E-8	3.003309934079823E-9	4.7647423128593935E-4
13	2.2439166080800987E-9	2.6722721480076927E-8	2.9878430840568626E-9	4.537164672716587E-4
14	2.436892132529067E-9	2.6948672626758707E-8	3.0746394319436376E-9	4.3574769659115997E-4
15	2.3621408162810553E-9	2.3829102691053095E-8	2.91846946609553E-9	4.1831387130175646E-4
16	2.2694222057140223E-9	2.6233034744471695E-8	3.1182455506595375E-9	4.01357420792281E-4
17	2.2877013616806607E-9	2.620030514766114E-8	3.1760952756698657E-9	3.8500474081248903E-4
18	2.2023670664950146E-9	2.7208593378347246E-8	2.9236790766162812E-9	3.692701651991648E-4
19	2.2116251052750613E-9	2.6155314136744323E-8	3.0493761959959897E-9	3.5415714976283486E-4
20	2.3332402676601305E-9	2.4427253220160594E-8	2.995396264360295E-9	3.396611741179889E-4
21	2.2529951237970636E-9	2.3669322168906604E-8	3.103655110692216E-9	3.2583369381400384E-4
22	2.2244474040533646E-9	2.3850012076387372E-8	3.163181383492031E-9	3.125923383674456E-4
23	2.394265563587794E-9	2.6006903741659926E-8	3.159974726330006E-9	2.9994708511216217E-4
24	2.221452799489043E-9	2.4964556200046673E-8	3.0750451074368357E-9	2.877855119517436E-4
25	2.1716426434892355E-9	2.511155094975237E-8	3.0440715503843307E-9	2.762129796796131E-4
26	2.3075885646761662E-9	2.5775284129281317E-8	3.1218284624046078E-9	2.651927233759954E-4
27	2.1855655063518498E-9	2.426696810164941E-8	3.0617274271449446E-9	2.5462326184710893E-4
28	2.121242292929537E-9	2.4282283184184905E-8	3.1158590152458032E-9	2.4454245713345646E-4
29	2.4496962236497666E-9	2.62267230155544E-8	2.995213854717349E-9	2.34929602879963E-4
30	2.2669341959158373E-9	2.4439548051979898E-8	3.038101548114014E-9	2.2576288444509096E-4
31	2.2116208864275677E-9	2.4327518333144837E-8	3.040622753580635E-9	2.1702263237388664E-4
32	2.396257858805484E-9	2.5129871406015525E-8	3.0005241624664336E-9	2.086891298854754E-4
33	2.2559977219671623E-9	2.4052375424687966E-8	2.9607019058630613E-9	2.0074265985980944E-4
34	2.177156233074129E-9	2.7629884491453538E-8	3.1320257498634874E-9	1.931653601805472E-4
35	2.2808418487230142E-9	2.409615706966406E-8	2.8665156914797763E-9	1.859377874804391E-4
36	2.2407455890771644E-9	2.4686661159734058E-8	3.215329447137094E-9	1.7904444677252496E-4
37	2.249980313173694E-9	2.644816166075259E-8	2.999007708837098E-9	1.724830371407915E-4
38	2.3578410335289846E-9	2.5164505590424824E-8	2.926826447868791E-9	1.6620904162722994E-4
39	2.2362101059769657E-9	2.390519415751413E-8	3.0732575373448867E-9	1.602643296761963E-4
40	2.2453309211911687E-9	2.28325550688524E-8	3.0122445648927965E-9	1.54540253370139E-4
41	2.155432388128986E-9	2.243372132504362E-8	2.969024248677954E-9	1.4907476963232913E-4
42	2.4761004357998218E-9	2.056029624331046E-8	3.2248009818047763E-9	1.4385578020692513E-4
43	2.38283048847876E-9	1.8853922201245155E-8	3.0073449286405207E-9	1.3887024951331206E-4
44	2.2903197116619367E-9	1.9605257417509847E-8	3.0782109083915543E-9	1.3410736006558288E-4
45	2.2521350340198865E-9	1.8127983003601855E-8	3.1050860771486555E-9	1.2955428861383123E-4
46	2.2844315328285347E-9	1.9049525845638016E-8	3.034713924598975E-9	1.2520177325470172E-4
47	2.2583555026045588E-9	1.808806859848744E-8	2.930371834075629E-9	1.210378083625896E-4
48	2.2379733621846754E-9	1.803841165326503E-8	2.924332664910878E-9	1.1705375174342336E-4
49	2.229501583350668E-9	1.756726708546097E-8	3.050906527413133E-9	1.1323057489232013E-4
50	2.245461372396562E-9	1.914985758855181E-8	3.1535956068751148E-9	1.0958215114631464E-4
51	2.3305907204118625E-9	1.8711347915534304E-8	2.9483882002523387E-9	1.0608683524682139E-4
52	2.30009922219665E-9	1.959525819383856E-8	3.1939095812560936E-9	1.0274958583456062E-4
53	2.2192029325296403E-9	1.8602217100038843E-8	2.9747798668822156E-9	9.953814592011945E-5
