source 	 destination 	 fft 	 flow 	 cost(min)
1	2	5.0	9688.867180143181	418.07916495294967
23	22	5.0	5856.10712697874	60.128646731645325
32	33	5.0	0.0	5.0
8	14	5.0	9496.68521245845	386.2672055302311
11	10	5.0	7974.68263423812	194.58104600681165
20	21	5.0	4370.333957451139	22.100144468724118
1	7	5.0	10311.132819856797	534.8669178500134
35	29	5.0	0.0	5.0
4	3	5.0	6806.034724829402	105.58145713215224
30	29	5.0	3256.354636458723	10.270697177084351
25	26	5.0	0.0	5.0
16	15	5.0	6353.178511081657	81.36696196959058
35	34	5.0	3800.8525193483288	14.782849097429569
16	10	5.0	0.0	5.0
11	5	5.0	0.0	5.0
20	26	5.0	10356.371834805392	544.2272365982695
25	31	5.0	20048.722594465482	7578.351388456686
15	21	5.0	9962.457755047215	466.75036989486455
6	5	5.0	19951.277545617413	7432.182946186613
33	27	5.0	0.0	5.0
18	12	5.0	0.0	5.0
27	28	5.0	2216.8717973564767	6.132149018412356
30	24	5.0	0.0	5.0
33	32	5.0	10281.048051928412	528.7099638284324
28	22	5.0	0.0	5.0
23	17	5.0	0.0	5.0
34	35	5.0	6243.966215973169	76.24976873426436
27	33	5.0	6340.970289622866	80.78166693465036
22	28	5.0	9534.057163380514	392.30427147950644
28	27	5.0	6840.732355464617	107.64827996016746
18	17	5.0	4202.772431412702	19.62462638178652
17	23	5.0	10009.604792394264	475.55349482422787
7	1	5.0	0.0	5.0
20	19	5.0	4202.768329565228	19.624569288141846
29	30	5.0	4034.290152204544	17.41680329582765
23	29	5.0	9496.683939111612	386.26700104402073
29	35	5.0	7245.753569707782	134.20386894455964
10	11	5.0	0.0	5.0
17	18	5.0	2842.812370153753	8.061498612554326
20	14	5.0	0.0	5.0
14	13	5.0	3928.809944612232	16.168256052581228
31	25	5.0	0.0	5.0
21	20	5.0	6077.062758039209	68.9316872305768
30	36	5.0	10311.132733667357	534.8669001336546
10	16	5.0	9691.790431717684	418.5779150746993
16	17	5.0	4370.339489263452	22.100231047891977
24	18	5.0	0.0	5.0
21	15	5.0	0.0	5.0
3	9	5.0	6383.200510424944	82.82071700993241
27	21	5.0	0.0	5.0
16	22	5.0	9962.457923525259	466.7504011300489
6	12	5.0	20048.72245438259	7578.351176792941
24	23	5.0	3928.770600450338	16.16780869159411
34	33	5.0	6806.180407945589	105.5900691896432
34	28	5.0	0.0	5.0
14	8	5.0	0.0	5.0
27	26	5.0	7974.681225513091	194.5809120491328
13	19	5.0	10027.937793309153	479.010329293597
33	34	5.0	2866.1026456400436	8.163065904430148
23	24	5.0	3434.0302113090606	11.518650955492609
13	14	5.0	3434.0712750387856	11.51896275813371
3	4	5.0	2865.9451337563046	8.162370633588623
14	20	5.0	10009.604128661282	475.5533700153669
17	16	5.0	6077.064417004761	68.93175704095357
22	16	5.0	0.0	5.0
26	32	5.0	9670.229353606106	414.909873281741
29	28	5.0	6010.243263866556	66.1659157563298
7	8	5.0	4034.254309696742	17.41636203511389
10	4	5.0	0.0	5.0
17	11	5.0	0.0	5.0
21	27	5.0	9691.790957027819	418.57800474097496
10	9	5.0	6840.670736148445	107.64458150741297
36	35	5.0	0.0	5.0
36	30	5.0	0.0	5.0
5	4	5.0	10281.050038563499	528.7103686201953
31	32	5.0	0.0	5.0
26	27	5.0	0.0	5.0
21	22	5.0	4917.141261961625	32.402615761117204
3	2	5.0	3800.8604414441575	14.78293065903706
9	10	5.0	2216.8180861376036	6.132039301839889
9	15	5.0	9534.057904889767	392.3043919695476
19	25	5.0	11387.89888775311	793.3438617451266
2	3	5.0	6243.971360796004	76.25000356442045
15	9	5.0	0.0	5.0
7	13	5.0	9533.199123735703	392.1648649060666
8	2	5.0	0.0	5.0
14	15	5.0	4848.449016896939	30.903151975808495
19	20	5.0	2842.8072351212704	8.061476492413878
12	18	5.0	11387.897668321764	793.3435240775476
2	8	5.0	7245.756260791337	134.20406089069598
8	7	5.0	3256.3206135756486	10.270476904388772
35	36	5.0	9688.867266332622	418.07917965149477
13	7	5.0	0.0	5.0
4	5	5.0	0.0	5.0
26	25	5.0	8660.82370671238	268.7412588676187
32	26	5.0	0.0	5.0
32	31	5.0	19951.277405534514	7432.1827375941975
22	23	5.0	4848.445884554813	30.903085036913023
11	17	5.0	10356.369658876622	544.226783420378
25	19	5.0	0.0	5.0
11	12	5.0	0.0	5.0
24	30	5.0	9533.197217921537	392.16455530839505
4	10	5.0	6340.9604474904	80.78119643790686
5	6	5.0	0.0	5.0
15	14	5.0	5856.106602673222	60.128626988666454
26	20	5.0	0.0	5.0
5	11	5.0	9670.227507053918	414.90956018895747
15	16	5.0	4917.121075147923	32.40216576949536
12	11	5.0	8660.824786060824	268.74139034184356
28	34	5.0	6383.191458930385	82.82027560609613
12	6	5.0	0.0	5.0
9	8	5.0	6010.240920401915	66.16582035914158
28	29	5.0	4537.248410208546	24.866049319119654
8	9	5.0	4537.245664855897	24.866001237765758
22	21	5.0	6353.203264530296	81.36815214972819
18	24	5.0	10027.937607062815	479.01029407890496
2	1	5.0	0.0	5.0
29	23	5.0	0.0	5.0
19	13	5.0	0.0	5.0
9	3	5.0	0.0	5.0
