source	dest	fft	coef	power	capacity
245	244	1.046881454	0.15	4.0	9000.0
152	151	0.621643949	0.15	4.0	7200.0
354	370	2.0	0.15	4.0	5400.0
378	379	2.0	0.15	4.0	5400.0
409	410	0.220075758	0.15	4.0	5400.0
350	126	0.5	0.15	4.0	1800.0
121	120	0.545229244	0.15	4.0	7200.0
324	129	0.5	0.15	4.0	1800.0
408	211	0.5	0.15	4.0	1800.0
317	311	0.720075758	0.15	4.0	5400.0
45	341	1.0	0.15	4.0	5400.0
347	245	0.5	0.15	4.0	1800.0
400	399	0.5	0.15	4.0	5400.0
381	382	0.5	0.15	4.0	5400.0
316	317	0.859848485	0.15	4.0	5400.0
248	247	0.392606361	0.15	4.0	9000.0
217	216	0.588806278	0.15	4.0	9000.0
340	325	0.359848485	0.15	4.0	5400.0
211	210	0.774266832	0.15	4.0	7200.0
357	373	2.0	0.15	4.0	5400.0
406	38	0.149068323	0.15	4.0	12600.0
313	314	0.779924242	0.15	4.0	5400.0
388	405	2.0	0.15	4.0	5400.0
350	351	0.859848485	0.15	4.0	5400.0
124	123	0.8614209	0.15	4.0	7200.0
251	250	0.054522924	0.15	4.0	9000.0
344	343	2.0	0.15	4.0	5400.0
214	7	1.090458488	0.15	4.0	9000.0
208	207	0.283560512	0.15	4.0	7200.0
396	215	0.5	0.15	4.0	1800.0
384	385	2.0	0.15	4.0	5400.0
127	126	0.272614622	0.15	4.0	7200.0
403	404	1.0	0.15	4.0	5400.0
6	213	1.090458488	0.15	4.0	9000.0
322	18	1.0	0.15	4.0	5400.0
387	371	2.0	0.15	4.0	5400.0
45	340	1.0	0.15	4.0	5400.0
341	342	1.0	0.15	4.0	5400.0
50	373	1.0	0.15	4.0	5400.0
407	53	1.059848485	0.15	4.0	5400.0
205	204	0.272614622	0.15	4.0	7200.0
316	315	1.0	0.15	4.0	5400.0
212	408	0.5	0.15	4.0	1800.0
9	379	1.0	0.15	4.0	5400.0
36	394	0.149068323	0.15	4.0	12600.0
242	241	0.621643949	0.15	4.0	9000.0
380	19	1.0	0.15	4.0	5400.0
276	296	2.0	0.15	4.0	5400.0
372	373	2.0	0.15	4.0	5400.0
375	376	0.720075758	0.15	4.0	5400.0
402	37	0.149068323	0.15	4.0	12600.0
34	385	0.149068323	0.15	4.0	12600.0
239	238	0.229037588	0.15	4.0	9000.0
157	349	0.5	0.15	4.0	1800.0
378	51	1.0	0.15	4.0	5400.0
297	298	0.5	0.15	4.0	5400.0
171	170	0.065468815	0.15	4.0	7200.0
402	385	2.0	0.15	4.0	5400.0
30	341	0.149068323	0.15	4.0	12600.0
52	402	1.0	0.15	4.0	5400.0
20	397	1.0	0.15	4.0	5400.0
127	350	0.5	0.15	4.0	1800.0
413	21	1.0	0.15	4.0	5400.0
405	414	2.0	0.15	4.0	5400.0
133	132	0.468814539	0.15	4.0	7200.0
300	301	0.5	0.15	4.0	5400.0
168	167	0.272614622	0.15	4.0	7200.0
387	388	2.0	0.15	4.0	5400.0
130	129	0.272614622	0.15	4.0	7200.0
238	61	0.333333333	0.15	4.0	9000.0
167	166	1.090458488	0.15	4.0	7200.0
161	160	0.272614622	0.15	4.0	7200.0
393	394	0.140151515	0.15	4.0	5400.0
370	386	2.0	0.15	4.0	5400.0
385	34	0.149068323	0.15	4.0	12600.0
414	405	2.0	0.15	4.0	5400.0
18	348	1.0	0.15	4.0	5400.0
390	391	0.720075758	0.15	4.0	5400.0
381	160	0.5	0.15	4.0	1800.0
21	412	1.0	0.15	4.0	5400.0
164	163	0.272614622	0.15	4.0	7200.0
174	173	0.229037588	0.15	4.0	7200.0
103	61	0.333333333	0.15	4.0	9000.0
220	219	0.50165221	0.15	4.0	9000.0
365	366	0.5	0.15	4.0	5400.0
322	323	2.0	0.15	4.0	5400.0
158	157	0.8614209	0.15	4.0	7200.0
384	367	2.279924242	0.15	4.0	5400.0
279	280	0.420075758	0.15	4.0	5400.0
300	280	0.420075758	0.15	4.0	5400.0
403	386	2.0	0.15	4.0	5400.0
154	323	0.5	0.15	4.0	1800.0
30	340	0.149068323	0.15	4.0	12600.0
353	354	1.0	0.15	4.0	5400.0
327	315	1.079924242	0.15	4.0	5400.0
385	402	2.0	0.15	4.0	5400.0
310	313	0.279924242	0.15	4.0	5400.0
406	389	2.0	0.15	4.0	5400.0
356	357	2.0	0.15	4.0	5400.0
223	346	0.5	0.15	4.0	1800.0
416	23	1.0	0.15	4.0	5400.0
351	367	2.0	0.15	4.0	5400.0
399	400	0.5	0.15	4.0	5400.0
220	363	0.5	0.15	4.0	1800.0
155	154	0.316191656	0.15	4.0	7200.0
223	222	0.425237505	0.15	4.0	9000.0
323	153	0.5	0.15	4.0	1800.0
147	57	0.333333333	0.15	4.0	9000.0
393	170	0.5	0.15	4.0	1800.0
19	364	1.0	0.15	4.0	5400.0
368	369	1.420075758	0.15	4.0	5400.0
355	343	2.0	0.15	4.0	5400.0
21	413	1.0	0.15	4.0	5400.0
409	167	0.5	0.15	4.0	1800.0
325	326	0.859848485	0.15	4.0	5400.0
389	50	1.0	0.15	4.0	5400.0
149	148	0.272614622	0.15	4.0	7200.0
371	372	2.0	0.15	4.0	5400.0
393	392	0.420075758	0.15	4.0	5400.0
299	315	1.920075758	0.15	4.0	5400.0
343	355	2.0	0.15	4.0	5400.0
242	317	0.5	0.15	4.0	1800.0
402	403	1.0	0.15	4.0	5400.0
238	237	0.229037588	0.15	4.0	9000.0
221	220	1.166873193	0.15	4.0	9000.0
22	414	1.0	0.15	4.0	5400.0
386	370	2.0	0.15	4.0	5400.0
410	409	0.220075758	0.15	4.0	5400.0
354	355	1.0	0.15	4.0	5400.0
173	172	0.50165221	0.15	4.0	7200.0
366	124	0.5	0.15	4.0	1800.0
367	384	2.279924242	0.15	4.0	5400.0
377	174	0.5	0.15	4.0	1800.0
374	375	0.579924242	0.15	4.0	5400.0
