source	dest	fft	coef	power	capacity
279	278	0.5	0.15	4.0	5400.0
103	59	0.333333333	0.15	4.0	9000.0
363	358	1.720075758	0.15	4.0	5400.0
226	225	0.937835605	0.15	4.0	9000.0
378	361	2.0	0.15	4.0	5400.0
137	136	0.632383313	0.15	4.0	7200.0
330	339	0.640151515	0.15	4.0	5400.0
55	59	0.333333333	0.15	4.0	9000.0
176	175	0.817843866	0.15	4.0	7200.0
357	358	2.0	0.15	4.0	5400.0
361	378	2.0	0.15	4.0	5400.0
224	223	0.970466749	0.15	4.0	9000.0
227	226	0.392606361	0.15	4.0	9000.0
105	104	0.272614622	0.15	4.0	7200.0
301	302	0.5	0.15	4.0	5400.0
46	330	1.0	0.15	4.0	5400.0
302	311	1.140151515	0.15	4.0	5400.0
147	146	0.763320942	0.15	4.0	7200.0
330	46	1.0	0.15	4.0	5400.0
311	302	1.140151515	0.15	4.0	5400.0
345	346	0.640151515	0.15	4.0	5400.0
358	357	2.0	0.15	4.0	5400.0
277	299	0.720075758	0.15	4.0	5400.0
299	277	0.720075758	0.15	4.0	5400.0
318	317	1.140151515	0.15	4.0	5400.0
227	311	0.5	0.15	4.0	1800.0
346	345	0.640151515	0.15	4.0	5400.0
57	54	0.333333333	0.15	4.0	9000.0
358	363	1.720075758	0.15	4.0	5400.0
278	279	0.5	0.15	4.0	5400.0
204	203	0.817843866	0.15	4.0	7200.0
105	279	0.5	0.15	4.0	1800.0
302	301	0.5	0.15	4.0	5400.0
237	236	0.250722842	0.15	4.0	9000.0
317	318	1.140151515	0.15	4.0	5400.0
57	235	0.333333333	0.15	4.0	9000.0
339	330	0.640151515	0.15	4.0	5400.0
