source	dest	fft	coef	power	capacity
245	244	1.046881454	0.15	4.0	9000.0
152	151	0.621643949	0.15	4.0	7200.0
183	182	0.392606361	0.15	4.0	7200.0
254	255	2.0	0.15	4.0	5400.0
90	89	0.272614622	0.15	4.0	7200.0
290	94	0.5	0.15	4.0	1800.0
278	100	0.5	0.15	4.0	1800.0
354	370	2.0	0.15	4.0	5400.0
1	117	1.090458488	0.15	4.0	9000.0
378	379	2.0	0.15	4.0	5400.0
338	337	2.0	0.15	4.0	5400.0
409	410	0.220075758	0.15	4.0	5400.0
302	27	0.149068323	0.15	4.0	12600.0
307	306	0.5	0.15	4.0	5400.0
350	126	0.5	0.15	4.0	1800.0
121	120	0.545229244	0.15	4.0	7200.0
273	292	2.0	0.15	4.0	5400.0
25	269	0.149068323	0.15	4.0	12600.0
324	129	0.5	0.15	4.0	1800.0
343	329	1.0	0.15	4.0	5400.0
29	308	0.149068323	0.15	4.0	12600.0
408	211	0.5	0.15	4.0	1800.0
317	311	0.720075758	0.15	4.0	5400.0
45	341	1.0	0.15	4.0	5400.0
347	245	0.5	0.15	4.0	1800.0
400	399	0.5	0.15	4.0	5400.0
273	26	0.149068323	0.15	4.0	12600.0
381	382	0.5	0.15	4.0	5400.0
266	24	0.149068323	0.15	4.0	12600.0
316	317	0.859848485	0.15	4.0	5400.0
303	42	1.0	0.15	4.0	5400.0
248	247	0.392606361	0.15	4.0	9000.0
180	179	1.908302354	0.15	4.0	7200.0
217	216	0.588806278	0.15	4.0	9000.0
340	325	0.359848485	0.15	4.0	5400.0
58	145	0.333333333	0.15	4.0	9000.0
257	258	2.0	0.15	4.0	5400.0
211	210	0.774266832	0.15	4.0	7200.0
357	373	2.0	0.15	4.0	5400.0
87	86	1.090458488	0.15	4.0	7200.0
109	289	0.5	0.15	4.0	1800.0
338	10	1.0	0.15	4.0	5400.0
32	332	0.149068323	0.15	4.0	12600.0
406	38	0.149068323	0.15	4.0	12600.0
281	267	1.640151515	0.15	4.0	5400.0
54	230	0.333333333	0.15	4.0	9000.0
313	314	0.779924242	0.15	4.0	5400.0
90	293	0.5	0.15	4.0	1800.0
177	360	0.5	0.15	4.0	1800.0
388	405	2.0	0.15	4.0	5400.0
231	56	0.333333333	0.15	4.0	9000.0
259	267	1.920075758	0.15	4.0	5400.0
350	351	0.859848485	0.15	4.0	5400.0
84	83	0.229037588	0.15	4.0	7200.0
124	123	0.8614209	0.15	4.0	7200.0
258	68	0.5	0.15	4.0	1800.0
260	261	0.5	0.15	4.0	5400.0
251	250	0.054522924	0.15	4.0	9000.0
330	319	0.859848485	0.15	4.0	5400.0
286	302	0.420075758	0.15	4.0	5400.0
214	7	1.090458488	0.15	4.0	9000.0
344	343	2.0	0.15	4.0	5400.0
208	207	0.283560512	0.15	4.0	7200.0
96	95	1.243081371	0.15	4.0	7200.0
396	215	0.5	0.15	4.0	1800.0
65	64	0.349029327	0.15	4.0	7200.0
384	385	2.0	0.15	4.0	5400.0
257	14	1.0	0.15	4.0	5400.0
127	126	0.272614622	0.15	4.0	7200.0
303	43	1.540151515	0.15	4.0	5400.0
284	106	0.5	0.15	4.0	1800.0
403	404	1.0	0.15	4.0	5400.0
6	213	1.090458488	0.15	4.0	9000.0
291	110	0.5	0.15	4.0	1800.0
282	281	0.579924242	0.15	4.0	5400.0
322	18	1.0	0.15	4.0	5400.0
387	371	2.0	0.15	4.0	5400.0
45	340	1.0	0.15	4.0	5400.0
256	266	1.920075758	0.15	4.0	5400.0
93	92	0.349029327	0.15	4.0	7200.0
341	342	1.0	0.15	4.0	5400.0
270	269	1.0	0.15	4.0	5400.0
50	373	1.0	0.15	4.0	5400.0
99	283	0.5	0.15	4.0	1800.0
303	289	1.220075758	0.15	4.0	5400.0
285	284	0.279924242	0.15	4.0	5400.0
407	53	1.059848485	0.15	4.0	5400.0
205	204	0.272614622	0.15	4.0	7200.0
274	41	1.0	0.15	4.0	5400.0
279	278	0.5	0.15	4.0	5400.0
236	235	0.119991739	0.15	4.0	9000.0
273	272	0.279924242	0.15	4.0	5400.0
316	315	1.0	0.15	4.0	5400.0
212	408	0.5	0.15	4.0	1800.0
9	379	1.0	0.15	4.0	5400.0
36	394	0.149068323	0.15	4.0	12600.0
242	241	0.621643949	0.15	4.0	9000.0
40	268	1.320075758	0.15	4.0	5400.0
380	19	1.0	0.15	4.0	5400.0
276	296	2.0	0.15	4.0	5400.0
277	228	0.5	0.15	4.0	1800.0
372	373	2.0	0.15	4.0	5400.0
99	98	0.272614622	0.15	4.0	7200.0
93	195	0.333333333	0.15	4.0	7200.0
375	376	0.720075758	0.15	4.0	5400.0
402	37	0.149068323	0.15	4.0	12600.0
34	385	0.149068323	0.15	4.0	12600.0
77	141	0.333333333	0.15	4.0	7200.0
103	59	0.333333333	0.15	4.0	9000.0
239	238	0.229037588	0.15	4.0	9000.0
157	349	0.5	0.15	4.0	1800.0
378	51	1.0	0.15	4.0	5400.0
140	139	0.272614622	0.15	4.0	7200.0
297	298	0.5	0.15	4.0	5400.0
288	287	0.720075758	0.15	4.0	5400.0
109	108	0.272614622	0.15	4.0	7200.0
330	31	0.149068323	0.15	4.0	12600.0
171	170	0.065468815	0.15	4.0	7200.0
78	77	0.272614622	0.15	4.0	7200.0
402	385	2.0	0.15	4.0	5400.0
363	358	1.720075758	0.15	4.0	5400.0
226	225	0.937835605	0.15	4.0	9000.0
30	341	0.149068323	0.15	4.0	12600.0
359	360	0.5	0.15	4.0	5400.0
195	194	0.741429162	0.15	4.0	7200.0
52	402	1.0	0.15	4.0	5400.0
116	294	0.5	0.15	4.0	1800.0
20	397	1.0	0.15	4.0	5400.0
203	359	0.5	0.15	4.0	1800.0
127	350	0.5	0.15	4.0	1800.0
378	361	2.0	0.15	4.0	5400.0
202	201	0.817843866	0.15	4.0	7200.0
328	329	1.0	0.15	4.0	5400.0
413	21	1.0	0.15	4.0	5400.0
