Origin	Destination	Demand	Cost
1	2	1365.9	12.930192958933729
1	3	407.4	14.599002891222028
1	4	861.4	11.894022317985558
1	5	354.4	19.84366293745393
1	6	545.1	12.086927350298932
1	7	431.5	11.081407665694735
1	8	1.0	12.915947174220138
1	9	56.8	10.03630554561556
1	10	75.3	7.5978533665528145
1	11	1.0	7.291247553297349
1	12	37.9	8.284877761615974
1	13	48.5	8.583485168871507
1	14	1.0	14.206488763861518
1	15	185.9	14.617507996736745
1	16	12.1	13.595641384583535
1	17	81.1	13.716447430323159
1	18	126.6	15.997184485515241
1	19	67.2	18.55662721275823
1	20	382.4	23.81886855594143
1	21	101.6	19.123846828646737
1	22	71.7	14.936656155160316
1	23	25.8	14.635303303719315
1	24	21.1	8.936423649420819
1	25	665.1	7.475329769330931
1	26	29.0	5.433990207433456
1	27	18.9	6.533297259781771
1	28	75.9	6.235055987917266
1	29	139.1	4.444886815434502
1	30	119.1	12.39762801842616
1	31	295.6	9.097849848517052
1	32	85.9	6.45001062745411
1	33	74.3	4.7483665879367685
1	34	96.4	16.397180805858394
1	35	53.6	10.721090899163446
1	36	37.9	7.185671578657099
1	37	13.7	18.316905153477688
1	38	107.7	11.785542309924796
2	1	1171.2	10.406017767725826
2	3	608.1	11.079672797008982
2	4	1271.4	14.865316296236943
2	5	542.3	23.202813239987357
2	6	808.4	17.166966217921892
2	7	629.1	16.16145160934695
2	8	1.0	17.995980608665906
2	9	74.9	15.116338980061338
2	10	87.3	12.677886800998591
2	11	1.0	12.371280987743123
2	12	48.1	11.12088814873659
2	13	63.9	10.822779649696914
2	14	1.0	10.10502390461627
2	15	566.3	11.891248327583334
2	16	22.0	12.715565790312759
2	17	107.5	17.075609861302848
2	18	213.9	19.35634691649493
2	19	101.1	21.915789643737913
2	20	511.1	27.177965464105398
2	21	156.8	24.203874767747003
2	22	105.2	20.016682534387016
2	23	39.0	19.715329683495156
2	24	47.6	8.056348055150055
2	25	942.1	6.595254175060168
2	26	51.8	7.97178270679418
2	27	27.7	9.892459690761461
2	28	111.9	9.594218418896956
2	29	194.1	9.524920249880276
2	30	194.8	16.131772847455863
2	31	329.9	12.89327668981036
2	32	95.1	11.530044061899885
2	33	79.1	9.828400022382544
2	34	134.9	20.13126702768226
2	35	81.3	15.80112301856764
2	36	55.1	12.265705013102874
2	37	19.6	22.293104215791132
2	38	166.9	16.86556892263762
3	1	721.1	14.911596594177242
3	2	1237.9	13.642524900848617
3	4	1107.9	9.029787295110436
3	5	386.6	17.367233236804204
3	6	582.8	18.523823012349144
3	7	457.9	17.8674025573702
3	8	1.0	19.69035538774888
3	9	57.1	18.476831924632624
3	10	62.4	16.489841056370288
3	11	1.0	16.183235243114815
3	12	33.4	14.869365175138459
3	13	37.2	14.571256676098779
3	14	1.0	8.469253609772625
3	15	241.6	7.035293647658925
3	16	15.6	8.03852103895227
3	17	102.6	11.240017729673431
3	18	159.1	13.520754784865513
3	19	71.1	16.080197512108505
3	20	385.6	21.342442035785368
3	21	109.6	19.60701808919151
3	22	78.1	20.372299428565828
3	23	25.1	20.669689502957898
3	24	32.8	5.71334033297574
3	25	687.5	7.060566662728944
3	26	27.3	11.720259733196047
3	27	21.4	10.000297651159922
3	28	82.9	10.298688917224684
3	29	109.6	13.336900774152006
3	30	132.1	11.105732102692402
3	31	234.5	10.217381109991036
3	32	69.9	12.557961410734952
3	33	61.1	13.640407360397711
3	34	101.6	15.404462799221854
3	35	58.7	15.219029124880544
3	36	43.4	15.62599377011911
3	37	13.6	16.457512084161674
3	38	116.9	17.520489638571473
4	1	1222.5	12.904131994856069
4	2	2106.7	18.171567781651646
4	3	938.6	9.734324398100192
4	5	665.9	15.36279193389834
4	6	988.8	15.91512577806057
4	7	769.8	15.258705323081625
4	8	1.0	17.081658153460307
4	9	91.6	15.8681346903441
4	10	108.6	13.881143822081711
4	11	1.0	13.574538008826245
4	12	47.8	14.968436486618252
4	13	61.0	15.267043893873785
4	14	1.0	12.99829649057565
4	15	651.9	11.56433652846195
4	16	27.7	9.133250869938296
4	17	166.3	9.235576426767562
4	18	297.6	11.516313481959646
4	19	155.6	14.075756209202638
4	20	601.6	19.338000732879497
4	21	191.1	17.602576786285645
4	22	132.6	17.763602194277258
4	23	37.8	18.06099226866932
4	24	62.4	7.809645329490564
4	25	881.0	9.156871659243773
4	26	53.6	12.117548932435733
4	27	36.1	7.3916004168713565
4	28	107.7	7.689991682936115
4	29	179.9	10.728177270963398
4	30	301.6	9.101290799786529
4	31	508.9	7.6086838757024635
4	32	119.4	9.94926417644638
4	33	94.3	11.031657043465684
4	34	167.5	13.392419338023666
4	35	98.7	12.610331890591969
4	36	74.6	13.017296535830504
4	37	21.7	14.453070781255807
4	38	199.9	14.911792404282897
5	1	243.4	19.87563363894851
5	2	419.2	25.007136395140844
5	3	145.3	16.56989301158939
5	4	311.6	13.294429960935956
5	6	195.6	14.386687347454998
5	7	158.7	16.929140320289775
5	8	1.0	14.762392205562916
5	9	19.8	17.242702321070706
5	10	21.3	19.76323214099252
5	11	1.0	19.84275171170908
5	12	6.8	21.939938130710694
5	13	13.6	21.923276321225032
5	14	1.0	19.83386510406485
5	15	71.6	18.399905141951148
5	16	4.4	15.968819483427493
5	17	31.3	13.203706949980537
5	18	46.9	9.416748537891188
5	19	31.8	7.131808360767504
5	20	166.6	7.134614182258494
5	21	48.7	6.626643601619835
5	22	24.8	10.631774175887172
5	23	15.3	12.934200956436595
5	24	7.8	14.64521394297976
5	25	184.7	15.992440272732964
5	26	7.5	19.0722793783223
5	27	5.1	13.659814119754193
5	28	22.2	13.958205385818953
5	29	41.6	16.996390973846246
5	30	57.1	9.225703387806913
5	31	109.7	12.52548363005694
5	32	24.6	15.16508493364373
5	33	22.6	16.914006621156894
5	34	45.7	5.775290096029007
5	35	21.6	11.775499603917016
5	36	11.4	14.391864166557152
5	37	7.0	3.477137596590002
5	38	38.5	9.785001092050168
6	1	637.4	13.809232452018232
6	2	1089.9	20.046393800383978
6	3	381.8	18.90006149119002
6	4	812.1	15.345176371373395
6	5	338.2	13.780721502043365
6	7	477.9	8.798437413314977
6	8	1.0	6.63168929858812
6	9	73.6	8.201822767674386
6	10	54.3	10.722352587596141
6	11	1.0	11.328719302907405
6	12	32.4	14.640189392027253
6	13	35.7	14.938796799282825
6	14	1.0	21.322689605311723
6	15	179.1	20.730073621551778
6	16	11.8	18.298987963028125
6	17	79.1	16.852404168325307
6	18	131.4	17.62963503661195
6	19	62.2	16.95476759870172
6	20	366.0	16.193903746691586
6	21	96.8	11.498884411718501
6	22	88.2	7.311693738232087
6	23	27.3	7.010340886791072
6	24	18.5	16.052624490871057
6	25	491.4	14.591596616300773
6	26	21.1	11.789301837844734
6	27	14.2	11.417555513024952
6	28	56.2	11.119314241160449
6	29	101.6	8.177037661381478
6	30	108.6	13.032082468532565
6	31	281.4	9.732272345804462
6	32	82.6	8.570033559403138
6	33	72.6	7.873127067760562
6	34	88.6	12.461498895391674
6	35	67.7	6.461307034419198
6	36	47.3	5.350984613160811
6	37	13.9	10.69194273654945
6	38	132.7	4.160579892996566
7	1	682.3	12.538290116219043
7	2	1191.8	18.775485749845615
7	3	431.1	17.96675192698288
7	4	883.4	14.411866807166254
7	5	379.6	16.516381827988447
7	6	646.4	8.902587191479581
7	8	1.0	10.018279591791277
7	9	63.3	7.437360474961346
7	10	74.6	9.451410251796936
7	11	1.0	10.057776967108213
7	12	35.8	13.369247056228051
7	13	33.9	13.667854463483584
7	14	1.0	20.051781554773395
7	15	172.3	19.79676405734464
7	16	12.7	17.365678398820982
7	17	72.4	15.919094604118166
7	18	111.0	16.696325472404787
7	19	69.6	18.578982262608115
7	20	352.2	18.92956407263667
7	21	107.4	14.234544737663585
7	22	93.1	10.04735406417717
7	23	25.8	9.746001212736155
7	24	26.8	14.781716440332684
7	25	478.0	13.320683990677646
7	26	29.3	10.518359502045532
7	27	16.0	10.146613177225749
7	28	61.6	9.848371905361242
7	29	101.9	6.906095325582275
7	30	139.8	12.098772904325429
7	31	295.2	8.798962781597321
7	32	86.4	7.29912550886477
7	33	73.4	6.602184731961358
7	34	92.4	12.22767760252763
7	35	72.4	6.227462560996116
7	36	55.6	4.586522320447772
7	37	9.7	13.427603062494534
7	38	156.9	6.896240218941649
8	1	44.3	14.188783340829449
8	2	95.3	20.75240989072108
8	3	1.3	20.62208962167418
8	4	28.1	17.067204501857557
8	5	26.6	14.592572986105978
8	6	33.8	6.064637417433308
8	7	35.8	8.166892004473572
8	9	13.8	8.581373656485589
8	10	1.5	11.101903476407346
8	11	1.0	11.70827019171862
8	12	1.5	15.019740280838457
8	13	7.0	15.318347688093988
8	14	1.0	21.702339155764165
8	15	49.8	22.113358388639398
8	16	2.0	20.021016093512287
8	17	23.0	18.574432298809473
8	18	31.5	19.35166316709612
8	19	14.4	17.766619082764336
8	20	63.1	17.0057552307542
8	21	12.8	12.310735895781116
8	22	7.8	8.123545222294702
8	23	1.0	7.822192370853687
8	24	1.8	16.432274041323456
8	25	45.8	14.971180161233587
8	26	1.3	12.168852726655938
8	27	1.6	11.797106401836157
8	28	6.9	11.498865129971652
8	29	17.4	8.556588550192682
8	30	17.1	14.754110599016723
8	31	51.6	11.454300476288626
8	32	7.4	10.256879282437094
8	33	19.3	8.252677956571766
8	34	5.1	13.273350379454282
8	35	6.3	7.273158518481815
8	36	1.3	5.730535501972015
8	37	1.0	11.503794220612065
8	38	41.8	4.9724313770591815
9	1	198.6	11.31118099537334
9	2	293.5	17.874808924868727
9	3	132.6	18.722636575925556
9	4	201.4	15.16775145610893
9	5	75.9	17.0709213588614
9	6	157.6	7.752228401885267
9	7	99.3	6.746663919555688
9	8	1.0	8.581187968811626
9	10	49.8	8.224301130951236
9	11	1.0	8.83066784626251
9	12	7.8	12.142137935382351
9	13	3.1	12.44074534263788
9	14	1.0	18.824736810308064
9	15	1.0	19.235756043183276
9	16	3.8	18.121563047763658
9	17	21.6	16.13276459866508
9	18	38.8	17.92444565641951
9	19	17.3	19.20815889970099
9	20	97.1	19.484103603509638
9	21	58.4	14.789084268536541
9	22	51.4	10.601893595050132
9	23	26.3	10.300540743609114
9	24	21.1	13.55467169586736
9	25	236.4	12.09357781577748
9	26	26.3	9.29125038119983
9	27	7.6	8.919504056380047
9	28	23.8	8.62126278451554
9	29	42.6	5.678986204736573
9	30	63.0	13.326989345289357
9	31	59.1	10.027116158043933
9	32	43.8	7.37927693698099
9	33	8.5	5.375075611115656
9	34	41.4	12.857207075478547
9	35	31.3	6.857015214506071
9	36	43.1	3.1494306974681203
9	37	7.1	13.98214259336749
9	38	44.1	7.4507797498146005
10	1	12.3	8.784280547304512
10	2	21.1	15.347908476799915
10	3	9.5	16.195736127856726
10	4	13.1	12.6408510080401
10	5	5.8	19.50666932198018
10	6	11.1	10.187909584335488
10	7	5.8	9.182411876292594
10	8	1.0	11.016935925548525
10	9	1.0	8.137294296943946
10	11	1.0	6.303767398193683
10	12	1.8	9.615237487313522
10	13	1.0	9.913844894569054
10	14	1.0	16.297836362239234
10	15	1.0	16.708855595114446
10	16	1.0	15.594662599694812
10	17	1.0	13.605864150596249
10	18	2.5	15.397578400782596
10	19	1.8	18.70541983713941
10	20	1.0	21.919851560246514
10	21	4.6	17.224832225273435
10	22	3.0	13.037641551787024
10	23	1.0	12.736288700346007
10	24	2.0	11.027771247798526
10	25	12.5	9.566677367708651
10	26	2.3	6.764349933131002
10	27	1.8	6.392603608311219
10	28	2.8	6.094362336446714
10	29	2.0	3.152085756667744
10	30	4.0	10.80002583270321
10	31	3.3	7.5002157099751035
10	32	3.3	4.852376488912161
10	33	1.0	3.1507324493948206
10	34	2.0	14.799554978245569
10	35	2.5	8.82207965049183
10	36	2.3	5.286660329985484
10	37	1.3	16.417893904806068
10	38	3.8	9.886531061253187
11	1	35.8	8.480542626032667
11	2	58.8	15.044170555528014
11	3	22.8	15.89199820658488
11	4	45.8	12.337113086768257
11	5	12.0	20.11446584259609
11	6	14.8	10.795702756631597
11	7	21.1	9.7902050485887
11	8	1.0	11.624729097844627
11	9	1.0	8.74508746924005
11	10	17.8	6.306635290177303
11	12	2.0	9.311499566041675
11	13	5.5	9.610106973297208
11	14	1.0	15.994098440967392
11	15	12.0	16.405117673842632
11	16	1.0	15.290924678422968
11	17	11.0	13.302126229324408
11	18	1.0	15.70399446294902
11	19	9.0	18.83018300158609
11	20	25.3	22.527648087244323
11	21	8.5	17.832628752271233
11	22	4.0	13.645438078784808
11	23	1.0	13.344085227343793
11	24	4.8	10.724033326526694
11	25	51.5	9.262939446436807
11	26	8.8	6.4606120118591575
11	27	1.8	6.088865687039375
11	28	11.8	5.79062441517487
11	29	18.0	3.1536687390589915
11	30	11.8	11.106441894869654
11	31	25.1	7.806631772141542
11	32	5.5	5.158792551078599
11	33	1.0	3.4571485115612584
11	34	16.3	15.105957779546154
11	35	3.3	9.429872822787935
11	36	4.6	5.894453502281587
11	37	1.5	17.02568707710217
11	38	7.8	10.494324233549296
12	1	35.2	8.033827277190953
12	2	61.4	12.126992294053244
12	3	19.8	13.075176566784318
12	4	44.7	14.059939066209996
12	5	15.9	22.009579685678368
12	6	23.2	13.751213267943982
12	7	17.3	12.745715559901079
12	8	1.0	14.580239609157005
12	9	2.6	11.700597980552429
12	10	7.1	9.26214580148968
12	11	1.0	8.955539988234216
12	13	5.3	6.29867097175362
12	14	1.0	12.682662439423819
12	15	17.1	13.093681672299034
12	16	1.8	12.071815060145813
12	17	7.1	15.739661958389231
12	18	12.8	18.163101233739663
12	19	6.9	20.722543960982676
12	20	32.0	25.483158598556688
12	21	11.4	20.788139263583602
12	22	5.7	16.600948590097186
12	23	1.0	16.29959573865617
12	24	1.5	7.412597324983106
12	25	59.2	5.951503444893217
12	26	3.3	3.1491760103155686
12	27	1.8	8.526401416104196
12	28	8.0	8.228160144239691
12	29	12.3	6.109179250371369
12	30	11.1	14.061952406182016
