ODtype	Origin	Destination	Demand	Cost
Regular	1	2	1365.9	12.905956628691062
Regular	1	3	407.4	15.04782666044258
Regular	1	4	861.4	17.10599071506184
Regular	1	5	354.4	19.852349636290256
Regular	1	6	545.1	12.134293753907189
Regular	1	7	431.5	11.169052179112958
Regular	1	8	1.0	12.949788025504665
Regular	1	9	56.8	10.069134180452973
Regular	1	10	75.3	7.440357973864578
Regular	1	11	1.0	7.127672177125337
Regular	1	12	37.9	8.134932866566315
Regular	1	13	48.5	8.433543188876028
Regular	1	14	1.0	14.353181196880087
Regular	1	15	185.9	14.953345981863073
Regular	1	16	12.1	13.937104361371057
Regular	1	17	81.1	13.709429810514168
Regular	1	18	126.6	16.00587425555709
Regular	1	19	67.2	18.563514184098455
Regular	1	20	382.4	23.91861294710229
Regular	1	21	101.6	19.082948092346346
Regular	1	22	71.7	14.969704885548044
Regular	1	23	25.8	14.694420589226608
Regular	1	24	21.1	9.251290300444564
Regular	1	25	665.1	7.793403114191597
Regular	1	26	29.0	5.284044983098278
Regular	1	27	18.9	6.532862608695568
Regular	1	28	75.9	6.23445888123849
Regular	1	29	139.1	4.284703302813566
Regular	1	30	119.1	12.772306113605508
Regular	1	32	85.9	6.2896034701759085
Regular	1	417	295.6	8.928277118180718
Regular	1	33	74.3	4.592953475849474
Regular	1	34	96.4	16.619397634397387
Regular	1	35	53.6	10.619097897552024
Regular	1	36	37.9	7.218894069913132
Regular	1	37	13.7	18.325593315459734
Regular	1	38	107.7	11.797686267037934
Regular	2	1	1171.2	10.445106059311454
Regular	2	3	608.1	11.077895524422754
Regular	2	4	1271.4	14.928018512460705
Regular	2	5	542.3	23.250420850695292
Regular	2	6	808.4	17.19580089598937
Regular	2	7	629.1	16.23378792514664
Regular	2	8	1.0	18.198580519730417
Regular	2	9	74.9	15.317926674678706
Regular	2	10	87.3	12.68915046809035
Regular	2	11	1.0	12.376464671351085
Regular	2	12	48.1	11.14284423039015
Regular	2	13	63.9	10.844736225364455
Regular	2	14	1.0	10.100525861646178
Regular	2	15	566.3	11.886586976580421
Regular	2	16	22.0	12.72758681207278
Regular	2	17	107.5	17.107501024919195
Regular	2	18	213.9	19.403927721663305
Regular	2	19	101.1	21.9615096983262
Regular	2	20	511.1	27.315559303321784
Regular	2	21	156.8	24.10681249316192
Regular	2	22	105.2	20.103701499586847
Regular	2	23	39.0	19.943213083452363
Regular	2	24	47.6	8.041772751146283
Regular	2	25	942.1	6.583885564893315
Regular	2	26	51.8	7.993739262151667
Regular	2	27	27.7	9.9309338231006
Regular	2	28	111.9	9.632530095643524
Regular	2	29	194.1	9.53349579703933
Regular	2	30	194.8	16.170377328010538
Regular	2	32	95.1	11.53839596440168
Regular	2	417	329.9	12.937314457521374
Regular	2	33	79.1	9.841745970075236
Regular	2	34	134.9	20.169944402967136
Regular	2	35	81.3	15.867890391777754
Regular	2	36	55.1	12.467686564138914
Regular	2	37	19.6	22.430767650030475
Regular	2	38	166.9	16.80629964594945
Regular	3	1	721.1	15.036805501152262
Regular	3	2	1237.9	13.682755390479008
Regular	3	4	1107.9	9.095196312854373
Regular	3	5	386.6	17.41587256112063
Regular	3	6	582.8	21.63154110503288
Regular	3	7	457.9	20.603368494136937
