source 	 destination 	 fft 	 flow 	 cost(min)
285	286	0.579924242	1725.4328991653397	0.5808309757507942
307	306	0.5	1632.4914313737856	0.5006264549797098
278	100	0.5	0.0	0.5
254	255	2.0	407.0999999999998	2.00000969059905
152	151	0.621643949	4436.200000000001	0.6350823455967742
245	244	1.046881454	6769.699999999998	1.0971500112344283
316	317	0.859848485	1015.5352769234737	0.8600098161416201
338	337	2.0	102.09999999999997	2.0000000383397416
409	410	0.220075758	1040.1999999999998	0.22012121029574844
273	292	2.0	166.70000000000005	2.000000272451131
121	120	0.545229244	6372.680316499055	0.5954206019788825
302	27	0.149068323	5421.831435237094	0.14983494007698125
354	370	2.0	648.8651477464829	2.0000625408826433
90	89	0.272614622	5309.152068304455	0.28470419825283183
388	405	2.0	185.0	2.000000413269285
378	379	2.0	540.2999999999992	2.0000300667222426
303	42	1.0	0.0	1.0
408	211	0.5	1867.80803772923	0.5869561299405675
25	269	0.149068323	5571.031823911182	0.14992287206164137
317	311	0.720075758	1242.1352769234736	0.7203781497888088
273	26	0.149068323	525.2000000000002	0.14906839049837448
29	308	0.149068323	7365.047931695555	0.15167866105380604
183	182	0.392606361	4514.767100834643	0.4017109430013367
343	329	1.0	1089.0183298705354	1.0002481172610873
407	53	1.059848485	0.0	1.059848485
324	129	0.5	397.19999999999993	0.5001778312995704
400	399	0.5	7125.700000000012	0.7274030894116279
266	24	0.149068323	5011.459037807226	0.1496278888269355
313	314	0.779924242	0.0	0.779924242
217	216	0.588806278	713.1	0.5888097589308745
180	179	1.908302354	1448.8880724084183	1.9087717591047824
338	10	1.0	777.7000000000003	1.0000645304384006
248	247	0.392606361	4877.502098549373	0.39768641598213156
281	267	1.640151515	2215.1000000000004	1.6471173556856042
109	289	0.5	0.0	0.5
211	210	0.774266832	6683.908037729229	0.8605197491761662
257	258	2.0	125.20000000000003	2.0000000866889076
58	145	0.333333333	4669.299999999999	0.33695582202354835
32	332	0.149068323	3698.5367408517345	0.14923432533369674
259	267	1.920075758	32.2	1.9200757583641315
231	56	0.333333333	2540.8000000000006	0.3336509340204426
350	126	0.5	840.7037115723683	0.503568971681722
54	230	0.333333333	0.0	0.333333333
177	360	0.5	0.0	0.5
406	38	0.149068323	4103.500785294754	0.1493198661689099
87	86	1.090458488	9662.499999999993	1.6210110772685768
84	83	0.229037588	3810.2133846332426	0.2317320075935483
286	302	0.420075758	1725.4328991653397	0.4207325625273559
290	94	0.5	2240.1754674568842	0.6799282643143365
258	68	0.5	55.300000000000026	0.5000000668146608
124	123	0.8614209	6235.380316499055	0.9341031676419027
350	351	0.859848485	142.79628842763213	0.8598485480675309
239	238	0.229037588	4261.800000000002	0.230765017146194
284	106	0.5	0.0	0.5
344	343	2.0	919.2999999999954	2.000251985328835
214	7	1.090458488	4983.599999999986	1.1058366016885113
270	269	1.0	5530.800000000001	1.165069956353054
282	281	0.579924242	2215.1000000000004	0.5823872216958069
208	207	0.283560512	4868.900000000001	0.2924551943836666
330	319	0.859848485	1725.8520683044535	0.8611941979123734
384	385	2.0	43.1	2.0000000012174617
341	342	1.0	1174.4999999999995	1.0003356821933593
403	404	1.0	1129.5000000000023	1.0002871184896556
372	373	2.0	966.6505563488075	2.000308052144422
65	64	0.349029327	6268.06472307653	0.37910096483097055
251	250	0.054522924	2352.2999999999997	0.05456108952089005
396	215	0.5	2923.691791079887	1.0220325659560237
96	95	1.243081371	2040.7999999999995	1.2442849167783159
303	43	1.540151515	0.0	1.540151515
387	371	2.0	177.2	2.000000347857271
303	289	1.220075758	887.1999999999999	1.2202091068118466
256	266	1.920075758	199.19999999999982	1.9200762913249736
99	283	0.5	1328.6056852693052	0.5222615638112815
45	340	1.0	0.0	1.0
93	92	0.349029327	2364.208366622232	0.3496379749909583
322	18	1.0	1692.599999999995	1.0014478833232208
50	373	1.0	0.0	1.0
273	272	0.279924242	4036.000000000002	0.2930269589972638
236	235	0.119991739	8547.700000000003	0.13463607395465949
212	408	0.5	1760.4999999999995	0.5686302151869003
316	315	1.0	28.610420216504636	1.0000000001181988
242	241	0.621643949	4576.700000000003	0.6278794695434803
157	349	0.5	457.59999999999997	0.5003132674746587
381	382	0.5	314.5000000000001	0.5000008629165992
285	284	0.279924242	2215.1000000000004	0.281113100258507
36	394	0.149068323	5122.05307567913	0.14967894260210982
77	141	0.333333333	1761.613384633242	0.3335125100672012
205	204	0.272614622	4868.900000000001	0.28116595539522715
277	228	0.5	0.0	0.5
45	341	1.0	0.0	1.0
347	245	0.5	1784.8999999999999	0.5725148246537877
276	296	2.0	648.3000000000001	2.0000623232800248
40	268	1.320075758	0.0	1.320075758
380	19	1.0	415.1719999999998	1.000005241172389
9	379	1.0	1144.1244524834167	1.0003022799139565
405	414	2.0	324.4	2.000003907235585
274	41	1.0	0.0	1.0
6	213	1.090458488	6576.6	1.1370960748889005
291	110	0.5	0.0	0.5
99	98	0.272614622	2040.7999999999995	0.27287856624779394
34	385	0.149068323	2646.439683500945	0.1491118383464044
257	14	1.0	36.99999999999998	1.0000000003306155
103	59	0.333333333	0.0	0.333333333
378	51	1.0	0.0	1.0
93	195	0.333333333	0.0	0.333333333
375	376	0.720075758	760.8784023854391	0.7201183330765147
279	278	0.5	0.0	0.5
202	201	0.817843866	3500.7999999999997	0.8247003406605742
359	360	0.5	2219.4999999999873	0.5021404585470938
378	361	2.0	4684.600000000005	2.1699167809009197
328	329	1.0	353.88167012946434	1.0000027666135058
109	108	0.272614622	2368.6866153667584	0.2730936278786489
288	287	0.720075758	887.1999999999999	0.7201544590528971
140	139	0.272614622	5925.119069902555	0.29136883086268917
402	37	0.149068323	6027.619683500953	0.15023937940563348
195	194	0.741429162	9080.63527692347	1.0228108739357231
226	225	0.937835605	1704.9367408517344	0.9380167728027554
52	402	1.0	0.0	1.0
47	333	0.940151515	0.0	0.940151515
414	405	2.0	375.1000000000001	2.0000069844863355
203	359	0.5	1765.6784023854395	0.5694412711491786
297	298	0.5	425.20000000000016	0.5000028830969555
402	385	2.0	343.5000000000001	2.0000049119414456
171	170	0.065468815	2343.8724596542716	0.0655791038626273
20	397	1.0	503.59999999999997	1.000011346426534
304	305	0.920075758	5199.982718246794	1.0387475250251583
223	222	0.425237505	0.0	0.425237505
116	294	0.5	2329.3999999999937	0.7103524271662858
133	132	0.468814539	7711.9114953232465	0.5613717995609219
363	358	1.720075758	140.37215396336953	1.7200758758114907
78	77	0.272614622	4493.013384633243	0.27881561539492083
256	78	0.5	2226.1000000000004	0.6754486058439063
168	167	0.272614622	5350.300000000005	0.2850833731246808
370	386	2.0	0.0	2.0
393	394	0.140151515	3492.5000000000045	0.14382992111277504
292	305	1.859848485	166.70000000000005	1.8598487383589117
356	357	2.0	1145.4494436511784	2.0006073652185514
174	173	0.229037588	3690.6806685743704	0.23140947456416414
294	295	0.279924242	3320.59999999999	0.28592799732579033
387	388	2.0	793.6999999999999	2.0001400140882377
406	389	2.0	1441.4999999999995	2.0015233679080953
263	264	2.0	248.99999999999963	2.000001356262031
137	136	0.632383313	4472.2445634574315	0.6465036107297485
81	80	0.272614622	2796.513384633243	0.27354525410007535
130	129	0.272614622	5916.580316499056	0.2912609567549449
291	290	0.5	217.30000000000013	0.5000001966641183
330	339	0.640151515	0.0	0.640151515
307	308	0.5	6254.274401445091	0.634956544786444
161	160	0.272614622	2940.2	0.27375177241015203
267	281	1.640151515	396.8272138960354	1.6401586897369107
18	348	1.0	983.5000000000005	1.0001650492962095
167	166	1.090458488	6522.200000000003	1.2005989411736255
127	126	0.272614622	6313.7803164990555	0.2967952895827655
30	341	0.149068323	2482.73117882419	0.14910202946729187
333	321	0.720075758	0.0	0.720075758
79	256	0.5	567.3	0.5007399840813751
