iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	0.21572296144945113	5.66139987669316E-4	0.5034015655356967	0.005596902671702102	1.0570920004639035	0.01991926806430445	1.8820317945044316	0.059498251673422785
1	1.573159483713141	0.011086384005715367	0.4169461920766544	0.0018270501232754807	0.26187164725181233	0.002258537406698683	1.6894149374720548	0.011772514312053872
2	0.47314179226624375	0.0031455139238848397	0.16731641008503928	9.197901438034674E-4	0.012484887805163325	6.669630948808047E-4	0.6990281752033489	0.01127591490732868
3	0.2924692817926555	0.00303664287124379	0.054555303610641204	2.875727535299702E-4	0.006123235493813439	4.1551413155479036E-4	0.4021032218680247	0.007594845258713333
4	0.09068730776350264	0.0010628243628176993	0.02389884294841771	1.6930832377557657E-4	0.00368939241599886	2.3644959286958672E-4	0.5496770457668774	0.006715906513792676
5	0.19271105435613656	0.0016101612957167585	0.02646211794531972	1.3824753465937345E-4	0.0015785247211006492	1.0264233638931867E-4	0.32563376529596866	0.006948371921292319
6	0.03445796629255682	7.040353288590534E-4	0.08963054507894874	3.040597522849295E-4	9.350479994836292E-4	8.387970947256739E-5	0.39454223238248787	0.00471883439921854
7	0.02791945055518852	2.504050956619497E-4	0.011158743890138823	8.02270407066614E-5	9.743126877133079E-4	8.542760735337307E-5	0.3210031797810018	0.004282530323216742
8	0.017387854490763743	2.9633005875013413E-4	0.008491528583716601	9.847387982251597E-5	9.797478330266784E-4	9.709746879571786E-5	0.274463760026574	0.0036870487295349867
9	0.015185130969651794	1.1946050489283784E-4	0.002125178264634542	3.027607069511584E-5	9.885420824886637E-4	7.626221311412502E-5	0.24259263179650503	0.0030317535892335477
10	0.011781026102408276	1.734881232935903E-4	0.0013184907709948845	2.6874345050790756E-5	9.733746089644058E-4	9.63292949096081E-5	0.22193312417968514	0.003307829834659162
11	0.001587829711539257	7.617886247780233E-5	9.968568113607468E-4	2.3814303954944953E-5	9.350479994836292E-4	8.600396423552238E-5	0.2021183440726304	0.0035305127043249126
12	0.006197088851727983	8.552975441463623E-5	9.989179430611728E-4	2.5815297703298925E-5	9.980812176060283E-4	9.370413365361152E-5	0.1980931135855819	0.003992426261408733
13	0.0038917821843149625	1.00348789286284E-4	9.877161910072374E-4	2.3539428790754117E-5	9.98561064463388E-4	8.374500541526863E-5	0.17087708053588635	0.004098584250032962
14	0.006238755871567747	1.0232868505240349E-4	9.89385876808413E-4	2.7687093283772817E-5	9.700567266026638E-4	9.540435377468316E-5	0.13176948270946198	0.003808576405223034
15	0.004083247525812794	9.574377585284709E-5	0.0032346050081422106	4.620956318637713E-5	9.383202962141013E-4	6.0510930884666003E-5	0.17674887584271204	0.005972581698179167
16	0.006572583318803282	8.606171509893795E-5	9.963047464438546E-4	2.4730843221127327E-5	9.949651947209759E-4	7.482787349911231E-5	0.18126850668661376	0.004169831177655375
17	0.0023082710277613216	7.278183724961067E-5	0.003365305176648903	4.991790659728438E-5	9.59736663164179E-4	5.944855393051012E-5	0.23314705341325492	0.0062599118753017356
18	0.0052655484838677324	7.0313872317388E-5	9.811693581855963E-4	1.4539430052017642E-5	9.986521236093893E-4	8.354749383138799E-5	0.22240980658861886	0.004422926917590312
19	0.006041128004696361	7.502233883947734E-5	0.0043170790461264374	4.263936169523312E-5	9.790951375840962E-4	7.706936585190451E-5	0.27268470870344075	0.006287294051372572
20	0.008775619507819243	8.274821799062085E-5	9.94401795306743E-4	1.8205223004512405E-5	9.959019438685601E-4	7.214718041641145E-5	0.22940024104201484	0.004245434296840381
21	0.0046170949136836725	8.767103583985807E-5	0.008144265976635978	4.237655524343084E-5	9.541188957182811E-4	5.7890743721069176E-5	0.352654434169434	0.007111808460367089
22	0.002555996420863238	6.070303223605224E-5	9.845827174856936E-4	2.1078592577081263E-5	9.432083223295251E-4	7.482777862208877E-5	0.237311373528712	0.00443457989627515
23	0.004637606271257866	1.048397371871518E-4	0.008838038004142845	4.139976224069464E-5	9.659347908694826E-4	5.9950315238524995E-5	0.3773018348623687	0.007603452627869254
24	0.0015364771439205782	5.715850231502395E-5	9.452450781530786E-4	2.266405815983759E-5	9.98052204367994E-4	7.469105202044037E-5	0.24571425005868264	0.005586209164210114
25	0.005289623124394183	1.0196519682669512E-4	0.009304946685363191	4.437881389005615E-5	8.983287340278423E-4	7.330100765957596E-5	0.3753116010356372	0.007603850082240607
26	0.0016530689495191098	5.978801300374228E-5	0.001797098057508606	2.8850963955858525E-5	9.83091643146139E-4	7.808386050325455E-5	0.2516994188268651	0.006013033656323998
27	0.006563140989687355	9.525695285764798E-5	0.009572576796893273	4.022686667101089E-5	9.71538744098055E-4	8.445327417455425E-5	0.3846546018107304	0.007004905252795161
28	0.0029589603485149496	6.729832326133895E-5	0.001941126386430625	2.7761253164929545E-5	9.298684758229925E-4	7.95080684478195E-5	0.2536276995689839	0.006081341153462884
29	0.011313943251595404	9.589833065020341E-5	0.009528563008634805	4.033828100353919E-5	8.836439140011976E-4	6.252741653224738E-5	0.41205668488319347	0.006679101606496782
30	0.0013209305454058295	6.14067923822179E-5	0.0019741026538770967	2.8394213095093233E-5	9.38062291810482E-4	8.229054670864553E-5	0.25639643093096964	0.005943794198729961
31	0.0075234703842141926	8.853172674547783E-5	0.009505436202497108	4.386889082435441E-5	9.006452077411353E-4	7.537086400817937E-5	0.3931489254190268	0.006298252102149645
32	0.0016857411935475852	6.922652622435758E-5	0.0019692391159829015	4.448784287171168E-5	0.001001725259532904	9.007685823100591E-5	0.2600329060769546	0.005725553785877761
33	0.0046910672049218505	8.005635951796907E-5	0.009559218731512331	4.0631520582095495E-5	9.039606966574354E-4	7.556473607432814E-5	0.39596602598755126	0.005755764388880416
34	0.0027357783311998674	8.939291227862756E-5	0.0018644679438839518	4.365266187436567E-5	9.564944113886753E-4	8.461162524690187E-5	0.2633462956908552	0.006811265174302859
35	0.006556428579592932	8.76351165845618E-5	0.0095240663748406	3.889798396110662E-5	9.082039032382028E-4	7.941871132964223E-5	0.39594877809689777	0.006120063025227172
36	0.0026773201022063375	8.605740127709317E-5	0.002135654604598969	4.960363035124488E-5	0.0010100625352897907	8.590930112044187E-5	0.26281787396204237	0.006112500104806045
37	0.009200063410395032	9.901112395786777E-5	0.0020889845424338915	2.3042364489753176E-5	9.091932712479434E-4	8.160876221970509E-5	0.40213356652159504	0.005626495929686972
38	0.002743448125112735	8.774727755844126E-5	0.005003602789619421	4.8338030071723605E-5	0.0010477029483668687	8.48842826756533E-5	0.2685583624480241	0.007651233312591915
39	0.0025454998096172687	7.252393445038981E-5	0.0013346677180923194	2.5978362440913844E-5	9.811775532480027E-4	6.426727139826077E-5	0.38998355366273785	0.006048194041915069
40	0.008299934959136834	1.3619172010362657E-4	0.003855524376751518	5.093020052966282E-5	9.898206538423437E-4	9.140279729078055E-5	0.3543409380058904	0.006671073247091981
41	0.002249932087622142	8.361600125146427E-5	0.001674801524748304	2.4692168403755584E-5	9.029854665563164E-4	6.796590567728633E-5	0.43379351836703606	0.006050354894565933
42	0.0026314192718661644	8.94383827576124E-5	0.0019660669389445218	5.743538474756248E-5	9.833126294349626E-4	8.727379362887978E-5	0.3785375181002735	0.007435003203055879
43	0.0032400082748171855	7.348666126650497E-5	0.0014473530495315856	2.6213258904837563E-5	9.409792007311069E-4	8.240523658537856E-5	0.4406308787837929	0.007244460218858445
44	0.0023501312293454646	7.965780043474309E-5	0.0015118843199743992	5.7157215045075485E-5	9.952118519631625E-4	1.009388433461408E-4	0.2913712407330955	0.006736998134659119
45	0.00189847891792283	7.23866181651618E-5	0.001656157313190576	2.404673264422607E-5	9.691988576188137E-4	8.32613837644429E-5	0.4352449012915045	0.006732371019298357
46	0.002811838498935515	7.899583143442102E-5	0.0015319768326449434	5.9088459147444824E-5	9.77733249602153E-4	8.719807284307984E-5	0.2899575329681916	0.0056409070058591575
47	0.0026267505165762373	7.778233822283251E-5	0.0014033811361624515	2.6439173287858633E-5	9.693947990978558E-4	8.102176181364175E-5	0.4330908372106954	0.0066646781349990036
48	0.0014658905827609203	7.013859499532891E-5	0.002116427364109441	6.271436184639688E-5	0.0010045935569200637	8.40629189891368E-5	0.3811598016885611	0.006674276054350532
49	0.004571710503498139	7.896728727611893E-5	0.0014005183521632603	2.658848490988388E-5	8.961913645659791E-4	7.306730119231925E-5	0.4364036922279979	0.005610150070271441
50	0.0024930814024450854	8.040480592992602E-5	0.001959908842957603	5.856633477341794E-5	9.674951636098328E-4	8.904774886294655E-5	0.38128678475473166	0.007103812625812092
51	0.00206232786658056	7.771383085632456E-5	0.0016556626787771478	2.1388339611531587E-5	9.871840330291093E-4	7.563008710681389E-5	0.4334001296913961	0.0054725985525452174
52	0.002030118573754791	7.84988365426149E-5	0.0019166091153213216	5.823586695883735E-5	9.935080167613464E-4	8.915923900222965E-5	0.37986958193733855	0.007003840826877953
53	0.0030131188869546577	7.248744551046742E-5	0.0013154907881585132	2.165063008782911E-5	8.992346823966102E-4	7.241311220406201E-5	0.4253368705734637	0.004842148508194421
