iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	3.184487937009095E-4	0.0018788028478622376	0.0029423553840980388	0.04327292250474302
1	0.0038874079639587	0.0014358572878900855	2.958418219035641E-4	0.027388889737913535
2	9.479264817164879E-4	5.567284237028014E-4	6.716238905779548E-5	0.025740193765576902
3	5.343981513959983E-4	5.7375803235948375E-5	3.066374878213374E-5	0.024524018646381873
4	2.4226272229932455E-4	1.0338671777609942E-4	1.8373183000908178E-5	0.0244889096544203
5	5.173591197059624E-4	1.8620226625465364E-5	7.623469235662483E-6	0.024202232450994177
6	7.961037211434707E-5	1.4072435518652782E-5	6.137944605688617E-6	0.024127012434411843
7	2.9635118331095E-5	8.829003647625733E-6	6.75101018476898E-6	0.024084241281840946
8	2.4018388513513678E-5	1.8244288008895104E-5	5.712841682492531E-6	0.024081754352573204
9	1.0162863775087239E-5	3.704251144376336E-6	3.878191313311241E-6	0.02407608186166832
10	1.6571676627052945E-5	4.201672360371056E-6	5.5343273360763945E-6	0.02407300841567983
11	5.26061761008112E-6	2.9984948688444035E-6	3.7514634331214936E-6	0.024093448913008242
12	5.274265590493599E-6	2.9122959548377736E-6	5.503121370264985E-6	0.02412928796367031
13	1.0736107715070276E-5	3.045244341581821E-6	4.505312672820061E-6	0.024194249907672827
14	7.101797361630524E-6	2.7867635786771316E-6	6.368195183625858E-6	0.02423639433271796
15	6.312360185001253E-6	4.052226941109183E-6	3.97291247267173E-6	0.024326760874717412
16	8.014856332061449E-6	2.6513024308227884E-6	6.372461555215203E-6	0.02437232863703287
17	5.4474060201537E-6	3.1160258506801597E-6	4.309159870929946E-6	0.024444809849427984
18	5.9039286054440865E-6	2.4363496916590677E-6	6.581597204680101E-6	0.02447646114485813
19	5.667846545209798E-6	3.4054466270250217E-6	4.898294896915623E-6	0.024510534576320686
20	4.5294388901773175E-6	3.117857912071642E-6	5.238329440770961E-6	0.02455410264351421
21	6.833837488451344E-6	4.2207630541746255E-6	2.8921204304754866E-6	0.02454948089217157
22	5.46693847469637E-6	4.0794027303947544E-6	5.671823023689626E-6	0.02460624988317428
23	6.7845360581797465E-6	3.8433482872912705E-6	3.0690848138448246E-6	0.02458268304422795
24	4.34989199393776E-6	3.965507169967353E-6	5.458497959631714E-6	0.024667166510573768
25	7.461140383191456E-6	3.6220603505388027E-6	3.5594266124538976E-6	0.02461720666559941
26	4.9011987806046875E-6	4.320896052290024E-6	5.468226394245157E-6	0.024708437639633596
27	8.767732535219785E-6	3.244621580189566E-6	3.840117171693969E-6	0.024634455305718173
28	5.862986165117157E-6	4.658806796342674E-6	5.443464028309641E-6	0.024723958373821353
29	7.608331180075645E-6	2.818452793151849E-6	3.1548816451509865E-6	0.02463718812005311
30	4.319780442907373E-6	4.2542181734051E-6	5.0076215958316794E-6	0.02473829405029815
31	6.303732458357025E-6	2.8352962587741004E-6	3.3150323054398356E-6	0.024626855706867845
32	6.314054634026789E-6	6.414118435049687E-6	5.594355168891951E-6	0.024749686334051058
33	5.4527736386145165E-6	2.6459881803386764E-6	3.3597010261621207E-6	0.024638632055235088
34	5.9753654890748464E-6	6.677150781064789E-6	5.770528589632562E-6	0.024760684647052722
35	6.494928545319745E-6	2.259731333054127E-6	3.391591127055449E-6	0.024638735479756924
36	4.1155922151370206E-6	7.428708106438364E-6	5.9310588230720995E-6	0.02475817423621718
37	7.210381676503452E-6	1.9828661235177236E-6	3.469850348714054E-6	0.02465093638490168
38	5.784102455996809E-6	1.2906456993588833E-5	5.586502232035606E-6	0.02478111477610989
39	6.943149590155073E-6	1.7181746240213513E-6	3.7092489511003635E-6	0.024607880393496373
40	6.136972285908371E-6	1.0634466524162E-5	6.2205936398607165E-6	0.024731840089793677
41	8.372195474892763E-6	1.7289620292126884E-6	3.185727222465573E-6	0.02471759033768295
42	6.04022203487542E-6	6.564953045185007E-6	5.486340923788191E-6	0.024839569879030132
43	5.742198901259599E-6	1.6453985656195158E-6	3.994993426070792E-6	0.024750493267489015
44	5.619155230229822E-6	5.9939409926546006E-6	5.559898523022078E-6	0.024858765077197198
45	6.320431754414102E-6	1.6148150298045394E-6	4.1610059925423215E-6	0.024741935774275747
46	5.445198765663406E-6	6.06466392638616E-6	5.1122052615593105E-6	0.024852087574404935
47	6.368192196126721E-6	1.6457886209408912E-6	3.969067476350396E-6	0.024735712084810846
48	4.833990178143566E-6	7.1460764082820205E-6	4.908557101002131E-6	0.024848297039430367
49	8.244814705404835E-6	1.6489476573067208E-6	3.7855717966994717E-6	0.024739497992909976
50	6.232631480029838E-6	6.631733439732557E-6	5.226894196908027E-6	0.0248505301971349
51	7.308944540262985E-6	1.623752631685349E-6	3.764295404717899E-6	0.02473301111870596
52	6.0560950644328315E-6	6.609916610278432E-6	5.191495809353519E-6	0.024843906604947175
53	7.543436382762003E-6	1.661056340696021E-6	3.7714387886023104E-6	0.024716146273393136
54	6.944685958409913E-6	6.738071151812797E-6	5.170532670129013E-6	0.024833059338550623
55	6.3725669983139E-6	2.2846391033448654E-6	3.6988871441323568E-6	0.02469816352191323
56	5.254060409631833E-6	6.45580127733858E-6	5.092612417989528E-6	0.024824369072286023
57	7.648980437258146E-6	2.3364977614903637E-6	3.7596801739647745E-6	0.02469147587082854
58	8.696413913877876E-6	6.623921704806968E-6	5.233758808453892E-6	0.024817332161159555
59	5.447608106279311E-6	1.6751603351128352E-6	3.6450880835925403E-6	0.024680205778460418
60	7.784745926886494E-6	6.340987622310834E-6	5.238033776722162E-6	0.024812331852813507
61	5.978959325414479E-6	2.2884130943534586E-6	3.557374493978749E-6	0.024673498081449696
62	6.080298969535214E-6	6.598154928538769E-6	5.257523052137891E-6	0.02481022852440018
63	7.765179777963205E-6	2.3016908771156253E-6	3.730025706083495E-6	0.024669584907225484
64	9.385268867401209E-6	6.729587623377498E-6	5.008683201856989E-6	0.024806765641095407
65	8.200265545599272E-6	2.2583741893233977E-6	3.437486470359019E-6	0.024667533917381523
66	7.441110871586609E-6	6.61180494487823E-6	5.3145373762886194E-6	0.024807259337602305
67	5.585568569888011E-6	2.286721865196739E-6	3.4951723292264703E-6	0.024669167348213228
68	6.302265805890883E-6	6.636089411204971E-6	5.220547939721598E-6	0.02480884187145982
69	6.774181535940116E-6	2.2227300709998232E-6	3.5294762807946967E-6	0.024669418644739594
70	6.5311917611943215E-6	6.462108726346116E-6	5.342155774967772E-6	0.024807346927883334
71	7.293926819751384E-6	2.2858066658359988E-6	3.5131125185605683E-6	0.02467354827720325
72	6.201171776964998E-6	6.432677304823997E-6	5.19502114049164E-6	0.024809655231555316
73	4.589961088874439E-6	2.2703028388360025E-6	3.4873960804704396E-6	0.024668665363212217
74	8.121693272356012E-6	6.548919005644471E-6	5.363974836414265E-6	0.024805999537815482
75	4.673492432161197E-6	2.208512369428206E-6	3.394354996300031E-6	0.024666895419454993
76	8.15094229411617E-6	6.4171629213793935E-6	5.063872379196255E-6	0.024804554512687704
77	4.467103713712284E-6	2.2724622164016495E-6	3.480447395731723E-6	0.024665691569669246
78	7.074107552296205E-6	6.611155851987682E-6	5.2904401650621935E-6	0.02480593255215724
79	6.331461125608229E-6	2.177037804806936E-6	3.4444720714565946E-6	0.0246690603427705
80	7.656903549313476E-6	6.749573613129556E-6	5.103957740226761E-6	0.0248073146695863
81	7.000174822135996E-6	1.7577769376719843E-6	3.427568291747285E-6	0.024669125183704455
82	6.8049481958265545E-6	6.38979557598951E-6	5.299806131509044E-6	0.02480751794434488
83	4.046277111369179E-6	1.6996969582905308E-6	3.44712505706557E-6	0.024669059163494156
84	6.806179497553799E-6	6.76043449032715E-6	5.349037352941899E-6	0.024808465110649047
85	3.895146900911861E-6	1.6292230684555875E-6	3.4541441088498104E-6	0.024668225572149205
86	7.712443771956679E-6	6.393353061517892E-6	5.30080464333782E-6	0.024807316537637347
87	6.496473020978222E-6	1.693416988857166E-6	3.3931970518930044E-6	0.024669519287491948
88	6.072875927465304E-6	6.485968478631143E-6	5.031512882669453E-6	0.02480802876876842
89	3.7641976502467145E-6	1.6767708452825048E-6	3.367159752354354E-6	0.02467031553457011
90	8.116210966857551E-6	6.468929358405262E-6	5.252855635240472E-6	0.02481272842715443
91	4.256021226556328E-6	1.717102624865241E-6	3.4094411927032553E-6	0.024680465248798966
92	6.386451643525248E-6	6.16785457774327E-6	5.3411414598913964E-6	0.024816425367874984
93	5.2309936674488355E-6	1.6249382661648326E-6	3.34224692266627E-6	0.024690963823446377
94	7.311125548192798E-6	6.113260532680798E-6	5.22358764010189E-6	0.02481904019831871
95	3.888105687743781E-6	1.6339782731300545E-6	3.5138265047640616E-6	0.02469705367902475
96	8.210080583048729E-6	6.300422019100971E-6	5.134124288264097E-6	0.02482191719793947
97	4.514168867486568E-6	1.625852382725057E-6	3.4306587914922915E-6	0.024702375680660027
98	7.47549743496112E-6	6.525184409467144E-6	5.154198239876173E-6	0.024829334330178532
99	4.8903609856099095E-6	1.617367432316108E-6	3.4780558535452144E-6	0.02471143917053309
100	6.705301566878319E-6	6.4550630195503444E-6	5.124481971652273E-6	0.024833574141609693
101	4.434820936261019E-6	1.6120029864286067E-6	3.6158802946273383E-6	0.024715047873909102
102	6.855092882007696E-6	6.3737003034303186E-6	4.881413783630606E-6	0.024837107681735526
103	6.462342112434349E-6	1.659905509376891E-6	3.5713887927002474E-6	0.024724525556428456
104	6.2058322749525274E-6	6.44957503803667E-6	5.131359624654941E-6	0.0248422768754043
105	6.496365850039432E-6	2.090255518227835E-6	3.548146378373751E-6	0.02473163284544022
106	7.397704898215451E-6	6.748192439731682E-6	5.13508166821719E-6	0.024848557869304733
107	4.461254579424256E-6	1.6420290127605597E-6	3.7606301038772827E-6	0.02473272524964043
108	7.45233718069116E-6	6.780556406127403E-6	4.751831112814742E-6	0.02484954330717437
109	7.047630186995946E-6	2.079536247756586E-6	3.535475646687658E-6	0.024738740184702013
110	6.661646417382983E-6	6.877184143605497E-6	4.90710767142577E-6	0.024851038371441314
111	4.773953416470356E-6	2.0931812749758194E-6	3.5914022834537818E-6	0.024734754110186108
112	7.470588880509332E-6	5.825735696518564E-6	4.703451704224371E-6	0.024849094990954557
113	5.155247078780789E-6	2.2457745346704527E-6	3.6926297892758697E-6	0.024731799072282956
114	5.968210332829571E-6	6.644261499211268E-6	5.0611075991247034E-6	0.024846152086838713
115	7.322036944645838E-6	2.1512428108882986E-6	3.6459403759403486E-6	0.02474225088936255
116	8.132143312855611E-6	7.090137029708288E-6	4.929162740863191E-6	0.02485035819116399
117	6.577208550795355E-6	2.1687558905414406E-6	3.6513640065960473E-6	0.024735208104659012
118	5.7374047535141415E-6	6.922072099291299E-6	5.009591215299203E-6	0.024847053752714676
119	4.4380439583324716E-6	2.2365768017618137E-6	3.6467430318820604E-6	0.024733273863833394
120	5.417323041934097E-6	6.728361249819237E-6	5.047750646580695E-6	0.024847767700646117
121	5.2926927578411664E-6	2.191943996643353E-6	3.696243616402306E-6	0.024734611651220928
122	5.291901397308507E-6	6.731712081209373E-6	4.772228916483101E-6	0.02484907847877138
123	7.514838493483111E-6	2.1294694797502345E-6	3.6382109941390794E-6	0.024743386888129715
124	6.689084498079367E-6	6.8401964786746206E-6	4.930333416308663E-6	0.024851942416239114
125	6.176551535008734E-6	2.149545780261164E-6	3.615840662218872E-6	0.024741636586610105
126	7.692184388674583E-6	6.863635155118786E-6	4.945908381182029E-6	0.024851908919079624
127	6.779286504388082E-6	2.1845948506848956E-6	3.6488818059288164E-6	0.02474053320804437
128	7.988322792362723E-6	6.429990927370177E-6	5.034990898100666E-6	0.024851904092255017
129	6.6901257848028806E-6	2.244012023200348E-6	3.7377120544190845E-6	0.024740511734272608
130	7.733105722773637E-6	6.2634525630489435E-6	5.027012785152607E-6	0.024851720662407817
131	5.8662640898266005E-6	2.2102433586690395E-6	3.8469562247955835E-6	0.02474272385701559
132	7.385674355209204E-6	6.94155753511172E-6	4.652632286994418E-6	0.024854318344172732
133	4.838043347166199E-6	2.1323719312515976E-6	3.856386824763192E-6	0.02474252196505411
134	3.6179901446997675E-6	6.814030291235618E-6	4.940560067168143E-6	0.02485186521531846
135	6.5620909170949204E-6	2.16910501926737E-6	3.819604209809313E-6	0.02474644292315964
136	6.574178498475192E-6	6.85233700725707E-6	4.694988725462146E-6	0.02485345542088313
137	6.4906884058579806E-6	2.2337477745271173E-6	3.719029984750044E-6	0.02474574962054843
138	5.612626119755326E-6	6.4169454283558025E-6	4.701211481994427E-6	0.024852641305513345
139	5.152799252949869E-6	2.215071067346308E-6	3.7551425452475584E-6	0.024741698067215268
140	4.429825096408102E-6	6.721916184559973E-6	4.731693033832585E-6	0.024852755466413967
141	5.403074878174152E-6	2.1518400695752504E-6	3.690430997793648E-6	0.024745778079836467
142	3.8259441726973265E-6	6.8063290101783025E-6	4.703103420489185E-6	0.024853632685156724
143	5.954151528930751E-6	2.1445288537202956E-6	3.764682227180849E-6	0.024744845233314217
144	7.275004258566753E-6	6.874367442954998E-6	4.699274403718867E-6	0.02485403652789553
145	4.8026770462783475E-6	2.0866018307641454E-6	3.7954621078251094E-6	0.02474423410007054
146	5.876158391537878E-6	6.913286135445951E-6	4.661550401574566E-6	0.024854128088646732
147	4.826721036521597E-6	2.181296130943089E-6	3.7523874422129566E-6	0.024744296965474644
148	5.9636486151593004E-6	6.991207977313785E-6	4.702408095025312E-6	0.024853094559868727
149	5.11304725969719E-6	2.109601515476456E-6	3.787897687290709E-6	0.02474422021403533
150	6.237006509590692E-6	6.99700623474353E-6	4.714503264002801E-6	0.02485517219849631
