source 	 dest 	 fft 	 coef 	 power 	 capacity
1798	1797	0.94	0.15	4.0	400.0
5891	5885	0.125	0.15	4.0	1950.0
1000162	4618	0.6000006	0.15	4.0	100000.0
1186	1188	1.994999003	0.15	4.0	350.0
4690	4694	0.337500211	0.15	4.0	500.0
1741	2000087	0.76	0.15	4.0	100000.0
4895	2001011	1.43999928	0.15	4.0	100000.0
7292	7298	0.2	0.15	4.0	2850.0
4158	2000298	0.983999213	0.15	4.0	100000.0
6897	6892	0.326086815	0.15	4.0	1050.0
3645	3646	0.7448281	0.15	4.0	1000.0
3579	6678	0.7	0.15	4.0	550.0
5827	5837	0.676596033	0.15	4.0	1150.0
5374	7331	0.720000411	0.15	4.0	1850.0
4638	7098	0.766666667	0.15	4.0	1850.0
4000	1160	0.36	0.15	4.0	550.0
4283	4282	0.290909091	0.15	4.0	1950.0
1000990	5628	2.054998973	0.15	4.0	100000.0
3464	3462	0.483333333	0.15	4.0	1850.0
4635	4795	0.683333333	0.15	4.0	1850.0
5967	5965	0.205714403	0.15	4.0	2775.0
4933	6228	1.716666667	0.15	4.0	1850.0
4471	4387	0.490909091	0.15	4.0	1900.0
6738	6741	1.050000656	0.15	4.0	500.0
3631	2000327	1.11000111	0.15	4.0	100000.0
3696	3695	0.212903088	0.15	4.0	1750.0
5834	5825	0.306383109	0.15	4.0	1150.0
1000418	2877	0.431999654	0.15	4.0	100000.0
4288	3515	0.248276033	0.15	4.0	1750.0
1217	6638	0.404999798	0.15	4.0	350.0
3669	3679	0.329032046	0.15	4.0	1750.0
3746	2000316	0.75000075	0.15	4.0	100000.0
4495	6688	2.93999853	0.15	4.0	350.0
5738	5659	1.2	0.15	4.0	1850.0
4848	1135	0.566666667	0.15	4.0	1850.0
5241	5234	0.4	0.15	4.0	1850.0
3658	3877	0.174193436	0.15	4.0	875.0
4439	4442	0.095999923	0.15	4.0	450.0
5453	5940	0.090909091	0.15	4.0	825.0
7209	4813	1.364999318	0.15	4.0	350.0
5697	2000982	1.07999946	0.15	4.0	100000.0
1000001	6626	0.62	0.15	4.0	100000.0
6324	2822	0.083333333	0.15	4.0	1850.0
1000233	4014	1.2000012	0.15	4.0	100000.0
5466	2001030	1.349999325	0.15	4.0	100000.0
6728	6727	1.094999453	0.15	4.0	350.0
4767	4670	0.133333333	0.15	4.0	1850.0
1138	4534	0.418181818	0.15	4.0	825.0
5762	5761	1.331250832	0.15	4.0	500.0
6203	6202	0.464999768	0.15	4.0	2700.0
4371	4459	0.43125027	0.15	4.0	2000.0
2825	2000224	1.1	0.15	4.0	100000.0
3383	3382	0.48	0.15	4.0	1100.0
2790	2789	0.436363636	0.15	4.0	1950.0
