source 	 dest 	 fft 	 coef 	 power 	 capacity
6014	6012	88.96548655	0.15	4	2900
3043	3285	19.7561072	0.15	4	8850
3284	3290	27.07318395	0.15	4	8850
2662	2658	50.62503165	0.15	4	500
3047	3132	24.1935328	0.15	4	2625
6573	2872	33.63636365	0.15	4	1650
2658	2662	50.62503165	0.15	4	500
3281	3282	35.45454545	0.15	4	1950
3409	3401	12.5	0.15	4	2775
3245	3022	18.1818182	0.15	4	2850
3134	3127	13.63636365	0.15	4	1900
3145	2752	12.85714285	0.15	4	7650
3022	3245	18.1818182	0.15	4	2850
6505	4483	88.08514385	0.15	4	1150
2230	7346	150.8333334	0.15	4	1850
6011	6013	87.93100415	0.15	4	2900
3127	3134	13.63636365	0.15	4	1900
3144	3142	11.4893666	0.15	4	7200
3289	3286	16.36363635	0.15	4	1950
2872	6573	33.63636365	0.15	4	1650
7346	2230	150.8333334	0.15	4	1850
6195	6193	11.42857145	0.15	4	2450
3415	3416	15.42858025	0.15	4	1850
6194	6196	11.42857145	0.15	4	2450
3420	6996	11.66666665	0.15	4	1850
3132	3047	24.1935328	0.15	4	2625
4483	6505	88.08514385	0.15	4	1150
