source 	 dest 	 fft 	 coef 	 power 	 capacity
6409	1586	0.806250504	0.15	4.0	500.0
1714	2433	0.942857682	0.15	4.0	1850.0
1265	1289	0.072727273	0.15	4.0	1900.0
1354	1360	2.51999874	0.15	4.0	350.0
2480	1776	0.131250082	0.15	4.0	2000.0
6782	2239	0.05999997	0.15	4.0	350.0
6967	7332	5.684997158	0.15	4.0	350.0
1968	1970	0.169565144	0.15	4.0	1050.0
3451	7255	0.766666667	0.15	4.0	2775.0
3028	3031	0.124138017	0.15	4.0	1750.0
6812	1840	0.689999655	0.15	4.0	200.0
7395	1974	1.904999048	0.15	4.0	200.0
2993	2997	0.551999558	0.15	4.0	400.0
6948	2592	0.309090909	0.15	4.0	2000.0
6041	6042	0.254999873	0.15	4.0	350.0
1317	1316	1.965958283	0.15	4.0	575.0
2134	2146	1.13999943	0.15	4.0	350.0
7392	1284	0.036363636	0.15	4.0	1900.0
6506	2768	1.763636364	0.15	4.0	825.0
2632	2631	0.685714286	0.15	4.0	2450.0
3078	3069	0.145454545	0.15	4.0	1900.0
3000	2000472	0.719999424	0.15	4.0	100000.0
1277	1278	0.224999719	0.15	4.0	450.0
3194	3183	1.89000189	0.15	4.0	400.0
2587	6948	0.054545455	0.15	4.0	2000.0
7005	6513	0.054545455	0.15	4.0	825.0
6426	1783	0.056250035	0.15	4.0	500.0
6751	6399	0.672727273	0.15	4.0	825.0
1271	2000771	0.569999715	0.15	4.0	100000.0
1723	2000513	1.079999136	0.15	4.0	100000.0
2490	2505	0.154285802	0.15	4.0	2775.0
1522	2000916	0.86	0.15	4.0	100000.0
1000534	2739	1.38	0.15	4.0	100000.0
2028	2006	0.53999973	0.15	4.0	200.0
1268	1922	0.563636364	0.15	4.0	1950.0
2318	2399	0.983333333	0.15	4.0	1850.0
3209	3174	0.272727273	0.15	4.0	1950.0
2296	2311	0.525000328	0.15	4.0	500.0
2920	2000541	1.8	0.15	4.0	100000.0
1500	1543	0.541935134	0.15	4.0	450.0
1000746	1391	2.084998958	0.15	4.0	100000.0
1965	1967	0.395744849	0.15	4.0	575.0
1722	1758	0.42	0.15	4.0	550.0
3115	3119	0.254545455	0.15	4.0	1900.0
3155	3008	1.282759505	0.15	4.0	1000.0
2368	2000084	0.52	0.15	4.0	100000.0
1321	1307	2.864998568	0.15	4.0	350.0
2589	2482	0.226666667	0.15	4.0	7575.0
1302	1410	0.7	0.15	4.0	650.0
2221	2000052	1.004999498	0.15	4.0	100000.0
1602	1614	0.191489443	0.15	4.0	575.0
1358	1357	0.704999648	0.15	4.0	200.0
1000578	2125	1.66	0.15	4.0	100000.0
3131	3137	0.66000066	0.15	4.0	175.0
1000781	1466	1.934999033	0.15	4.0	100000.0
2706	2728	0.702127958	0.15	4.0	575.0
2919	2918	0.787500492	0.15	4.0	500.0
1428	1429	0.809999595	0.15	4.0	200.0
3234	3194	0.145454545	0.15	4.0	2850.0
2215	7466	0.548936404	0.15	4.0	1150.0
1311	2000752	1.784999108	0.15	4.0	100000.0
3015	3011	0.072727273	0.15	4.0	1950.0
2618	2000029	1.544999228	0.15	4.0	100000.0
1439	2000788	0.494999753	0.15	4.0	100000.0
2397	2399	0.333333333	0.15	4.0	1850.0
7334	2000008	1.754999123	0.15	4.0	100000.0
1000921	1556	0.76	0.15	4.0	100000.0
1000771	1692	0.41999979	0.15	4.0	100000.0
2982	2891	1.439998848	0.15	4.0	450.0
1496	1497	0.641379089	0.15	4.0	4800.0
6565	2211	0.05	0.15	4.0	1950.0
2702	6768	0.191489443	0.15	4.0	575.0
2042	2000817	0.8	0.15	4.0	100000.0
2342	2321	1.012500633	0.15	4.0	1000.0
3435	3446	0.516666667	0.15	4.0	1850.0
3083	2000480	0.78000078	0.15	4.0	100000.0
2313	2297	0.183333333	0.15	4.0	1850.0
1783	1782	0.690909091	0.15	4.0	1650.0
2725	2000600	1.31999934	0.15	4.0	100000.0
1748	6576	0.209999895	0.15	4.0	350.0
3186	3194	0.563636364	0.15	4.0	2850.0
1000587	1265	0.57000057	0.15	4.0	100000.0
2479	6257	0.382978886	0.15	4.0	7200.0
2448	2000527	0.59999952	0.15	4.0	100000.0
7396	1554	0.35	0.15	4.0	925.0
6972	2699	0.404999798	0.15	4.0	350.0
2179	1711	0.618181818	0.15	4.0	825.0
2041	2011	0.30967722	0.15	4.0	450.0
1826	1827	0.651064107	0.15	4.0	575.0
1000710	1286	0.59999952	0.15	4.0	100000.0
1436	1482	0.6625	0.15	4.0	650.0
1662	1655	0.042857112	0.15	4.0	525.0
6634	2000088	0.72	0.15	4.0	100000.0
1260	2000909	0.28	0.15	4.0	100000.0
4487	2812	0.862500539	0.15	4.0	500.0
1000069	2254	1.394999303	0.15	4.0	100000.0
2218	2207	0.284999858	0.15	4.0	350.0
1000789	1446	1.904999048	0.15	4.0	100000.0
1852	2000840	0.36000036	0.15	4.0	100000.0
1000675	1238	1.589999205	0.15	4.0	100000.0
1661	1659	0.116128957	0.15	4.0	2625.0
2549	2521	0.381818182	0.15	4.0	3000.0
2439	2440	0.600000375	0.15	4.0	3000.0
6088	6085	0.29999987	0.15	4.0	1050.0
2919	2962	0.58	0.15	4.0	400.0
