iteration 	 gap 	 fullGap
0	0.39812143824628465	0.2922612707279467
1	0.12454610544526327	0.12534627460581615
2	0.08092046794643713	0.09118848341241725
3	0.06635458625773215	0.0767335708101402
4	0.05598350011687446	0.06520902849900334
5	0.050146788434606016	0.05966999685510754
6	0.043979620968352194	0.05330077988529336
7	0.04063822449094498	0.050122791186197335
8	0.035868619125750074	0.04482771635748961
9	0.03312625397619396	0.04202566767250193
10	0.02950329812650635	0.038214738665863
11	0.027210150985745668	0.0356578879155951
12	0.024604816184868074	0.032726399449266474
13	0.022521216516975213	0.03020342460108305
14	0.020191612905885975	0.027625784655803676
15	0.01803523439359239	0.02492134113947031
16	0.01623743647971598	0.022369788638435084
17	0.014465095728186866	0.0202277839289583
18	0.012779183960723393	0.018073974522489378
19	0.011462632593453105	0.016333130380972505
20	0.010352463971088261	0.01528441273416492
21	0.009003425154886798	0.01309908232530721
22	0.00781150973156585	0.011429434138530703
23	0.006755215288370698	0.009917586487364627
24	0.0059811677583925535	0.00861151560946527
25	0.0050937145893653075	0.0074009540486845715
