source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP
4900	4849	1.583333333	1.583333333	821.1134300000006	821.5453909247183
2213	2000035	1.08	1.08	87.0	87.0000000000001
7348	1153	3.037501898	3.037501898	69.385095	442.2746395646722
4062	4061	0.618181818	0.618181818	3748.138140488535	3343.9382134215825
4645	4646	2.249998875	2.249998875	511.00000000000006	510.9999999999996
5815	5800	2.129998935	2.129998935	30.0	29.99999999999999
6083	6087	1.0625	1.0625	0.0	4.0
2939	2929	2.34	2.34	9.0	9.0
3729	2000315	1.52	1.52	26.621449999999992	87.99951115527556
5285	5358	0.254545455	0.254545455	958.7795	952.9998151119144
6988	5418	0.944999528	0.944999528	276.3243449999999	251.22706896178545
3728	3729	0.525000328	0.525000328	9.21	70.22788246582294
5570	5566	0.2125	0.2125	23.615805	24.000218205630265
6256	6245	0.416666667	0.416666667	2900.492970000005	2982.110792079859
4784	4632	1.531915545	1.531915545	1068.6948299999992	1028.0013092337824
2943	2918	0.975000609	0.975000609	138.99999999999986	170.44143516718816
4630	4777	2.174998913	2.174998913	205.0	218.0
5543	5542	2.048275156	2.048275156	4851.000000000002	4834.000000000012
2923	2000530	1.583998733	1.583998733	364.3542250000011	337.2064815471668
4610	5344	0.973333333	0.973333333	5530.9324411715825	4959.999123720649
6188	2672	0.166666667	0.166666667	499.24096000000077	419.4740226558158
5650	5645	1.25999937	1.25999937	11.0	11.0
2633	7438	0.528571429	0.528571429	4082.8007579296136	4333.109673631113
4525	2000225	1.42	1.42	119.31502499999996	116.7257054505616
3872	3771	0.289655372	0.289655372	713.9183442610707	608.2883323144345
3817	3816	0.69000069	0.69000069	395.47621902820964	419.40339243550693
1000767	1383	0.809999595	0.809999595	7.0	7.0
5166	5160	0.366666667	0.366666667	2161.2036599999883	2118.5885874576447
1301	1299	4.49999775	4.49999775	2.0	3.0
3726	3631	0.206896694	0.206896694	126.95334	59.908141696146394
5519	5513	0.909090909	0.909090909	222.99999999999997	222.99977377188543
4826	7052	1.212766474	1.212766474	43.847415	25.999999999999975
7154	2000990	1.964999018	1.964999018	2.0	2.0
6593	6595	0.22285727	0.22285727	374.0000000000001	367.01351760503337
6026	6021	0.822857613	0.822857613	58.048509999999915	42.136185705211304
4557	4630	1.91999904	1.91999904	244.0	257.0
6596	2000156	0.64	0.64	2.0	9.0
5433	4906	1.67999916	1.67999916	4.0	3.0
4126	4127	0.066666667	0.066666667	3824.5746956812013	3309.293631232922
2734	6089	0.063829814	0.063829814	1209.8718449999938	1091.744470702824
2393	2000537	0.7	0.7	123.0	125.0
3648	3632	0.455172728	0.455172728	1522.538835488537	1583.342508652468
3156	3020	0.206896694	0.206896694	1935.839186307679	1719.4574937152693
5842	2000886	3.134998433	3.134998433	2.0	2.0
4087	4093	0.690909091	0.690909091	3975.837794915878	4347.783181345481
3341	3051	0.167999866	0.167999866	3008.119328612529	2584.7788749328465
1000145	5173	0.98	0.98	285.0	277.0
1000911	1661	0.39000039	0.39000039	53.0	53.0
2927	2998	0.243750152	0.243750152	2020.0450540972852	2053.907555300783
3039	3038	0.563636364	0.563636364	3873.1504830494773	3742.3404724889992
5361	7006	0.533333333	0.533333333	604.0	603.0
1000749	1302	1.769999115	1.769999115	39.0	39.000000000000036
2790	2793	0.727272727	0.727272727	749.5007148211911	978.9816862037106
3772	3773	0.537931405	0.537931405	707.1283442610708	711.1273884141441
1562	1516	0.135483784	0.135483784	748.0	752.2757881159959
2029	2032	0.243750152	0.243750152	822.2057549999997	837.8967364872565
1952	1947	0.589654969	0.589654969	4958.425307258504	4715.399643913395
2668	2669	0.843750527	0.843750527	500.6589850000024	299.43856747691257
3783	3843	0.234146456	0.234146456	10193.357504959922	10295.214921915245
7205	5725	0.509999745	0.509999745	283.7002950000002	158.00021820563094
4637	6372	0.497872552	0.497872552	1202.1648649999993	1251.2778274020534
4538	6387	0.41999979	0.41999979	709.1393200000024	542.8834911157574
1688	6715	0.41999979	0.41999979	312.0	359.0005747374606
3541	3540	0.654545455	0.654545455	1815.68435	1839.8122933801917
6194	6196	11.42857145	11.42857145	5167.597412523684	5177.1169183032025
6813	6814	0.187500117	0.187500117	108.0	150.0
4258	4265	0.4	0.4	726.71762	621.830361476014
4068	4076	0.289655372	0.289655372	2360.0874700841186	2141.741511105439
6423	1750	1.4	1.4	1072.603974999999	1008.3685039398587
