Node	X	Y
1	-97.861763	30.550045
2	-97.873341	30.595955
3	-97.842574	30.537706
4	-97.967226	30.531993
5	-97.901257	30.49655
6	-97.882086	30.460701
7	-97.827879	30.498174
8	-98.083907	30.434403
9	-98.053644	30.488843
10	-97.968645	30.405429
11	-98.056627	30.367501
12	-97.941993	30.421566
13	-97.888347	30.416288
14	-97.839977	30.449261
15	-97.83899	30.398674
16	-98.076591	30.33372
17	-97.972406	30.320471
18	-98.009337	30.349621
19	-97.984566	30.367501
20	-97.926677	30.382464
21	-97.937276	30.351176
22	-97.86814	30.373525
23	-97.834683	30.374974
24	-97.845706	30.351794
25	-97.974997	30.221922
26	-97.964299	30.292875
27	-97.939978	30.32358
28	-97.905759	30.343668
29	-97.89921	30.321831
30	-97.705243	30.653697
31	-97.869942	30.344763
32	-97.858595	30.332143
33	-97.841425	30.318718
34	-97.832125	30.30131
35	-97.919182	30.304379
36	-97.888816	30.298805
37	-97.921387	30.352597
38	-97.871556	30.308173
39	-97.779089	30.351189
40	-97.744053	30.384802
41	-97.833651	30.288711
42	-97.902792	30.286234
43	-98.013199	30.272366
44	-97.879621	30.286428
45	-97.899068	30.267169
46	-97.86426	30.287223
47	-97.665825	30.513457
48	-97.703502	30.308846
49	-97.843688	30.286457
50	-97.836009	30.279555
51	-97.932402	30.205053
52	-97.873192	30.273341
53	-97.909655	30.196482
54	-97.901713	30.172804
55	-97.851746	30.260857
56	-97.829376	30.259205
57	-97.825581	30.247459
58	-97.819398	30.235346
59	-97.895281	30.25396
60	-97.879541	30.24144
61	-97.872037	30.246756
62	-97.858211	30.245081
63	-97.852166	30.240247
64	-97.928478	30.267416
65	-97.93101	30.237106
66	-97.915824	30.244016
67	-97.909155	30.249879
68	-97.892018	30.238308
69	-97.985156	30.244942
70	-97.943499	30.250014
71	-97.954558	30.209143
72	-97.947086	30.21593
73	-97.905353	30.221875
74	-97.884729	30.210384
75	-97.883969	30.222138
76	-97.928999	30.22221
77	-97.858915	30.230631
78	-97.850001	30.229226
79	-97.839501	30.232836
80	-97.835974	30.224841
81	-97.862221	30.225853
82	-97.865677	30.217987
83	-97.849136	30.220626
84	-97.858294	30.214768
85	-97.836175	30.214574
86	-97.845563	30.206238
87	-97.773059	30.39592
88	-97.872225	30.20472
89	-97.858353	30.188692
90	-97.937337	30.194893
91	-97.920445	30.209985
92	-97.895714	30.191616
93	-97.914187	30.179056
94	-97.890011	30.183883
95	-97.809077	30.342242
96	-97.868659	30.166515
97	-97.866404	30.152804
98	-97.829257	30.204417
99	-97.841393	30.188004
100	-97.842194	30.17107
101	-97.854535	30.164297
102	-97.842915	30.133666
103	-97.832171	30.599148
104	-97.799189	30.579994
105	-97.756155	30.589421
106	-97.692748	30.614041
107	-97.663039	30.627603
108	-97.671384	30.575265
109	-97.644672	30.569989
110	-97.803089	30.522036
111	-97.768768	30.518674
112	-97.737027	30.527329
113	-97.739952	30.542739
114	-97.693987	30.540723
115	-97.683218	30.544608
116	-97.664092	30.550837
117	-97.811989	30.480535
118	-97.806242	30.471692
119	-97.793977	30.500992
120	-97.758083	30.483751
121	-97.733466	30.506262
122	-97.710151	30.516396
123	-97.699474	30.526432
124	-97.693185	30.529538
125	-97.677935	30.530948
126	-97.657977	30.537547
127	-97.628339	30.537873
128	-97.687699	30.525447
129	-97.674702	30.522907
130	-97.660354	30.527937
131	-97.684306	30.514658
132	-97.675414	30.517125
133	-97.609093	30.468471
134	-97.649805	30.51606
135	-97.690696	30.520364
136	-97.681971	30.510451
137	-97.675429	30.512392
138	-97.659832	30.516269
139	-97.748408	30.477235
140	-97.699917	30.499365
141	-97.681264	30.506831
142	-97.687935	30.489825
143	-97.678514	30.500887
144	-97.668835	30.503811
145	-97.648706	30.505463
146	-97.621085	30.512273
147	-97.698393	30.481309
148	-97.683939	30.482178
149	-97.669035	30.488674
150	-97.631009	30.492029
151	-97.816014	30.454371
152	-97.804425	30.460688
153	-97.786828	30.463568
154	-97.769391	30.469152
155	-97.734708	30.465101
156	-97.703262	30.473658
157	-97.68639	30.460659
158	-97.671883	30.453786
159	-97.654187	30.467254
160	-97.635163	30.460126
161	-97.799555	30.452107
162	-97.78093	30.443651
163	-97.785175	30.45527
164	-97.771871	30.458188
165	-97.776564	30.449527
166	-97.763846	30.452449
167	-97.704426	30.453141
168	-97.76236	30.446519
169	-97.755978	30.442063
170	-97.731102	30.442247
171	-97.712671	30.43446
172	-97.681327	30.444289
173	-97.679807	30.431584
174	-97.654831	30.43806
175	-97.632319	30.429712
176	-97.613692	30.446884
177	-97.756928	30.412276
178	-97.825646	30.440343
179	-97.812579	30.433092
180	-97.80419	30.426198
181	-97.792283	30.440545
182	-97.790268	30.430965
183	-97.745077	30.432578
184	-97.836201	30.419188
