source	dest	fft	coef	power	capacity
247	4024	39.000039	0.15	4.0	100000.0
4074	4027	12.14285715	0.15	4.0	7650.0
4851	159	60.0	0.15	4.0	100000.0
1229	5074	39.000039	0.15	4.0	400.0
3965	218	51.000051	0.15	4.0	100000.0
5087	5058	15.83333335	0.15	4.0	2775.0
202	4447	67.5000675	0.15	4.0	100000.0
5085	5063	46.0	0.15	4.0	450.0
2639	1737	48.75003045	0.15	4.0	500.0
159	4851	60.0	0.15	4.0	100000.0
2363	6566	17.999991	0.15	4.0	350.0
159	4850	77.0	0.15	4.0	100000.0
1247	1377	83.999958	0.15	4.0	350.0
2628	2627	84.37505275	0.15	4.0	500.0
3632	3899	12.41380165	0.15	4.0	1000.0
7351	2220	45.9375287	0.15	4.0	500.0
5681	5694	56.2499719	0.15	4.0	350.0
3596	4097	26.36363635	0.15	4.0	2850.0
6394	5393	37.50002345	0.15	4.0	500.0
3614	3615	12.1875076	0.15	4.0	1000.0
5648	5646	92.9999535	0.15	4.0	350.0
5041	5037	42.72727275	0.15	4.0	1900.0
3653	287	33.000033	0.15	4.0	100000.0
5784	7183	14.9999925	0.15	4.0	350.0
1382	1381	215.999892	0.15	4.0	350.0
1377	1247	83.999958	0.15	4.0	350.0
5695	7192	105.7499472	0.15	4.0	350.0
7453	4851	20.0	0.15	4.0	1850.0
275	3510	36.000036	0.15	4.0	100000.0
6866	133	75.0	0.15	4.0	100000.0
3510	275	36.000036	0.15	4.0	100000.0
4452	3601	34.5000345	0.15	4.0	400.0
5412	5418	44.9999775	0.15	4.0	350.0
5129	5133	42.72727275	0.15	4.0	2000.0
7183	5784	14.9999925	0.15	4.0	350.0
1216	6640	139.4999303	0.15	4.0	350.0
5058	5087	15.83333335	0.15	4.0	2775.0
5037	5041	42.72727275	0.15	4.0	1900.0
4070	4025	28.1818182	0.15	4.0	1950.0
3662	3663	106.0	0.15	4.0	400.0
595	5414	94.49995275	0.15	4.0	100000.0
2222	52	47.2499764	0.15	4.0	100000.0
3721	3628	17.586219	0.15	4.0	1750.0
6881	6882	20.86955615	0.15	4.0	1050.0
5418	5412	44.9999775	0.15	4.0	350.0
3746	3647	12.41380165	0.15	4.0	1000.0
261	4016	58.5000585	0.15	4.0	100000.0
3965	4072	30.0	0.15	4.0	1900.0
4072	3965	30.0	0.15	4.0	1900.0
1229	1230	39.000039	0.15	4.0	400.0
3719	3628	14.2857143	0.15	4.0	7650.0
5393	6394	37.50002345	0.15	4.0	500.0
3630	3664	15.000015	0.15	4.0	400.0
5393	6393	25.3125158	0.15	4.0	500.0
2367	2366	56.36363635	0.15	4.0	1650.0
3511	3510	33.63636365	0.15	4.0	1900.0
6571	5035	50.9090909	0.15	4.0	1900.0
193	5042	28.0	0.15	4.0	100000.0
4067	234	52.5000525	0.15	4.0	100000.0
2221	2229	144.7499277	0.15	4.0	350.0
4019	4067	9.31035125	0.15	4.0	1000.0
3630	3631	42.41382235	0.15	4.0	500.0
