source	dest	fft	coef	power	capacity
3827	331	0.87000087	0.15	4.0	100000.0
1909	1911	0.054545405	0.15	4.0	475.0
3378	391	0.719999424	0.15	4.0	100000.0
1438	1439	0.548936404	0.15	4.0	575.0
7295	3822	0.272727273	0.15	4.0	1900.0
1313	1321	3.674998163	0.15	4.0	350.0
1911	1900	0.136363512	0.15	4.0	475.0
2900	7004	0.066666667	0.15	4.0	1850.0
4214	4223	0.56	0.15	4.0	550.0
6075	6076	0.365217233	0.15	4.0	1050.0
2205	2217	0.1125	0.15	4.0	1300.0
1734	435	1.2	0.15	4.0	100000.0
3578	253	1.175999059	0.15	4.0	100000.0
721	1691	0.8	0.15	4.0	100000.0
2009	2006	0.387096524	0.15	4.0	450.0
2739	534	1.38	0.15	4.0	100000.0
3612	3667	0.57000057	0.15	4.0	400.0
2759	3698	0.393750246	0.15	4.0	1000.0
1796	3692	0.34	0.15	4.0	550.0
2301	2334	0.881250551	0.15	4.0	500.0
3057	3010	1.2000012	0.15	4.0	400.0
4241	4236	0.225000141	0.15	4.0	3000.0
601	1709	1.4	0.15	4.0	100000.0
3322	378	0.28	0.15	4.0	100000.0
2576	2595	0.563636364	0.15	4.0	2000.0
2509	2479	0.114893666	0.15	4.0	4800.0
2455	2454	0.262500164	0.15	4.0	2000.0
708	1601	0.69000069	0.15	4.0	100000.0
2293	86	1.1	0.15	4.0	100000.0
1650	905	0.31199975	0.15	4.0	100000.0
3620	3621	0.490909091	0.15	4.0	1900.0
3472	3468	0.109090909	0.15	4.0	1650.0
1488	1487	0.3625	0.15	4.0	1300.0
3393	1782	1.0	0.15	4.0	1650.0
1959	1958	1.219354052	0.15	4.0	450.0
4851	160	1.34	0.15	4.0	100000.0
723	1681	0.383999693	0.15	4.0	100000.0
6473	6465	0.569999715	0.15	4.0	350.0
4365	4196	1.64	0.15	4.0	400.0
6621	6619	0.268965703	0.15	4.0	500.0
1295	1422	0.35999982	0.15	4.0	350.0
2227	7009	0.283333333	0.15	4.0	1850.0
784	1502	1.304999348	0.15	4.0	100000.0
2405	2406	2.159998272	0.15	4.0	450.0
2295	74	0.56	0.15	4.0	100000.0
4516	4496	0.72413843	0.15	4.0	1000.0
899	1675	0.239999808	0.15	4.0	100000.0
1803	2179	0.763636364	0.15	4.0	825.0
2232	2231	1.950001219	0.15	4.0	500.0
1959	1957	0.929031659	0.15	4.0	450.0
4249	6158	1.014285714	0.15	4.0	2550.0
3510	3912	0.236363636	0.15	4.0	1900.0
838	1853	0.58	0.15	4.0	100000.0
4491	211	1.02	0.15	4.0	100000.0
6382	2881	0.125	0.15	4.0	1300.0
6050	6051	0.579310145	0.15	4.0	2900.0
1147	4547	1.169999415	0.15	4.0	350.0
3924	277	1.08000108	0.15	4.0	100000.0
518	2992	0.527999578	0.15	4.0	100000.0
5975	5982	1.577143758	0.15	4.0	1850.0
4313	4161	0.36	0.15	4.0	550.0
1142	6705	2.174998913	0.15	4.0	350.0
3472	3467	0.472727273	0.15	4.0	1650.0
1778	2480	0.6	0.15	4.0	550.0
2695	2745	1.889999055	0.15	4.0	350.0
1847	1277	0.272727025	0.15	4.0	475.0
3167	3047	0.135483784	0.15	4.0	1750.0
3599	3575	1.241380166	0.15	4.0	500.0
6444	4500	0.066666667	0.15	4.0	1850.0
3645	3646	0.7448281	0.15	4.0	1000.0
1594	894	0.42	0.15	4.0	100000.0
1232	6527	0.95	0.15	4.0	1850.0
4266	4260	0.479999616	0.15	4.0	450.0
1724	489	1.103999117	0.15	4.0	100000.0
667	1337	2.969998515	0.15	4.0	100000.0
840	1845	0.87000087	0.15	4.0	100000.0
4166	4165	0.717073521	0.15	4.0	11800.0
3397	3398	1.236363636	0.15	4.0	825.0
1505	6797	0.309090909	0.15	4.0	1650.0
6521	6523	0.1125	0.15	4.0	1300.0
4330	298	1.391998886	0.15	4.0	100000.0
1523	797	0.56	0.15	4.0	100000.0
5083	5087	0.283333333	0.15	4.0	2775.0
2727	6499	1.469999265	0.15	4.0	350.0
1213	572	3.104998448	0.15	4.0	100000.0
3059	3000	0.11250007	0.15	4.0	1800.0
3580	242	1.28	0.15	4.0	100000.0
2070	1828	1.649999175	0.15	4.0	350.0
2005	2028	0.65999967	0.15	4.0	200.0
3276	3258	0.35172438	0.15	4.0	500.0
3174	3175	0.290909091	0.15	4.0	1950.0
1889	715	0.12000012	0.15	4.0	100000.0
2436	2394	0.54375034	0.15	4.0	1000.0
1636	1637	0.145454545	0.15	4.0	1650.0
2145	585	0.74	0.15	4.0	100000.0
6025	6026	0.545454545	0.15	4.0	1650.0
3347	3348	0.165517356	0.15	4.0	1750.0
4511	6001	0.038297889	0.15	4.0	1150.0
1786	1784	0.2	0.15	4.0	825.0
527	2449	1.19999904	0.15	4.0	100000.0
7026	6480	0.044999978	0.15	4.0	350.0
3472	3471	1.2	0.15	4.0	400.0
3049	3053	0.167999866	0.15	4.0	2700.0
7295	3825	0.537931405	0.15	4.0	500.0
2821	4336	0.375000234	0.15	4.0	500.0
1984	1985	0.373333333	0.15	4.0	7950.0
2869	458	1.223999021	0.15	4.0	100000.0
3631	3726	0.206896694	0.15	4.0	500.0
4313	4157	0.1	0.15	4.0	550.0
2107	2109	2.025001266	0.15	4.0	500.0
6570	2806	1.143750715	0.15	4.0	500.0
1940	1243	0.749999625	0.15	4.0	350.0
7317	2719	0.749999625	0.15	4.0	350.0
3670	3671	0.44	0.15	4.0	550.0
1587	1426	0.89999955	0.15	4.0	350.0
6361	4470	1.116666667	0.15	4.0	1850.0
3497	3494	0.62	0.15	4.0	400.0
4214	4221	0.375000234	0.15	4.0	1800.0
241	4385	2.207998234	0.15	4.0	100000.0
2132	2133	3.794998103	0.15	4.0	350.0
1909	1908	0.245454322	0.15	4.0	475.0
1313	1323	1.25999937	0.15	4.0	350.0
372	3160	0.33000033	0.15	4.0	100000.0
527	2448	0.59999952	0.15	4.0	100000.0
2182	2186	0.168750105	0.15	4.0	500.0
3374	412	0.191999846	0.15	4.0	100000.0
2876	2875	0.948386485	0.15	4.0	1750.0
7365	1465	0.7625	0.15	4.0	650.0
6496	2238	0.731250457	0.15	4.0	500.0
3012	476	0.51000051	0.15	4.0	100000.0
1934	1932	1.529999235	0.15	4.0	350.0
3171	3025	0.331034711	0.15	4.0	500.0
2524	2560	0.225000141	0.15	4.0	2000.0
3199	3200	0.418181818	0.15	4.0	2925.0
2946	516	0.791999366	0.15	4.0	100000.0
1544	1504	1.02580579	0.15	4.0	450.0
4414	4411	0.981818182	0.15	4.0	1950.0
1265	1261	0.145454545	0.15	4.0	1900.0
1767	1723	0.525000328	0.15	4.0	2000.0
3124	3130	0.727272727	0.15	4.0	1900.0
2765	389	0.45000045	0.15	4.0	100000.0
4190	4354	0.174193436	0.15	4.0	1750.0
746	1391	2.084998958	0.15	4.0	100000.0
2074	2129	0.527586025	0.15	4.0	4800.0
1878	1917	0.787500492	0.15	4.0	500.0
