source	dest	fft	coef	power	capacity
4952	5000	1.05	0.15	4.0	925.0
247	4024	39.000039	0.15	4.0	100000.0
4074	4027	12.14285715	0.15	4.0	7650.0
6405	1272	1.054545455	0.15	4.0	825.0
1809	1810	1.500000938	0.15	4.0	500.0
3572	3571	0.454545455	0.15	4.0	2925.0
4139	4142	0.393103719	0.15	4.0	1750.0
2639	1737	48.75003045	0.15	4.0	500.0
862	5332	2.02	0.15	4.0	100000.0
2363	6566	17.999991	0.15	4.0	350.0
7293	3519	0.563636364	0.15	4.0	1900.0
6584	122	1.26000126	0.15	4.0	100000.0
1247	1377	83.999958	0.15	4.0	350.0
7117	5490	1.7875	0.15	4.0	650.0
7238	7239	0.333333333	0.15	4.0	1850.0
3539	3588	0.35172438	0.15	4.0	1000.0
2628	2627	84.37505275	0.15	4.0	500.0
3632	3899	12.41380165	0.15	4.0	1000.0
5602	5605	1.664999168	0.15	4.0	350.0
5483	5484	2.9999985	0.15	4.0	350.0
1986	1991	0.17999991	0.15	4.0	200.0
1311	1312	2.429998785	0.15	4.0	350.0
7351	2220	45.9375287	0.15	4.0	500.0
6475	6472	0.1375	0.15	4.0	1300.0
3964	3971	1.0	0.15	4.0	1950.0
5527	5526	0.2625	0.15	4.0	650.0
3939	3938	0.109090909	0.15	4.0	1900.0
1238	1239	0.71999964	0.15	4.0	350.0
6582	113	1.84	0.15	4.0	100000.0
5352	5342	0.453658758	0.15	4.0	8850.0
5332	862	2.02	0.15	4.0	100000.0
3614	3615	12.1875076	0.15	4.0	1000.0
5485	5491	3.914998043	0.15	4.0	350.0
6627	6628	0.436363636	0.15	4.0	1650.0
5510	5519	0.745454545	0.15	4.0	825.0
879	5355	1.2	0.15	4.0	100000.0
3539	3538	0.455172728	0.15	4.0	1000.0
3653	287	33.000033	0.15	4.0	100000.0
6680	4524	0.76875048	0.15	4.0	500.0
1382	1381	215.999892	0.15	4.0	350.0
5988	2843	0.6	0.15	4.0	1850.0
1377	1247	83.999958	0.15	4.0	350.0
4083	4091	0.37241405	0.15	4.0	1750.0
5585	5593	0.575	0.15	4.0	650.0
4138	3941	0.109090909	0.15	4.0	1900.0
4014	4062	0.290909091	0.15	4.0	1950.0
5323	5324	0.581818182	0.15	4.0	1650.0
3530	4425	0.381818182	0.15	4.0	1900.0
275	3510	36.000036	0.15	4.0	100000.0
3510	275	36.000036	0.15	4.0	100000.0
6961	1050	0.52	0.15	4.0	100000.0
5355	879	1.2	0.15	4.0	100000.0
5585	5584	1.6	0.15	4.0	1300.0
122	6584	1.26000126	0.15	4.0	100000.0
5323	5322	0.5	0.15	4.0	1850.0
4070	4025	28.1818182	0.15	4.0	1950.0
1361	1362	1.124999438	0.15	4.0	350.0
1363	1351	0.7875	0.15	4.0	650.0
1971	6788	0.1	0.15	4.0	650.0
3662	3663	106.0	0.15	4.0	400.0
3538	4069	0.4	0.15	4.0	1950.0
4064	4073	0.289655372	0.15	4.0	1750.0
4372	4373	0.781818182	0.15	4.0	1950.0
4089	4090	0.345454545	0.15	4.0	2850.0
6403	6790	0.05	0.15	4.0	1300.0
6994	1162	0.06	0.15	4.0	550.0
5324	878	0.3	0.15	4.0	100000.0
3519	7293	0.563636364	0.15	4.0	1900.0
4064	4070	0.381818182	0.15	4.0	1950.0
2222	52	47.2499764	0.15	4.0	100000.0
938	5513	1.48	0.15	4.0	100000.0
5593	5585	0.575	0.15	4.0	650.0
3721	3628	17.586219	0.15	4.0	1750.0
6161	6164	1.571428571	0.15	4.0	2550.0
3746	3647	12.41380165	0.15	4.0	1000.0
5593	5590	0.149999925	0.15	4.0	350.0
4946	4945	0.836363636	0.15	4.0	1900.0
5593	5589	0.2	0.15	4.0	650.0
6460	6459	0.089999955	0.15	4.0	350.0
1127	1128	0.981818182	0.15	4.0	1950.0
1025	7117	2.15999892	0.15	4.0	100000.0
261	4016	58.5000585	0.15	4.0	100000.0
873	5335	0.66	0.15	4.0	100000.0
5589	5593	0.2	0.15	4.0	650.0
3719	3628	14.2857143	0.15	4.0	7650.0
6226	4992	3.575997139	0.15	4.0	450.0
5491	5485	3.914998043	0.15	4.0	350.0
3630	3664	15.000015	0.15	4.0	400.0
5342	5340	0.272727273	0.15	4.0	1650.0
2367	2366	56.36363635	0.15	4.0	1650.0
3511	3510	33.63636365	0.15	4.0	1900.0
5344	5328	0.546666667	0.15	4.0	7950.0
1162	6994	0.06	0.15	4.0	550.0
4067	234	52.5000525	0.15	4.0	100000.0
2221	2229	144.7499277	0.15	4.0	350.0
4019	4067	9.31035125	0.15	4.0	1000.0
3630	3631	42.41382235	0.15	4.0	500.0
5000	4952	1.05	0.15	4.0	925.0
155	4933	2.48	0.15	4.0	100000.0
5340	5339	1.440000823	0.15	4.0	1850.0
3538	3539	0.455172728	0.15	4.0	1000.0
3511	3527	41.3793389	0.15	4.0	500.0
6583	4938	0.883333333	0.15	4.0	1850.0
2634	2646	22.5	0.15	4.0	1850.0
1356	1358	0.734999633	0.15	4.0	200.0
1381	1382	215.999892	0.15	4.0	350.0
2636	2635	30.93751935	0.15	4.0	500.0
5587	5586	1.334482298	0.15	4.0	4800.0
2222	2382	28.49998575	0.15	4.0	350.0
4137	4086	0.181818182	0.15	4.0	1950.0
3744	3625	17.14285715	0.15	4.0	7650.0
4436	4411	0.272727273	0.15	4.0	1900.0
3634	3911	29.99998065	0.15	4.0	1750.0
1991	1986	0.17999991	0.15	4.0	200.0
5588	5487	0.434482609	0.15	4.0	4800.0
4605	5510	1.763636364	0.15	4.0	825.0
2229	2212	101.875	0.15	4.0	1950.0
5290	6580	1.2	0.15	4.0	1850.0
4007	260	25.5000255	0.15	4.0	100000.0
5338	5333	0.218181818	0.15	4.0	1650.0
5503	5484	2.834998583	0.15	4.0	350.0
7234	4605	3.036363636	0.15	4.0	825.0
5278	5355	0.25	0.15	4.0	925.0
4005	260	22.5000225	0.15	4.0	100000.0
5018	4923	1.085106845	0.15	4.0	7200.0
4058	4005	14.54545455	0.15	4.0	950.0
6468	6464	1.175	0.15	4.0	1300.0
4386	4385	0.337500211	0.15	4.0	2000.0
6402	1969	0.299999897	0.15	4.0	4800.0
3634	287	57.000057	0.15	4.0	100000.0
4133	4084	0.285714286	0.15	4.0	7650.0
4455	4454	1.183333333	0.15	4.0	2775.0
1878	1854	0.712500445	0.15	4.0	500.0
3588	3539	0.35172438	0.15	4.0	1000.0
6184	6186	8.2499959	0.15	4.0	2700.0
752	1298	2.234998883	0.15	4.0	100000.0
5510	4605	1.763636364	0.15	4.0	825.0
5286	5285	1.666666667	0.15	4.0	7950.0
2843	224	1.6	0.15	4.0	100000.0
4505	228	2.4	0.15	4.0	100000.0
2229	2221	144.7499277	0.15	4.0	350.0
6788	1971	0.1	0.15	4.0	650.0
7023	5331	0.566666667	0.15	4.0	1850.0
3630	326	27.000027	0.15	4.0	100000.0
2220	7351	45.9375287	0.15	4.0	500.0
1272	6405	1.054545455	0.15	4.0	825.0
287	3634	57.000057	0.15	4.0	100000.0
1810	1809	1.500000938	0.15	4.0	500.0
6742	5282	0.9875	0.15	4.0	1300.0
5605	5602	1.664999168	0.15	4.0	350.0
3911	3634	29.99998065	0.15	4.0	1750.0
1298	752	2.234998883	0.15	4.0	100000.0
2825	224	1.1	0.15	4.0	100000.0
224	2843	1.6	0.15	4.0	100000.0
6895	6896	0.517241201	0.15	4.0	2900.0
7239	7238	0.333333333	0.15	4.0	1850.0
5335	873	0.66	0.15	4.0	100000.0
6895	6893	0.339130287	0.15	4.0	1050.0
2627	2628	84.37505275	0.15	4.0	500.0
1312	1311	2.429998785	0.15	4.0	350.0
4092	4091	0.509090909	0.15	4.0	1950.0
3568	4403	3.93000393	0.15	4.0	400.0
1854	1878	0.712500445	0.15	4.0	500.0
4422	3530	0.4	0.15	4.0	1900.0
4007	4055	17.27272725	0.15	4.0	2850.0
3527	3511	41.3793389	0.15	4.0	500.0
4992	6226	3.575997139	0.15	4.0	450.0
287	3653	33.000033	0.15	4.0	100000.0
5526	5527	0.2625	0.15	4.0	650.0
5503	5500	0.449999775	0.15	4.0	350.0
4394	4385	0.281250176	0.15	4.0	2000.0
6581	5027	1.090909091	0.15	4.0	825.0
4005	4058	14.54545455	0.15	4.0	950.0
224	2825	1.1	0.15	4.0	100000.0
6228	6230	0.216666667	0.15	4.0	2775.0
4922	5019	1.085106845	0.15	4.0	7200.0
1239	1238	0.71999964	0.15	4.0	350.0
234	4067	52.5000525	0.15	4.0	100000.0
3907	3648	6.36363635	0.15	4.0	950.0
4411	4436	0.272727273	0.15	4.0	1900.0
113	6582	1.84	0.15	4.0	100000.0
1841	1839	2.414998793	0.15	4.0	350.0
183	6226	1.83000183	0.15	4.0	100000.0
4024	247	39.000039	0.15	4.0	100000.0
6453	6458	1.7	0.15	4.0	1850.0
592	4419	1.32000132	0.15	4.0	100000.0
4605	7234	3.036363636	0.15	4.0	825.0
1358	1356	0.734999633	0.15	4.0	200.0
3663	3662	106.0	0.15	4.0	400.0
5027	6581	1.090909091	0.15	4.0	825.0
4067	4019	9.31035125	0.15	4.0	1000.0
4081	3939	0.490909091	0.15	4.0	1950.0
2212	2229	101.875	0.15	4.0	1950.0
4938	6583	0.883333333	0.15	4.0	1850.0
1839	1841	2.414998793	0.15	4.0	350.0
5484	5483	2.9999985	0.15	4.0	350.0
6628	6627	0.436363636	0.15	4.0	1650.0
5324	5323	0.581818182	0.15	4.0	1650.0
6599	6960	0.44571454	0.15	4.0	2775.0
6566	2363	17.999991	0.15	4.0	350.0
4013	4061	0.054545455	0.15	4.0	1900.0
5490	5487	0.169565144	0.15	4.0	1050.0
5322	5323	0.5	0.15	4.0	1850.0
3941	4138	0.109090909	0.15	4.0	1900.0
6453	4510	0.038297889	0.15	4.0	575.0
52	2222	47.2499764	0.15	4.0	100000.0
52	2221	50.2499749	0.15	4.0	100000.0
2646	2634	22.5	0.15	4.0	1850.0
2204	1294	249.7498751	0.15	4.0	200.0
5490	7117	1.7875	0.15	4.0	650.0
4090	4089	0.345454545	0.15	4.0	2850.0
3647	3746	12.41380165	0.15	4.0	1000.0
6534	6503	0.450000281	0.15	4.0	500.0
1362	1361	1.124999438	0.15	4.0	350.0
4016	261	58.5000585	0.15	4.0	100000.0
4082	4132	0.271428571	0.15	4.0	7650.0
2221	52	50.2499749	0.15	4.0	100000.0
5484	5503	2.834998583	0.15	4.0	350.0
2382	2222	28.49998575	0.15	4.0	350.0
5603	5623	1.184999408	0.15	4.0	350.0
3615	3614	12.1875076	0.15	4.0	1000.0
4080	4138	0.165517356	0.15	4.0	1750.0
3648	3907	6.36363635	0.15	4.0	950.0
6187	6185	8.2499959	0.15	4.0	2700.0
2637	2664	25.3125158	0.15	4.0	500.0
6459	6460	0.089999955	0.15	4.0	350.0
6961	6598	0.44571454	0.15	4.0	2775.0
5355	5278	0.25	0.15	4.0	925.0
3573	4300	0.658536907	0.15	4.0	8850.0
6229	4961	0.033333333	0.15	4.0	1850.0
5519	5510	0.745454545	0.15	4.0	825.0
4061	4013	0.054545455	0.15	4.0	1900.0
4403	3568	3.93000393	0.15	4.0	400.0
878	5324	0.3	0.15	4.0	100000.0
6503	6534	0.450000281	0.15	4.0	500.0
3510	3511	33.63636365	0.15	4.0	1900.0
3664	3630	15.000015	0.15	4.0	400.0
4945	4946	0.836363636	0.15	4.0	1900.0
1351	1363	0.7875	0.15	4.0	650.0
2366	2367	56.36363635	0.15	4.0	1650.0
4020	4068	0.5	0.15	4.0	7650.0
1050	6961	0.52	0.15	4.0	100000.0
5590	5593	0.149999925	0.15	4.0	350.0
249	3587	0.75000075	0.15	4.0	100000.0
3899	3632	12.41380165	0.15	4.0	1000.0
260	4007	25.5000255	0.15	4.0	100000.0
260	4005	22.5000225	0.15	4.0	100000.0
5513	938	1.48	0.15	4.0	100000.0
3631	3630	42.41382235	0.15	4.0	500.0
1737	2639	48.75003045	0.15	4.0	500.0
228	4505	2.4	0.15	4.0	100000.0
2664	2637	25.3125158	0.15	4.0	500.0
1737	339	41.0	0.15	4.0	100000.0
6580	5290	1.2	0.15	4.0	1850.0
5331	7023	0.566666667	0.15	4.0	1850.0
4510	6453	0.038297889	0.15	4.0	575.0
4055	4007	17.27272725	0.15	4.0	2850.0
1294	2204	249.7498751	0.15	4.0	200.0
4933	155	2.48	0.15	4.0	100000.0
6160	3591	0.600000293	0.15	4.0	8850.0
6229	6232	0.2	0.15	4.0	2850.0
6226	183	1.83000183	0.15	4.0	100000.0
2635	2636	30.93751935	0.15	4.0	500.0
326	3630	27.000027	0.15	4.0	100000.0
339	1737	41.0	0.15	4.0	100000.0
7117	1025	2.15999892	0.15	4.0	100000.0
3938	3939	0.109090909	0.15	4.0	1900.0
2843	5988	0.6	0.15	4.0	1850.0
5623	5603	1.184999408	0.15	4.0	350.0
3961	3962	0.328571429	0.15	4.0	7650.0
4454	4455	1.183333333	0.15	4.0	2775.0
6897	6894	0.517241201	0.15	4.0	2900.0
5335	5333	0.981818182	0.15	4.0	825.0
5279	5319	0.755172153	0.15	4.0	4800.0
6897	6892	0.326086815	0.15	4.0	1050.0
4419	592	1.32000132	0.15	4.0	100000.0
5333	5338	0.218181818	0.15	4.0	1650.0
4524	6680	0.76875048	0.15	4.0	500.0
6400	6401	0.299999897	0.15	4.0	4800.0
4434	3591	0.144827686	0.15	4.0	1750.0
5500	5503	0.449999775	0.15	4.0	350.0
4385	4394	0.281250176	0.15	4.0	2000.0
5331	5343	0.068571468	0.15	4.0	1850.0
6471	6466	0.1125	0.15	4.0	1300.0
4961	6229	0.033333333	0.15	4.0	1850.0
3587	249	0.75000075	0.15	4.0	100000.0
5333	5335	0.981818182	0.15	4.0	825.0
4385	4386	0.337500211	0.15	4.0	2000.0
