source	dest	fft	coef	power	capacity
3745	3740	0.620690083	0.15	4.0	1750.0
4066	4070	0.579310744	0.15	4.0	1750.0
3732	3649	0.490909091	0.15	4.0	950.0
5006	5025	0.066666667	0.15	4.0	1850.0
7216	6723	0.209999895	0.15	4.0	350.0
4041	4046	0.165517356	0.15	4.0	1000.0
5360	5334	0.71612857	0.15	4.0	1750.0
4710	4719	0.654545455	0.15	4.0	2925.0
4114	4128	0.272727273	0.15	4.0	1950.0
7119	877	1.754999123	0.15	4.0	100000.0
4995	6234	1.631998694	0.15	4.0	450.0
7092	7091	0.242553295	0.15	4.0	575.0
4784	4632	1.531915545	0.15	4.0	1150.0
1077	5594	0.579310145	0.15	4.0	4800.0
6248	6252	0.583333333	0.15	4.0	2774.0
4987	4967	0.581250363	0.15	4.0	2000.0
2214	36	1.34	0.15	4.0	100000.0
573	6126	0.82	0.15	4.0	100000.0
6127	6112	0.916666667	0.15	4.0	925.0
7220	7357	1.123404733	0.15	4.0	575.0
4810	4812	2.33999883	0.15	4.0	350.0
112	4941	0.88	0.15	4.0	100000.0
4564	4556	0.506250316	0.15	4.0	2000.0
4712	4706	0.428571429	0.15	4.0	7650.0
7102	7035	1.133333333	0.15	4.0	1850.0
4113	40	0.27000027	0.15	4.0	100000.0
6692	4744	0.672727273	0.15	4.0	1650.0
4754	6111	0.433333333	0.15	4.0	1850.0
4996	164	0.62	0.15	4.0	100000.0
1077	5595	0.8375	0.15	4.0	1300.0
4586	6725	1.251064362	0.15	4.0	575.0
2678	2677	1.368750855	0.15	4.0	500.0
3740	325	0.45000045	0.15	4.0	100000.0
6546	6549	0.216666667	0.15	4.0	1850.0
5874	4747	0.274285871	0.15	4.0	2775.0
1296	1250	1.814999093	0.15	4.0	350.0
4754	6108	0.966666667	0.15	4.0	1850.0
4635	1046	0.72	0.15	4.0	100000.0
7109	930	0.36	0.15	4.0	100000.0
31	2609	1.5	0.15	4.0	100000.0
5877	5878	0.218181818	0.15	4.0	1650.0
4738	4564	1.158621489	0.15	4.0	500.0
4835	4839	1.214999393	0.15	4.0	350.0
31	2608	1.18	0.15	4.0	100000.0
117	4749	0.76	0.15	4.0	100000.0
925	4805	1.78	0.15	4.0	100000.0
3627	3749	0.2	0.15	4.0	7650.0
5020	7239	0.566666667	0.15	4.0	1850.0
4635	1047	1.56	0.15	4.0	100000.0
3742	315	0.96	0.15	4.0	100000.0
4587	4588	1.514999243	0.15	4.0	350.0
5471	947	5.684997158	0.15	4.0	100000.0
4548	4643	7.184996408	0.15	4.0	350.0
4017	247	0.93000093	0.15	4.0	100000.0
7067	7066	4.304997848	0.15	4.0	350.0
5852	5853	0.116666667	0.15	4.0	1850.0
4562	4561	0.825000516	0.15	4.0	2000.0
4585	7220	0.714893921	0.15	4.0	575.0
1039	4819	0.95999952	0.15	4.0	100000.0
7100	4751	0.3	0.15	4.0	1850.0
105	7115	0.944999528	0.15	4.0	100000.0
6218	4129	0.018181818	0.15	4.0	1950.0
5529	5530	3.149998425	0.15	4.0	350.0
1158	3992	1.22	0.15	4.0	550.0
4066	4073	0.285714286	0.15	4.0	7650.0
3522	3521	0.909676832	0.15	4.0	1750.0
5006	5020	2.509090909	0.15	4.0	1650.0
6200	6199	0.056250035	0.15	4.0	500.0
6122	4670	0.416666667	0.15	4.0	1850.0
5902	5894	0.15	0.15	4.0	1950.0
5008	5009	0.566666667	0.15	4.0	1850.0
4744	6817	0.890909091	0.15	4.0	1650.0
4808	4820	4.064997968	0.15	4.0	200.0
4560	4571	1.55999922	0.15	4.0	350.0
6721	6719	0.727659884	0.15	4.0	1150.0
247	4017	0.93000093	0.15	4.0	100000.0
5852	5856	0.205714403	0.15	4.0	2775.0
4760	4761	0.787500492	0.15	4.0	2000.0
5500	5526	1.0875	0.15	4.0	650.0
2670	1736	1.237500773	0.15	4.0	500.0
2212	42	31.49998425	0.15	4.0	100000.0
4566	4549	1.331250832	0.15	4.0	500.0
4760	4759	0.533333333	0.15	4.0	1850.0
5506	5504	1.86383058	0.15	4.0	575.0
867	4799	1.034999483	0.15	4.0	100000.0
6967	6968	2.729998635	0.15	4.0	350.0
1151	1251	4.334997833	0.15	4.0	350.0
3970	3957	0.285714286	0.15	4.0	5100.0
2285	7346	1.066666667	0.15	4.0	1850.0
3968	3969	0.545454545	0.15	4.0	1950.0
2280	2281	0.7625	0.15	4.0	1300.0
6546	6545	0.15	0.15	4.0	1850.0
247	4019	0.75000075	0.15	4.0	100000.0
5333	5324	0.781818182	0.15	4.0	825.0
6544	2624	0.133333333	0.15	4.0	1850.0
4712	4715	0.342857143	0.15	4.0	2550.0
4000	1160	0.36	0.15	4.0	550.0
1150	1424	1.838298655	0.15	4.0	575.0
3743	3744	0.328571429	0.15	4.0	7650.0
3634	275	1.23000123	0.15	4.0	100000.0
5020	4939	0.872727273	0.15	4.0	1650.0
4564	4563	0.88	0.15	4.0	550.0
168	4955	1.943998445	0.15	4.0	100000.0
4744	6818	0.3	0.15	4.0	1850.0
1061	6660	0.64	0.15	4.0	100000.0
3988	3525	0.310345042	0.15	4.0	1750.0
4749	4658	0.283333333	0.15	4.0	1850.0
5471	5530	3.794998103	0.15	4.0	350.0
7035	6256	1.05	0.15	4.0	1850.0
7092	4793	0.4	0.15	4.0	825.0
4752	6115	0.433333333	0.15	4.0	1850.0
4789	6723	1.484999258	0.15	4.0	350.0
4660	4661	1.216666667	0.15	4.0	1850.0
