NodeID	ClusterNumber
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	1
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
105	1
106	1
107	1
108	1
109	1
110	0
111	0
112	1
113	1
114	1
115	1
116	1
117	0
118	0
119	0
120	0
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	0
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	0
152	0
153	0
154	0
155	0
156	1
157	1
158	1
159	1
160	1
161	0
162	0
163	0
164	0
165	0
166	0
167	1
168	0
169	0
170	0
172	1
173	1
174	1
175	1
176	1
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	1
194	1
195	0
196	0
197	0
198	0
199	0
200	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	0
211	1
212	0
213	0
214	0
215	0
216	0
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	0
230	0
231	0
232	0
233	0
234	0
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	0
246	0
247	0
248	0
250	1
251	1
252	1
253	1
254	1
255	1
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	0
274	0
275	0
276	0
277	0
279	1
280	1
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
